concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,needs_clinician,hold,suggestion_note
EX38,first,I am pregnant and I have severe pain in my stomach and I am bleeding,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,,"v1 had the noun phrase 'severe abdominal pain in pregnancy with bleeding'; this is the same content as an utterance so the relation rulings can apply. No gloss exists for any EX row, so fidelity is checked against the speaker's own phrase instead: 'ndatwite, ndababara cyane mu nda kandi ndava amaraso' — pregnant, severe belly pain, bleeding. All three clauses are present."
EX38,third,"{REL} is pregnant, she has severe stomach pain and she is bleeding",new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,,"person transform of the first, matching the speaker's third '{REL} aratwite, arababara cyane mu nda kandi arava amaraso.' See the note on OB01 third about 'she'."
EX39,first,I gave birth and now I am bleeding heavily,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,,"v1 'heavy bleeding after giving birth' as an utterance. Matches 'ndava amaraso menshi nyuma yo kubyara'. Reordered so the phrase does not open with a time clause, which the ONSET slot also supplies."
EX39,third,{REL} gave birth and now she is bleeding heavily,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,,person transform of the first.
OB01,first,I am pregnant and I have had a fit,new_draft,ok,medium,utterance,,,"gloss is 'convulsion in pregnancy (eclampsia)'. 'A fit' is what a patient says; 'convulsion' is what the record says, and the phrase is the patient's turn. The eclampsia label is deliberately absent — it is the diagnosis, not the report. Replaces draft D003 'fits or convulsions while pregnant', which was a noun phrase and listed two words for one thing."
OB01,third,{REL} is pregnant and she has had a fit,new_draft,ok,medium,utterance,,,"'she' rather than a neutral construction. The obstetric four include 'My neighbour', which is gender-neutral in English exactly as Umuturanyi wanjye is in Kinyarwanda; 'she' resolves it to a patient who can be pregnant, which is what the ruling intends. This is the one place English can express the restriction the Kinyarwanda set can only imply. RULE IT EXPLICITLY: if 'she' is wrong here it is wrong on all fourteen obstetric thirds."
OB02,first,"I am pregnant, my head is hurting badly and I cannot see clearly",new_draft,ok,medium,utterance,,,"gloss 'severe headache with blurred vision in pregnancy'. Both signs kept and neither named as pre-eclampsia. 'Cannot see clearly' over 'blurred vision' for the same reason as OB01. Replaces draft D007, which was a noun phrase."
OB02,third,"{REL} is pregnant, her head is hurting badly and she cannot see clearly",new_draft,ok,medium,utterance,,,person transform of the first.
OB03,first,I am giving birth but the baby's cord came out first,new_draft,unverified: clinician,low,utterance,"YES — cord presentation is a specific obstetric emergency sign. The Kinyarwanda rows carry 'DO NOT GENERATE until validated' and that ruling is about the SIGN, not about Kinyarwanda wording, so it holds for English unchanged.",yes,"gloss 'cord or hand presenting before the baby'. The draft covers the cord only and drops the hand, which the anchor (MCPC: cord prolapse) also does. Held with the Kinyarwanda: do not generate until a clinician validates the description."
OB03,third,{REL} is giving birth but the baby's cord came out first,new_draft,unverified: clinician,low,utterance,YES — same sign as the first person; see that row.,yes,person transform of the first. Held for the same reason.
OB04,first,I have been in labour the whole day and the baby has not come out,new_draft,ok,medium,utterance,,,"gloss 'labour over 24 hours without delivery'. Matches the speaker's 'maze umunsi wose... ariko umwana ntarasohoka'. Replaces draft D015 'in labour since yesterday and the baby has not come': 'since yesterday' collides with the ONSET slot, which supplies ' since yesterday' itself, so that draft could render 'in labour since yesterday since yesterday'."
OB04,third,{REL} has been in labour the whole day and the baby has not come out,new_draft,ok,medium,utterance,,,person transform of the first.
OB05,first,After giving birth I have a fever and a discharge that smells bad,new_draft,unverified: clinician,low,utterance,YES — the Kinyarwanda first person is flagged for the discharge description and the same words carry it in English.,,"gloss 'fever with foul discharge after delivery', anchor MCPC puerperal sepsis. 'Smells bad' rather than 'foul-smelling' as the patient's own register. Replaces draft D019."
OB05,third,"After giving birth, {REL} has a fever and a discharge that smells bad",new_draft,unverified: clinician,low,utterance,"YES — carries the identical description to the first person, so it inherits the same flag even though the Kinyarwanda flags only the first.",,"{REL} is the subject of the main clause but not the first word, so lint warns positionally. That is the shape the speaker used for their own third ('Nyuma yo kubyara, {REL} afite umuriro...'), and the renderer lowercases a non-initial relation correctly."
OB06,first,I am pregnant but the baby is no longer moving in my stomach,new_draft,ok,medium,utterance,,,"gloss 'reduced or absent fetal movement'. The draft says absent, not reduced; the speaker's first person says the same ('ntagikina... nk'uko bisanzwe' is closer to reduced, their third is absent). Flagged rather than split: if the concept must cover reduced movement too, it is the gloss and both languages that need the change."
OB06,third,{REL} is pregnant but the baby is no longer moving in her stomach,new_draft,ok,medium,utterance,,,person transform of the first.
OB07,first,My waters have broken and my nine months are not yet complete,new_draft,ok,medium,utterance,,,"gloss 'membranes ruptured preterm'. 'Waters have broken' and 'nine months' are the patient's terms; 'membranes' and 'preterm' are the record's. Replaces draft D027 'waters broke early, before nine months', a noun phrase."
OB07,third,{REL}'s waters have broken and her nine months are not yet complete,new_draft,ok,medium,utterance,,,"{REL} heads the subject as a possessor rather than as the subject noun itself. Grammatical and the renderer capitalises it correctly at position 0, but it is the one obstetric row where {REL} is not the bare subject — worth a look."
