concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
CR01,first,J'ai la poitrine tres lourde et la douleur monte vers la machoire ou descend dans le bras.,new_draft,ok,medium,utterance,,"Kinyarwanda first is BLOCKED on the object marker and empty; drafted from the speaker's THIRD ('arumva igituza kimuremereye cyane kandi ububabare bukagera no ku rwasaya cyangwa ku kuboko') and from the gloss, as English did. Two changes from sheet draft D050. The ARM limb is restored — D050 had only the jaw, so it was short of both the gloss and the speaker's phrase. And 'ecrasante' becomes 'lourde', which is the speaker's own separation of this concept from EX05 ('kimuremereye', heavy, against 'harandya cyane', hurts badly); it also keeps the two out of one phrase group, but see EX05 — that is a secondary check here, not the reason."
CR01,third,{REL} a la poitrine tres lourde et la douleur monte vers la machoire ou descend dans le bras.,new_draft,ok,medium,utterance,,"'avoir' + noun, so nothing agrees with {REL}. FR-1."
CR02,first,Je n'arrive pas a finir une phrase sans m'arreter pour respirer.,new_draft,ok,medium,utterance,,"FR-1 REDRAFT. Sheet draft D052 was 'essouffle au point de ne pas finir une phrase' — a masculine participle for a patient of unknown gender, the same defect v1's CONTEXTS slot ships on 41,872 rows. Rebuilt on a verb, which does not agree. Deliberately does NOT inherit the Kinyarwanda EX02-inside-CR02 containment; the French of the two does not nest."
CR02,third,{REL} n'arrive pas a finir une phrase sans s'arreter pour respirer.,new_draft,ok,medium,utterance,,"'s'arreter' is an infinitive and takes no agreement, so one sentence covers all eight relations. FR-1."
CR03,first,Mes levres sont devenues bleues.,new_draft,ok,medium,utterance,,"THE ROW concepts.py IS OUT OF STEP ON. The reviewer narrowed CR03 to LIPS ONLY on 2026-09-05 and narrowed concept_anchors.csv and concepts.py's gloss with it — but concepts.py's FRENCH phrase still reads 'mes levres et le bout des doigts sont devenus bleus', asserting fingertips under a lips-only gloss, and sheet draft D054 carries the same text. The English copy of this defect was dead because the English brief superseded it; the French one was LIVE, because until this brief concepts.py was the only place a French phrasing existed. Narrowed here, and it now matches 'Iminwa yanjye yahindutse ubururu.' FLAG: the SPINE's gloss still says 'blue lips or fingertips', so three records now disagree three ways — spine, anchors, concepts.py."
CR03,third,Les levres de {REL} sont devenues bleues.,new_draft,ok,medium,utterance,,"Matches '{REL} iminwa ye yahindutse ubururu.' The body part is the grammatical subject and {REL} is a possessor — the speaker's own CR03/EX03 construction, and independently the FR-1 fix, because 'devenues' agrees with 'levres', a fixed feminine, not with {REL}. French and Kinyarwanda reach the same shape for different reasons. This is the concept that owns 'blue'; EX04 was corrected to 'changed colour' so the two stay distinguishable."
CR04,first,,,,,,yes,"HELD, and the hold does NOT lift for French. Unlike GI03, PA08 and CR05's wheeze word, CR04's block is not lexical: the speaker has two rival descriptions of indrawing ('igituza kiramanuka' and 'munsi y'igituza harinjira') and the standing ruling is DO NOT CHOOSE BETWEEN THEM, pending a Rwandan clinician. French cannot choose either. Sheet draft D056 is left in place as the record of what is not accepted, as English left its own."
CR04,third,,,,,,yes,"HELD with the first, same reason."
CR05,first,"Quand je respire, j'ai la poitrine serree et j'entends un sifflement.",new_draft,ok,medium,utterance,,"Follows 'Iyo mpumeka, numva igituza gifashe kandi mpumeka nkumva hari ijwi ridasanzwe.' — both the tightness and the sound, in that order. 'serree' agrees with 'poitrine', not with the speaker, so FR-1 is satisfied by the construction the concept wanted anyway."
CR05,third,"Quand {REL} respire, sa poitrine est serree et on entend un sifflement.",new_draft,ok,medium,utterance,,"HOLD LIFTED, and only half of it was ever French's to lift. The Kinyarwanda third is blocked on the '-mu-' object marker, which does not exist here. The other half does NOT lift: whether 'sifflement' is what a francophone Rwandan patient says for a wheeze is the same question the Kinyarwanda has about 'ijwi ridasanzwe', and it goes on the flag list. 'sa poitrine' is FR-2 — the possessive agrees with the possessed noun, so one form fits all eight."
