id,cue,reporter,age_group,text_kw,author,label
201,Woke with a swollen tongue after taking a new tablet,Self,Umuntu mukuru,Yabyutse ururimi rwarabyimbye nyuma yo gufata umuti mushya.,,CRITICAL
202,"Child drank from a bottle under the sink, mother unsure what it was",Carer,Umwana,"Umwana yanyweye mu icupa ryari munsi ya robine, nyina ntazi icyoyari kirimo.",,CRITICAL
203,Says the baby has a soft swelling on the head that was not there at birth,Carer,Impinja,Avuga ko uruhinja rufite kubyimba korohereye ku mutwe kandi ko rutari rufite icyo kibyimba ruvuka.,,URGENT
204,"Farmer sprayed pesticide without a mask, now dizzy and salivating",Self,Umuntu mukuru,"Umuhinzi yateye umuti wica udukoko atambaye agapfukamunwa, ubu akaba azungera kandi acira amacandwe menshi.",,CRITICAL
205,Came to ask why the tablets turn her urine a strange colour,Self,Umuntu mukuru,Yaje kubaza impamvu imiti afata ituma inkari ze zihindura ibara ridasanzwe.,,ROUTINE
206,Boy has not been able to straighten his arm since a fall last week,Carer,Umwana,Umuhungu ntiyashoboye kurambura ukuboko kuva aguye mu cyumweru gishize.,,URGENT
207,Says she has pain during intercourse and has told no one,Self,Umuntu mukuru,Avuga ko agira ububabare mu gihe cy'imibonano mpuzabitsina kandi akaba atarabibwira umuntu.,,ROUTINE
208,Old woman brought because the family says she no longer recognises them,Carer,Umusaza/Umukecuru,Umukecuru yazanywe n'umuryango uvuga ko atakibamenya.,,URGENT
209,"Cut while slaughtering a goat, worried about infection",Self,Umuntu mukuru,"Yikase ubwo yabaga ihene, ubu afite impungenge ko igikomere cyandura.",,URGENT
210,Child has been limping for two weeks with no injury remembered,Carer,Umwana,Umwana amaze ibyumweru bibiri agenda arembera kandi nta gikomere bazirikana yagize.,,URGENT
211,Says the medicine works but she cannot afford it every month,Self,Umuntu mukuru,Avuga ko umuti umufasha ariko ko atabasha kuwugura buri kwezi.,,ROUTINE
212,"Feels the heart racing at rest, lasts a few minutes then stops",Self,Umuntu mukuru,"Yumva umutima utera cyane ari kuruhuka, bikamara iminota mike bikareka.",,URGENT
213,"Baby has a cleft in the lip, mother asking what can be done",Carer,Impinja,"Uruhinja rufite itwike ku munwa, nyina arashaka kumenya icyo bakora.",,ROUTINE
214,Man says he has not slept since his brother died three weeks ago,Self,Umuntu mukuru,Umugabo avuga ko atarasinzira kuva murumuna we cyangwa mukuru we apfuye hashize ibyumweru bitatu.,,ROUTINE
215,Burned the hand on a motorbike exhaust,Self,Ingimbi/Umwangavu,Yatwitse ukuboko ku muyoboro usohora imyotsi wa moto.,,URGENT
216,Says the child's stool is pale and the urine dark,Carer,Umwana,Avuga ko umwanda w'umwana wera cyane kandi inkari zikaba zijimye.,,URGENT
217,Wants to know if she can breastfeed while taking TB tablets,Self,Umuntu mukuru,Ashaka kumenya niba ashobora konsa ari gufata imiti y'igituntu.,,ROUTINE
218,Has a boil under the arm that has grown for a week,Self,Umuntu mukuru,Afite ibisebe binini munsi y'ukuboko bimaze icyumweru byiyongera.,,URGENT
219,Teacher brings a child who cannot see the blackboard,Carer,Umwana,Umwarimu yazanye umwana utabasha kubona neza ku kibaho.,,ROUTINE
220,Says he has been coughing since working in a grain store,Self,Umuntu mukuru,Avuga ko amaze gukorora kuva atangiye gukorera mu bubiko bw'ibinyampeke.,,ROUTINE
221,"Woman fell while carrying water, landed on her wrist",Self,Umuntu mukuru,"Umugore yaguye atwaye amazi, agwa ku kuboko kwe hafi y'ikiganza.",,URGENT
222,Child has had a fever and a stiff neck since this morning,Carer,Umwana,Umwana afite umuriro kandi ijosi rirakomeye kuva muri iki gitondo.,,CRITICAL
223,Says the wound was stitched here and the stitches need removing,Self,Umuntu mukuru,Avuga ko igikomere cyadodewe hano kandi ko imidodo igomba gukurwamo.,,ROUTINE
224,Feels a tightness in the throat when anxious,Self,Ingimbi/Umwangavu,Yumva umuhogo umufashe iyo afite ubwoba cyangwa ahangayitse.,,ROUTINE
225,Mother says her child has lost weight since starting school,Carer,Umwana,Nyina avuga ko umwana yagabanutse ibiro kuva atangiye ishuri.,,ROUTINE
226,Man says a stone went into his eye while breaking rocks,Self,Umuntu mukuru,Umugabo avuga ko ibuye ryinjiye mu jisho ubwo yamenaga amabuye.,,URGENT
227,Came for a repeat of the injection she gets every three months,Self,Umuntu mukuru,Yaje kongera guterwa urushinge ahabwa buri mezi atatu.,,ROUTINE
228,Says the pain in the tooth wakes him at night,Self,Umuntu mukuru,Avuga ko ububabare bwo mu menyo bumukangura nijoro.,,ROUTINE
229,Child was playing and suddenly could not move one arm,Carer,Umwana,Umwana yari ari gukina maze mu buryo butunguranye ananirwa gukoresha ukuboko kumwe.,,URGENT
230,Woman says she has been feeling the baby move less than usual,Self,Umuntu mukuru,Umugore avuga ko yumva umwana atakigenda cyane nk'uko bisanzwe.,,URGENT
231,Has a sore on the lip that has been there for a month,Self,Umuntu mukuru,Afite igisebe ku munwa kimaze ukwezi.,,ROUTINE
232,Neighbour brings a man who has been vomiting blood since dawn,Carer,Umuntu mukuru,Umuturanyi yazanye umugabo umaze kuva mu gitondo aruka amaraso.,,CRITICAL
233,Says the child refuses to walk on one leg since yesterday,Carer,Umwana,Avuga ko kuva ejo umwana yanga gukandagiza ukuguru kumwe.,,URGENT
234,Came because his employer says he must be tested before the season,Self,Umuntu mukuru,Yaje kuko umukoresha we yamubwiye ko agomba kwisuzumisha mbere y'uko igihe cy'akazi gitangira.,,ROUTINE
235,"Feels a burning in the chest after eating, worse lying down",Self,Umuntu mukuru,"Yumva mu gituza hashya nyuma yo kurya, cyane cyane iyo aryamye.",,ROUTINE
236,Says she is pregnant and has been vomiting everything for a week,Self,Ingimbi/Umwangavu,Avuga ko atwite kandi amaze icyumweru aruka ibyo arya cyangwa anywa byose.,,URGENT
237,Man cut his thumb with a panga and wrapped it in a cloth,Self,Umuntu mukuru,Umugabo yikase igikumwe akoresheje umuhoro maze agipfuka umwenda.,,URGENT
238,Child has a swelling behind the ear that is painful,Carer,Umwana,Umwana afite kubyimba inyuma y'ugutwi kubabaza.,,URGENT
239,Says his feet have been numb for months and he did not notice a wound,Self,Umusaza/Umukecuru,Avuga ko ibirenge bye bimaze amezi bitumva neza kandi atigeze amenya ko afite igikomere.,,URGENT
240,Woman came because her friend told her the lump should be checked,Self,Umuntu mukuru,Umugore yaje kuko inshuti ye yamubwiye ko ako kabyimba kagomba gusuzumwa.,,ROUTINE
241,Says he coughs after drinking water,Self,Umusaza/Umukecuru,Avuga ko akorora iyo anyweye amazi.,,ROUTINE
242,Baby was delivered by a traditional birth attendant and has a fever,Carer,Impinja,Uruhinja rwabyarijwe n'umubyaza gakondo kandi rufite umuriro.,,URGENT
243,Has a rash that started after a new soap,Self,Umwana,Afite ibisebe ku ruhu byatangiye nyuma yo gukoresha isabune nshya.,,ROUTINE
244,Says the pain started in the belly and has moved to the lower right,Self,Ingimbi/Umwangavu,Avuga ko ububabare bwatangiriye mu nda bukaza kwimukira hepfo iburyo.,,URGENT
245,Man brought after falling from scaffolding at a building site,Carer,Umuntu mukuru,Umugabo yazanywe nyuma yo kugwa ku byuma by'ubwubatsi ku kazi.,,CRITICAL
246,Says she cannot hold her urine since giving birth,Self,Umuntu mukuru,Avuga ko kuva yabyara atagishobora kwifata inkari.,,ROUTINE
247,Child has been pulling at the ear and has a fever,Carer,Impinja,Umwana ahora akurura ugutwi kandi afite umuriro.,,URGENT
248,Came because the pharmacy refused to sell her the tablets without a paper,Self,Umuntu mukuru,Yaje kuko farumasi yanze kumuha imiti atazanye urupapuro rwa muganga.,,ROUTINE
249,Says the swelling in his scrotum has been growing for a year,Self,Umusaza/Umukecuru,Avuga ko kubyimba mu dusabo tw'intanga bimaze umwaka byiyongera.,,ROUTINE
250,Woman says the bleeding after delivery has not stopped,Self,Umuntu mukuru,Umugore avuga ko kuva yabyara amaraso atarahagarara.,,CRITICAL
251,Child bitten on the hand by a cat,Carer,Umwana,Umwana yarumwe ukuboko n'injangwe.,,URGENT
252,Says he has been seeing flashes of light in one eye,Self,Umusaza/Umukecuru,Avuga ko amaze igihe abona nk'urumuri rutunguranye mu jisho rimwe.,,URGENT
253,Man says he cannot stop shaking since he stopped drinking,Self,Umuntu mukuru,Umugabo avuga ko amaze guhagarika inzoga umubiri udahagarika gutitira.,,URGENT
254,Came for the child's deworming tablets,Carer,Umwana,Yaje gufata imiti yo kuvura inzoka z'umwana.,,ROUTINE
255,Says the chest pain came while carrying a sack and has not gone,Self,Umuntu mukuru,Avuga ko ububabare bwo mu gituza bwatangiye atwaye umufuka kandi bukaba butarahagarara.,,CRITICAL
256,Mother says her baby arches the back and cries after every feed,Carer,Impinja,Nyina avuga ko uruhinja rwe rugonda umugongo kandi rugataka nyuma yo konka cyangwa kurya.,,ROUTINE
257,Has been told she is anaemic and asks what to eat,Self,Umuntu mukuru,Yabwiwe ko afite amaraso make kandi abaza ibyo yakwiriye kurya.,,ROUTINE
258,Says he was struck by lightning near the field and feels strange,Self,Umuntu mukuru,Avuga ko inkuba yamukubise hafi y'umurima kandi akaba yumva atameze neza.,,CRITICAL
259,Child has white spots on the skin that do not itch,Carer,Umwana,Umwana afite utubara twera ku ruhu kandi tutamuryaryata.,,ROUTINE
260,Woman says her period is late and she has pain on one side,Self,Umuntu mukuru,Umugore avuga ko imihango yatinze kandi afite ububabare ku ruhande rumwe rw'inda.,,URGENT
261,Says he has been having headaches since starting a new job,Self,Umuntu mukuru,Avuga ko amaze kugira umutwe kuva atangiye akazi gashya.,,ROUTINE
262,Brought by a motorbike taxi driver after an accident on the road,Carer,Umuntu mukuru,Yazanywe n'umutwara moto nyuma y'impanuka yo mu muhanda.,,URGENT
263,Says the child has been eating soil,Carer,Umwana,Avuga ko umwana amaze igihe arya ubutaka.,,ROUTINE
264,Has a discharge from the nipple and is not breastfeeding,Self,Umuntu mukuru,Afite amazi asohoka mu ibere kandi ntabwo yonsa.,,ROUTINE
265,Says his vision went dark in one eye for a few minutes and came back,Self,Umusaza/Umukecuru,"Avuga ko ijisho rimwe ryijimye ntabona mu gihe cy'iminota mike, nyuma akongera kubona.",,URGENT
266,Came to ask whether the family should all be tested after a TB case,Self,Umuntu mukuru,Yaje kubaza niba umuryango wose ugomba kwisuzumisha nyuma y'uko umwe muri bo arwaye igituntu.,,ROUTINE
267,"Child fell into a cooking fire, burns on the hand and forearm",Carer,Umwana,"Umwana yaguye mu muriro wo gutekamo, atwika ukuboko n'igice cy'ukuboko kugera ku nkokora.",,URGENT
268,Says she has been dizzy and her periods are heavy,Self,Ingimbi/Umwangavu,Avuga ko amaze igihe azungera kandi imihango ikaba ari myinshi.,,URGENT
269,Man says he has not passed urine since yesterday morning,Self,Umusaza/Umukecuru,Umugabo avuga ko kuva ejo mu gitondo atigeze yihagarika.,,URGENT
270,Says the cough has been there since birth and nobody explained why,Carer,Umwana,Avuga ko inkorora imufite kuva yavuka kandi nta muntu wigeze amusobanurira impamvu.,,ROUTINE
271,Woman brought by neighbours after collapsing in the market,Carer,Umuntu mukuru,Umugore yazanywe n'abaturanyi nyuma yo kugwa igihumure ku isoko.,,CRITICAL
272,Says the tablets make him sleepy and he stopped taking them,Self,Umuntu mukuru,Avuga ko imiti imutera gusinzira maze arayihagarika.,,ROUTINE
273,Child has a swollen knee with no injury,Carer,Umwana,Umwana afite ivi ryabyimbye kandi nta gikomere yagize.,,URGENT
274,Says she wants to know her status before getting married,Self,Ingimbi/Umwangavu,Avuga ko ashaka kumenya uko ubuzima bwe buhagaze mbere yo gushaka.,,ROUTINE
275,Has pain in the shoulder that started after painting a ceiling,Self,Umuntu mukuru,Afite ububabare ku rutugu bwatangiye nyuma yo gusiga irangi ku gisenge.,,ROUTINE
276,Baby has not cried much since birth and feeds slowly,Carer,Impinja,Uruhinja ntirwigeze rutaka cyane kuva ruvuka kandi rwonsa cyangwa rurya buhoro.,,URGENT
277,Says the itching is worst between the fingers,Self,Umwana,Avuga ko kuryaryatwa bikabije hagati y'intoki.,,ROUTINE
278,Man says he fell off a ladder and landed on his heels,Self,Umuntu mukuru,Umugabo avuga ko yaguye ku ngazi agwa ku bitendegeri.,,URGENT
279,Came because the community health worker measured the child's arm,Carer,Umwana,Yaje kuko umukozi w'ubuzima wo mu muryango yapimye ukuboko k'umwana.,,URGENT
280,Says he has blood in the urine and no pain,Self,Umusaza/Umukecuru,Avuga ko afite amaraso mu nkari ariko nta bubabare afite.,,ROUTINE
281,Woman says she has a headache that started suddenly like a blow,Self,Umuntu mukuru,Umugore avuga ko umutwe watangiye kumurya gitunguranye nk'uwakubiswe.,,CRITICAL
282,Child swallowed a battery from a torch,Carer,Umwana,Umwana yamize bateri yo mu itoroshi.,,CRITICAL
283,Says his ankles swell by evening and go down by morning,Self,Umusaza/Umukecuru,Avuga ko ibirenge hafi y'amaguru byabyimba nimugoroba bikagabanuka mu gitondo.,,ROUTINE
284,Came to ask about a family planning method that will not stop periods,Self,Umuntu mukuru,Yaje kubaza uburyo bwo kuboneza urubyaro budahagarika imihango.,,ROUTINE
285,Says the child has been coughing until he vomits,Carer,Umwana,Avuga ko umwana akorora cyane kugeza ubwo aruka.,,URGENT
