concept_id,relation,rendered,your_ruling
GI01,Umwana wanjye,Umwana wanjye araruka ibyo arya byose kandi ntashobora no kunywa.,
GI01,Umugore wanjye,Umugore wanjye araruka ibyo arya byose kandi ntashobora no kunywa.,
GI01,Umugabo wanjye,Umugabo wanjye araruka ibyo arya byose kandi ntashobora no kunywa.,
GI01,Mama,Mama araruka ibyo arya byose kandi ntashobora no kunywa.,
GI01,Papa,Papa araruka ibyo arya byose kandi ntashobora no kunywa.,
GI01,Mushiki wanjye,Mushiki wanjye araruka ibyo arya byose kandi ntashobora no kunywa.,
GI01,Umuturanyi wanjye,Umuturanyi wanjye araruka ibyo arya byose kandi ntashobora no kunywa.,
GI01,Umukecuru,Umukecuru araruka ibyo arya byose kandi ntashobora no kunywa.,
GI02,Umwana wanjye,Umwana wanjye araruka amaraso.,
GI02,Umugore wanjye,Umugore wanjye araruka amaraso.,
GI02,Umugabo wanjye,Umugabo wanjye araruka amaraso.,
GI02,Mama,Mama araruka amaraso.,
GI02,Papa,Papa araruka amaraso.,
GI02,Mushiki wanjye,Mushiki wanjye araruka amaraso.,
GI02,Umuturanyi wanjye,Umuturanyi wanjye araruka amaraso.,
GI02,Umukecuru,Umukecuru araruka amaraso.,
GI04,Umwana wanjye,Umwana wanjye afite impiswi zikomeye kandi amaso ye yinjiye.,
GI04,Umugore wanjye,Umugore wanjye afite impiswi zikomeye kandi amaso ye yinjiye.,
GI04,Umugabo wanjye,Umugabo wanjye afite impiswi zikomeye kandi amaso ye yinjiye.,
GI04,Mama,Mama afite impiswi zikomeye kandi amaso ye yinjiye.,
GI04,Papa,Papa afite impiswi zikomeye kandi amaso ye yinjiye.,
GI04,Mushiki wanjye,Mushiki wanjye afite impiswi zikomeye kandi amaso ye yinjiye.,
GI04,Umuturanyi wanjye,Umuturanyi wanjye afite impiswi zikomeye kandi amaso ye yinjiye.,
GI04,Umukecuru,Umukecuru afite impiswi zikomeye kandi amaso ye yinjiye.,
GI05,Umwana wanjye,Umwana wanjye afite impiswi zirimo amaraso.,
GI05,Umugore wanjye,Umugore wanjye afite impiswi zirimo amaraso.,
GI05,Umugabo wanjye,Umugabo wanjye afite impiswi zirimo amaraso.,
GI05,Mama,Mama afite impiswi zirimo amaraso.,
GI05,Papa,Papa afite impiswi zirimo amaraso.,
GI05,Mushiki wanjye,Mushiki wanjye afite impiswi zirimo amaraso.,
GI05,Umuturanyi wanjye,Umuturanyi wanjye afite impiswi zirimo amaraso.,
GI05,Umukecuru,Umukecuru afite impiswi zirimo amaraso.,
GI06,Umwana wanjye,Umwana wanjye amaze ibyumweru birenga bibiri arwaye impiswi.,
GI06,Umugore wanjye,Umugore wanjye amaze ibyumweru birenga bibiri arwaye impiswi.,
GI06,Umugabo wanjye,Umugabo wanjye amaze ibyumweru birenga bibiri arwaye impiswi.,
GI06,Mama,Mama amaze ibyumweru birenga bibiri arwaye impiswi.,
GI06,Papa,Papa amaze ibyumweru birenga bibiri arwaye impiswi.,
GI06,Mushiki wanjye,Mushiki wanjye amaze ibyumweru birenga bibiri arwaye impiswi.,
GI06,Umuturanyi wanjye,Umuturanyi wanjye amaze ibyumweru birenga bibiri arwaye impiswi.,
