concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX24,first,I have a fever of 39 degrees,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'mfite umuriro wa dogere 39'."
EX24,third,{REL} has a fever of 39 degrees,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite umuriro wa dogere 39.'"
EX25,first,I have a high fever and I am coughing badly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'mfite umuriro mwinshi kandi ndakorora cyane'."
EX25,third,{REL} has a high fever and is coughing badly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite umuriro mwinshi kandi arakorora cyane.'"
EX26,first,"I have malaria symptoms, fever and chills",new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"SURVIVOR of the EX26/EX27 collapse, ruled 2026-09-05. FLAG, and it is not about the collapse: the Kinyarwanda kept here is 'ibimenyetso bya malariya, umuriro n'imbeho' — a bare noun phrase with NO VERB, declared form=utterance. That is the EX44-EX47 bug, and this row was missed by that fix because it is the one phrase of the 47 the speaker left byte-identical, so it was never revisited. As an utterance it renders as a fragment with no main clause. The minimal fix is the one they used on EX44: prefix 'Mfite' — 'Mfite ibimenyetso bya malariya, umuriro n'imbeho.' The English supplies the verb because English must; the Kinyarwanda still needs it."
EX26,third,"{REL} has malaria symptoms, fever and chills",new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite ibimenyetso bya malariya, umuriro n'imbeho.' The third person already carries the verb 'afite', which is how the fragment in the first person shows up so clearly."
EX27,first,,,,,,yes,"COLLAPSED INTO EX26 — ruled 2026-09-05. Same presentation: fever, chills, and the patient naming malaria. 'I suspect malaria' is not a different concept, it is the same patient saying it differently. EX26's wording survives; THIS row's wording is recorded as the second phrasing. The English equivalent of it would be 'I have a fever and I feel cold, I think it is malaria' — proposed here, not written into second_phrasing_optional, which is the reviewer's column. Worth noting the direction: the surviving wording is v1 text the speaker approved by leaving it, and the demoted wording is text they actively wrote and is the better patient register of the two."
EX27,third,,,,,,yes,"COLLAPSED INTO EX26. Was already held on a clinician question — attributing a suspicion of malaria to another person — which the collapse makes moot. Execution is cross-language: applies=no on both EX27 rows, EX27's first-person wording into EX26's second_phrasing_optional, row target down one concept."
EX28,first,I have a fever and my head is hurting badly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'mfite umuriro kandi umutwe urandya cyane'."
EX28,third,{REL} has a fever and their head is hurting badly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite umuriro kandi umutwe uramubabaza cyane.'"
