concept_id,relation,rendered,your_ruling
EX18,Umwana wanjye,Umwana wanjye ari kuva amaraso menshi kandi ntahagarara.,
EX18,Umugore wanjye,Umugore wanjye ari kuva amaraso menshi kandi ntahagarara.,
EX18,Umugabo wanjye,Umugabo wanjye ari kuva amaraso menshi kandi ntahagarara.,
EX18,Mama,Mama ari kuva amaraso menshi kandi ntahagarara.,
EX18,Papa,Papa ari kuva amaraso menshi kandi ntahagarara.,
EX18,Mushiki wanjye,Mushiki wanjye ari kuva amaraso menshi kandi ntahagarara.,
EX18,Umuturanyi wanjye,Umuturanyi wanjye ari kuva amaraso menshi kandi ntahagarara.,
EX18,Umukecuru,Umukecuru ari kuva amaraso menshi kandi ntahagarara.,
EX19,Umwana wanjye,Umwana wanjye afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX19,Umugore wanjye,Umugore wanjye afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX19,Umugabo wanjye,Umugabo wanjye afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX19,Mama,Mama afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX19,Papa,Papa afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX19,Mushiki wanjye,Mushiki wanjye afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX19,Umuturanyi wanjye,Umuturanyi wanjye afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX19,Umukecuru,Umukecuru afite igikomere gikomeye kirimo kuva amaraso menshi.,
EX20,Umwana wanjye,Umwana wanjye ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX20,Umugore wanjye,Umugore wanjye ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX20,Umugabo wanjye,Umugabo wanjye ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX20,Mama,Mama ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX20,Papa,Papa ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX20,Mushiki wanjye,Mushiki wanjye ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX20,Umuturanyi wanjye,Umuturanyi wanjye ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX20,Umukecuru,Umukecuru ari kuva amaraso menshi mu mazuru kandi ntahagarara.,
EX21,Umwana wanjye,Umwana wanjye afite igikomere ku mutwe nyuma yo kugwa.,
EX21,Umugore wanjye,Umugore wanjye afite igikomere ku mutwe nyuma yo kugwa.,
EX21,Umugabo wanjye,Umugabo wanjye afite igikomere ku mutwe nyuma yo kugwa.,
EX21,Mama,Mama afite igikomere ku mutwe nyuma yo kugwa.,
EX21,Papa,Papa afite igikomere ku mutwe nyuma yo kugwa.,
EX21,Mushiki wanjye,Mushiki wanjye afite igikomere ku mutwe nyuma yo kugwa.,
EX21,Umuturanyi wanjye,Umuturanyi wanjye afite igikomere ku mutwe nyuma yo kugwa.,
EX21,Umukecuru,Umukecuru afite igikomere ku mutwe nyuma yo kugwa.,
HT02,Umwana wanjye,Umwana wanjye afite igikomere gikomeye ku buryo igufa rigaragara.,
HT02,Umugore wanjye,Umugore wanjye afite igikomere gikomeye ku buryo igufa rigaragara.,
HT02,Umugabo wanjye,Umugabo wanjye afite igikomere gikomeye ku buryo igufa rigaragara.,
HT02,Mama,Mama afite igikomere gikomeye ku buryo igufa rigaragara.,
HT02,Papa,Papa afite igikomere gikomeye ku buryo igufa rigaragara.,
HT02,Mushiki wanjye,Mushiki wanjye afite igikomere gikomeye ku buryo igufa rigaragara.,
HT02,Umuturanyi wanjye,Umuturanyi wanjye afite igikomere gikomeye ku buryo igufa rigaragara.,
HT02,Umukecuru,Umukecuru afite igikomere gikomeye ku buryo igufa rigaragara.,
HT04,Umwana wanjye,Umwana wanjye afite ubushye bunini ku mubiri.,
HT04,Umugore wanjye,Umugore wanjye afite ubushye bunini ku mubiri.,
HT04,Umugabo wanjye,Umugabo wanjye afite ubushye bunini ku mubiri.,
HT04,Mama,Mama afite ubushye bunini ku mubiri.,
HT04,Papa,Papa afite ubushye bunini ku mubiri.,
HT04,Mushiki wanjye,Mushiki wanjye afite ubushye bunini ku mubiri.,
HT04,Umuturanyi wanjye,Umuturanyi wanjye afite ubushye bunini ku mubiri.,
HT04,Umukecuru,Umukecuru afite ubushye bunini ku mubiri.,
EX22,Umwana wanjye,"Umwana wanjye afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX22,Umugore wanjye,"Umugore wanjye afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX22,Umugabo wanjye,"Umugabo wanjye afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX22,Mama,"Mama afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX22,Papa,"Papa afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX22,Mushiki wanjye,"Mushiki wanjye afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX22,Umuturanyi wanjye,"Umuturanyi wanjye afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX22,Umukecuru,"Umukecuru afite igikomere cyanduye, kiratukura kandi kirimo amashyira.",
EX23,Umwana wanjye,Umwana wanjye yaraguye none arababara cyane.,
EX23,Umugore wanjye,Umugore wanjye yaraguye none arababara cyane.,
EX23,Umugabo wanjye,Umugabo wanjye yaraguye none arababara cyane.,
EX23,Mama,Mama yaraguye none arababara cyane.,
