concept_id,domain,proposed_urgency,english_gloss,person,person_note,form,your_phrasing,second_phrasing_optional,notes
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,first,,utterance,,,
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,third,,utterance,,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,first,,utterance,,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,third,,utterance,,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips or fingertips,first,,utterance,,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips or fingertips,third,,utterance,,,
EX04,cardiac_respiratory,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX04,cardiac_respiratory,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,first,,utterance,,,
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,third,,utterance,,,
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,first,,utterance,,,
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,third,,utterance,,,
EX06,cardiac_respiratory,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX06,cardiac_respiratory,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever",first,,utterance,,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever",third,,utterance,,,
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",first,,utterance,,,
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",third,,utterance,,,
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,first,,utterance,,,
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,third,,utterance,,,
CC03,chronic_care,URGENT,very high blood pressure with headache,first,,utterance,,,
CC03,chronic_care,URGENT,very high blood pressure with headache,third,,utterance,,,
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,first,,utterance,,,
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,third,,utterance,,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,first,,utterance,,,
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,third,,utterance,,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,first,,utterance,,,
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,third,,utterance,,,
CC07,chronic_care,URGENT,ran out of TB medicine,first,,utterance,,,
CC07,chronic_care,URGENT,ran out of TB medicine,third,,utterance,,,
EX09,chronic_care,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX09,chronic_care,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,first,,utterance,,,
CC08,chronic_care,ROUTINE,blood pressure medicine refill,third,,utterance,,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,first,,utterance,,,
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,third,,utterance,,,
EX10,chronic_care,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX10,chronic_care,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
GI02,gastrointestinal,CRITICAL,vomiting blood,first,,utterance,,,
GI02,gastrointestinal,CRITICAL,vomiting blood,third,,utterance,,,
GI03,gastrointestinal,CRITICAL,black tarry stool,first,,utterance,,,
GI03,gastrointestinal,CRITICAL,black tarry stool,third,,utterance,,,
EX13,gastrointestinal,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX13,gastrointestinal,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX14,gastrointestinal,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX14,gastrointestinal,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX15,gastrointestinal,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX15,gastrointestinal,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
GI05,gastrointestinal,URGENT,blood in the stool,first,,utterance,,,
GI05,gastrointestinal,URGENT,blood in the stool,third,,utterance,,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,first,,utterance,,,
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,third,,utterance,,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,first,,utterance,,,
GI07,gastrointestinal,URGENT,severe abdominal pain that will not settle,third,,utterance,,,
EX18,haemorrhage_trauma,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX18,haemorrhage_trauma,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX19,haemorrhage_trauma,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX19,haemorrhage_trauma,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX21,haemorrhage_trauma,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX21,haemorrhage_trauma,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,first,,utterance,,,
HT02,haemorrhage_trauma,CRITICAL,deep wound with bone visible,third,,utterance,,,
EX22,haemorrhage_trauma,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX22,haemorrhage_trauma,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,first,,utterance,,,
HT05,haemorrhage_trauma,URGENT,limb deformed after a fall,third,,utterance,,,
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",first,,utterance,,,
HT06,haemorrhage_trauma,URGENT,"wound red, swollen and discharging pus",third,,utterance,,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",first,,utterance,,,
HT08,haemorrhage_trauma,ROUTINE,"small cut, bleeding stopped",third,,utterance,,,
IF01,infectious_fever,CRITICAL,fever with stiff neck,first,,utterance,,,
IF01,infectious_fever,CRITICAL,fever with stiff neck,third,,utterance,,,
IF02,infectious_fever,CRITICAL,fever with convulsions,first,,utterance,,,
IF02,infectious_fever,CRITICAL,fever with convulsions,third,,utterance,,,
IF03,infectious_fever,CRITICAL,fever and unable to drink,first,,utterance,,,
IF03,infectious_fever,CRITICAL,fever and unable to drink,third,,utterance,,,
EX24,infectious_fever,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX24,infectious_fever,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX25,infectious_fever,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX25,infectious_fever,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX27,infectious_fever,URGENT,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX27,infectious_fever,URGENT,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
IF06,infectious_fever,URGENT,fever with pain passing urine,first,,utterance,,,
IF06,infectious_fever,URGENT,fever with pain passing urine,third,,utterance,,,
EX29,infectious_fever,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX29,infectious_fever,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX30,infectious_fever,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX30,infectious_fever,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX31,infectious_fever,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX31,infectious_fever,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
IF07,infectious_fever,ROUTINE,"low fever one day, otherwise well",first,,utterance,,,
IF07,infectious_fever,ROUTINE,"low fever one day, otherwise well",third,,utterance,,,
EX32,neurological,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX32,neurological,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX34,neurological,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX34,neurological,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX35,neurological,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX35,neurological,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
NE01,neurological,CRITICAL,continuous convulsion,first,,utterance,,,
NE01,neurological,CRITICAL,continuous convulsion,third,,utterance,,,
NE04,neurological,CRITICAL,sudden difficulty speaking,first,,utterance,,,
NE04,neurological,CRITICAL,sudden difficulty speaking,third,,utterance,,,
EX36,neurological,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX36,neurological,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX37,neurological,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,first,,,,,
EX37,neurological,ROUTINE,existing concept — your first-pass phrasing is on one of these two rows,third,,,,,
EX38,obstetric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",,,,
EX38,obstetric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",,,,
EX39,obstetric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",,,,
EX39,obstetric,CRITICAL,existing concept — your first-pass phrasing is on one of these two rows,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",,,,
OB01,obstetric,CRITICAL,convulsion in pregnancy (eclampsia),first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB01,obstetric,CRITICAL,convulsion in pregnancy (eclampsia),third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB02,obstetric,CRITICAL,severe headache with blurred vision in pregnancy,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB02,obstetric,CRITICAL,severe headache with blurred vision in pregnancy,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB03,obstetric,CRITICAL,cord or hand presenting before the baby,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB03,obstetric,CRITICAL,cord or hand presenting before the baby,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB04,obstetric,CRITICAL,labour over 24 hours without delivery,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB04,obstetric,CRITICAL,labour over 24 hours without delivery,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB05,obstetric,CRITICAL,fever with foul discharge after delivery,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB05,obstetric,CRITICAL,fever with foul discharge after delivery,third,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
OB10,obstetric,URGENT,persistent vomiting in pregnancy,first,"first = the pregnant woman; third = husband, mother or neighbour reporting",utterance,,,
