concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,suggestion_note
EX08,first,My blood sugar has gone very high,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'isukari yo mu maraso yanjye yazamutse cyane'. v1 English was 'very high blood sugar readings' — 'readings' is the measurement, not the report, and the Kinyarwanda has no equivalent. Rule 11 permits it as first person: the speaker's own EX08 and EX09 report a measured value in first person and are right to."
EX08,third,{REL}'s blood sugar has gone very high,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches '{REL} isukari yo mu maraso ye yazamutse cyane.' {REL} heads the subject as possessor, the EX03/OB07 shape."
EX09,first,My blood pressure has gone very high,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'umuvuduko w'amaraso wanjye wazamutse cyane'. INHERITED COLLISION, DELIBERATELY NOT SOLVED HERE — this phrase sits whole inside CC03's in Kinyarwanda and the faithful English does the same. Worded apart it would be a contortion around a source-side problem the Kinyarwanda session is fixing, and it would go unmotivated the moment they do, the way the OB09 reword did."
EX09,third,{REL}'s blood pressure has gone very high,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches '{REL} umuvuduko w'amaraso we wazamutse cyane.' Same inherited collision with CC03 third."
EX10,first,I want a refill of the medicine I am taking,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'ndashaka kongererwa imiti mfata'. Deliberately generic — CC08 is the blood-pressure-specific refill, and this is the unspecified one. Third person is applies=no, ruled NO_RELATIONS."
EX11,first,I want to keep coming for my check-ups,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'ndashaka gukomeza kujya kwa muganga kwisuzumisha'. FLAGGED, STILL OPEN: this is one of the seven EX concepts whose rewrite moved — v1 was 'a follow up after previous treatment' and the rewrite broadened it to continuing check-ups generally, which is close to CC09/CC10 and to EX44. Recorded in review/ex-concept-drift.md and not ruled. The English follows the rewrite, so if the concept is narrowed back this row moves with it."
CC01,third,"{REL} has diabetes and is vomiting, breathing deeply and very drowsy",new_draft,ok,low,utterance,"gloss 'diabetic with vomiting, deep breathing and drowsiness'. THIRD PERSON ONLY — the first stays held in both languages. The Kinyarwanda hold is clinical, not lexical: whether a patient who can feel drowsy and notice their own deep breathing is drowsy enough for the concept. An observer reporting all three signs has no such problem, the same split as HT03 and NE06. Kinyarwanda is unauthored for both persons, so this is drafted from the gloss."
CC02,third,"{REL} is sweating and shaking and is confused, their sugar is low",new_draft,ok,low,utterance,"gloss 'hypoglycaemia with sweating and confusion'. THIRD PERSON ONLY, same reason as CC01 — and the Kinyarwanda note names this explicitly as NE06's question: sweating is self-perceived, only the confusion is not. Kinyarwanda unauthored for both persons."
CC03,first,My blood pressure has gone very high and my head is aching badly,new_draft,ok,medium,utterance,"gloss 'very high blood pressure with headache'. Matches 'Umuvuduko w'amaraso wanjye wazamutse cyane kandi umutwe urandya cyane.' CARRIES EX09 INSIDE IT, as the Kinyarwanda does — see EX09's note. This is an inherited collision, not one introduced here, and it is on the Kinyarwanda session's list of five."
CC03,third,{REL}'s blood pressure has gone very high and their head is aching badly,new_draft,ok,medium,utterance,"matches '{REL} umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.'"
CC04,third,{REL} has swollen legs and cannot breathe well when lying flat,new_draft,ok,medium,utterance,"gloss 'swollen legs and breathless lying flat'. THIRD PERSON ONLY — the first is held on ONE Kinyarwanda word, 'ngaramye', which is what makes the phrase orthopnoea rather than ordinary breathlessness. That hold does not transfer as a wording question, because English says 'lying flat' without difficulty; but the row it protects is the first person and the speaker's own third is accepted and needs none of those forms. Matches '{REL} yabyimbye ibirenge kandi ntashobora guhumeka neza iyo aryamye agaramye.' 'When lying flat' carries the agaramye sense that the concept depends on."
CC05,first,I have a sore on my foot that will not heal and I have diabetes,new_draft,ok,medium,utterance,"gloss 'diabetic foot ulcer not healing'. Matches 'Mfite igisebe ku kirenge kidakira kandi mfite diyabete.'"
CC05,third,{REL} has a sore on their foot that will not heal and they have diabetes,new_draft,ok,medium,utterance,"ADULT_RELATIONS by ruling — the concept excludes children on scope rather than rarity, a complication of years of disease. Matches '{REL} afite igisebe ku kirenge kidakira kandi afite diyabete.'"
CC06,first,I have no HIV medicine left,new_draft,ok,medium,utterance,"gloss 'ran out of antiretroviral medicine'. Matches 'Nta miti ya SIDA mfite.' REPLACES a stale draft that carried its own time expression — 'I finished my HIV medicine several days ago' — which is the example section 9 of docs/urgency-frame-coupling.md uses to refine section 8's own counter-example. The speaker's phrase has no duration and neither does this."
CC06,third,{REL} has no HIV medicine left,new_draft,ok,medium,utterance,"matches '{REL} nta miti ya SIDA afite.'"
CC07,first,I have no TB medicine left,new_draft,ok,medium,utterance,"gloss 'ran out of TB medicine'. Matches 'Nta miti y'igituntu mfite.' Parallel to CC06 by design, as the Kinyarwanda pair is; neither is a subsequence of the other because the disease word differs."
CC07,third,{REL} has no TB medicine left,new_draft,ok,medium,utterance,"matches '{REL} nta miti y'igituntu afite.'"
CC08,first,I want a refill of my blood pressure medicine,new_draft,ok,medium,utterance,"gloss 'blood pressure medicine refill'. Matches 'Ndashaka kongererwa imiti y'umuvuduko w'amaraso.' Third person is applies=no, ruled NO_RELATIONS — adult self-service."
CC09,first,I want to come for my diabetes check-up,new_draft,ok,medium,utterance,"gloss 'routine diabetes review'. Matches 'Ndashaka kujya kwa muganga kwisuzumisha diyabete.' FLAG: CC09 and CC10 are the ONE union PREFIX_UNION_CHARS made correctly, and they are now declared in GROUPED_CONCEPTS on the Kinyarwanda side. The English pair does not nest — the disease word sits mid-phrase rather than at the end — so if the two concepts should share a phrase group in English too, that needs declaring rather than falling out of the rule."
CC10,first,I want to come for my HIV check-up,new_draft,ok,medium,utterance,"gloss 'routine HIV clinic follow-up'. Matches 'Ndashaka kujya kwa muganga kwisuzumisha SIDA.' See CC09's note on the declared grouping."
