concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX44,first,J'ai un rendez-vous pour mon bilan annuel.,new_draft,unverified: no gloss,medium,utterance,,"One of the four EX44-EX47 rows whose v1 text is a bare noun phrase declared form=utterance, so it rendered as a fragment with no main clause. The fix is the one the speaker used: prefix a verb. v1's unhyphenated 'rendez vous' is normalised to 'rendez-vous' here and at EX46; PR07's sheet draft already had the hyphen, so v1 and the sheet disagreed with each other."
EX45,first,Je voudrais faire une analyse de sang.,new_draft,unverified: no gloss,medium,utterance,,"Same fragment fix. Third is applies=no, NO_RELATIONS: adult self-service, rule 12's beneficiary-equals-requester case."
EX46,first,J'ai un rendez-vous pour faire vacciner mon enfant.,new_draft,unverified: no gloss,medium,utterance,,"Rule 12: this is a SERVICE concept where the beneficiary and the requester differ, so the first person is the CARER who walks in, not the child. That is why rule 9's duplication test does not apply to it. PA10 collapsed into this concept; its French ('mon enfant doit recevoir ses vaccins') is reserved by the collapse ruling and the Kinyarwanda second_phrasing slot is empty, so nothing is proposed."
EX46,third,{REL} a un rendez-vous pour faire vacciner son enfant.,new_draft,unverified: no gloss,medium,utterance,,"ADULT_RELATIONS, and the group-A ruling working as intended: {REL} is the carer, the child stays LEXICAL as 'son enfant', no relation is a child and nothing goes circular. 'son enfant' is FR-2 and needs no gender ruling."
EX47,first,Je voudrais des conseils pour bien manger.,new_draft,unverified: no gloss,medium,utterance,,"Fragment fix, and the EX47 drift is closed rather than inherited. When the concept-drift survey ran, this row's Kinyarwanda had been rewritten to infant feeding — PR08's concept — and it has since been returned to 'Ndashaka inama ku mirire myiza.', general nutrition. The French follows the returned reading. Checked against PR08 and PR10, which are the other two advice requests: no union in either direction."
EX47,third,{REL} voudrait des conseils pour bien manger.,new_draft,unverified: no gloss,medium,utterance,,
PR01,first,Quelqu'un a la maison a la tuberculose et je voudrais faire le test.,new_draft,ok,medium,utterance,,"FR-1: sheet draft D166's 'je veux etre depiste' is masculine, and the passive is what forces it, so the request is rephrased actively. PR01 IS ALSO THE PAIR THAT FALSIFIED A CLAIM IN THE CLOSURE DOC, and it does so in French too: its {REL} sits MID-PHRASE, so the first and third share a long leading run — 41 characters here — where docs/phrase-group-closure.md argues a prefix rule 'can never catch a first/third pair, because a third-person phrase begins with {REL}'. That held while every {REL} was sentence-initial and it no longer does. Harmless: the two persons of one concept are declared into one group anyway."
PR01,third,Quelqu'un a la maison a la tuberculose et {REL} voudrait faire le test.,new_draft,ok,medium,utterance,,"{REL} is mid-phrase here, so lint's rule-2 positional check will warn that it is not at the head. It is still the grammatical subject of its clause, which is what rule 2 is about; the warning is the heuristic's known weakness and the Kinyarwanda third has the identical shape."
PR02,first,,,,,,yes,"OUT OF GENERATION, not merely held, and deliberately NOT applies=no. The concept is waiting on a Rwandan service-design ruling about whether men present for family planning. applies=no would record a settled answer where there is an open question, and would move the resolved count. Nothing is drafted. Sheet draft D168's text is recorded as dropped by the builder."
PR02,third,,,,,,yes,Third is additionally pinned 'NONE — do not generate' in routine_relation_sets.csv.
