# GENERATED FILE - DO NOT EDIT BY HAND.
# Written by review/emit_seed_curve.py.
# Arithmetic on the gate thresholds in dataset/corpus_gates.py, not a
# measurement: y = x * rows_per_seed where x >= seed_floor, else 0.
# seed_floor=3000  rows_per_seed=50  ours=165
seeds rows
0 0
165 0
250 0
500 0
750 0
1000 0
1250 0
1500 0
1750 0
2000 0
2250 0
2500 0
2750 0
2999 0
3000 150000
3250 162500
3500 175000
3750 187500
4000 200000
4250 212500
4500 225000
4750 237500
5000 250000
5250 262500
5500 275000
5750 287500
6000 300000
6250 312500
6500 325000
6750 337500
7000 350000
7250 362500
7500 375000
7750 387500
8000 400000
8250 412500
8500 425000
8750 437500
9000 450000
9250 462500
9500 475000
9750 487500
10000 500000
10250 512500
10500 525000
10750 537500
11000 550000
11250 562500
11500 575000
11750 587500
12000 600000
12250 612500
12500 625000
12750 637500
13000 650000
13250 662500
13500 675000
13750 687500
14000 700000
14250 712500
14500 725000
14750 737500
15000 750000
15250 762500
15500 775000
15750 787500
16000 800000
16250 812500
16500 825000
16750 837500
17000 850000
17250 862500
17500 875000
17750 887500
18000 900000
18250 912500
18500 925000
18750 937500
19000 950000
19250 962500
19500 975000
19750 987500
20000 1000000
