concept_id,domain,proposed_urgency,english_gloss,person,person_note,applies,action,relation_set,relation_set_members,keep_distinct_from,hold,needs_clinician,brief_notes,your_phrasing,second_phrasing_optional,regional_variant,your_notes
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,first,,yes,WRITE,,,"EX05 — CR01 is the JAW (or jaw and arm), EX05 is the ARM only. This is the one concept pair in the corpus with a recorded axis; keep the two sentences from containing one another.",,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,"EX05 — CR01 is the JAW (or jaw and arm), EX05 is the ARM only. This is the one concept pair in the corpus with a recorded axis; keep the two sentences from containing one another.",,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,first,,yes,WRITE,,,EX02 (serious difficulty breathing — CR02 is worse: cannot finish a sentence),,,First person: the patient's own words about themselves. No {REL} in this row.,,,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,EX02 (serious difficulty breathing — CR02 is worse: cannot finish a sentence),,,"Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips,first,,yes,WRITE,,,EX04 (breathing trouble with lips changing colour),,,"Gloss taken from concept_anchors.csv, which was narrowed by a ruling the spine never picked up. The spine still says 'central cyanosis - blue lips or fingertips'. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips,third,,yes,WRITE,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,EX04 (breathing trouble with lips changing colour),,,"Gloss taken from concept_anchors.csv, which was narrowed by a ruling the spine never picked up. The spine still says 'central cyanosis - blue lips or fingertips'. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,first,,yes,SKIP — held,,,,yes,yes,"Held for a clinician: the two available ways of describing lower chest indrawing are not the same description, and choosing between them is a clinical call. | For a clinician: lower chest indrawing can be described as the chest sinking, or as the area under the ribs being pulled in. They are not the same description and the choice has not been made. This row is held.",,,,
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,third,,yes,SKIP — held,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,yes,yes,"Held for a clinician: the two available ways of describing lower chest indrawing are not the same description, and choosing between them is a clinical call. | For a clinician: lower chest indrawing can be described as the chest sinking, or as the area under the ribs being pulled in. They are not the same description and the choice has not been made. This row is held.",,,,
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,first,,yes,WRITE — and answer the question in brief_notes,,,,,,"QUESTION 1 OF 3 — WHEEZE. Kinyarwanda and English are both stuck on the same thing. The Kinyarwanda draft says 'an unusual sound', which a clinician says is not specifically wheeze; the English says 'a whistling sound', which is the standard lay description in British and American English and which nobody can confirm a Rwandan patient would reach for. WHAT WE ARE ASKING: is there an ordinary, non-clinical Kiswahili way a patient describes the sound of wheeze? If there is no such expression and patients describe this some other way — the chest being tight, breathing being hard, imitating the sound — write what they ACTUALLY say and tell us in your_notes what you had to leave out. | First person: the patient's own words about themselves. No {REL} in this row.",,,,
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,third,,yes,WRITE — and answer the question in brief_notes,ALL_RELATIONS,My child / My wife / My husband / My mother / My father / My sister / My neighbour / My grandmother,,,yes,"QUESTION 1 OF 3 — WHEEZE. Kinyarwanda and English are both stuck on the same thing. The Kinyarwanda draft says 'an unusual sound', which a clinician says is not specifically wheeze; the English says 'a whistling sound', which is the standard lay description in British and American English and which nobody can confirm a Rwandan patient would reach for. WHAT WE ARE ASKING: is there an ordinary, non-clinical Kiswahili way a patient describes the sound of wheeze? If there is no such expression and patients describe this some other way — the chest being tight, breathing being hard, imitating the sound — write what they ACTUALLY say and tell us in your_notes what you had to leave out. | The Kinyarwanda row is held; the hold is LIFTED here because the Kinyarwanda hold is on whether 'ijwi ridasanzwe' (an unusual sound) maps to wheeze — a question about a Kinyarwanda word. See QUESTION 1. Write this row. | Write the five characters {REL} where the relation word goes. Make {REL} the GRAMMATICAL SUBJECT of the sentence, and check your sentence still reads naturally for every relation listed in relation_set_members. Never mix first and third person inside one sentence.",,,,
