concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,suggestion_note
EX44,first,I have an appointment for my yearly check-up,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'Mfite gahunda yo kwisuzumisha buri mwaka.' This is one of the four EX rows the speaker rewrote on 2026-09-04 from a bare nominal to a first-person sentence, so the relation rulings apply; the English follows that shape rather than v1's noun phrase 'an annual checkup appointment'."
EX45,first,I want to have a blood test,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'Ndashaka ko bapima amaraso.' Worded away from PR06 ('I want my blood pressure checked') so neither is a subsequence of the other — 'a blood test' rather than 'my blood tested' is what breaks it."
EX46,first,I have an appointment to get my child vaccinated,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'Mfite gahunda yo gukingiza umwana.' Rule 12: the requester is the carer, so the first person is the parent. PA10 collapsed into this concept."
EX46,third,{REL} has an appointment to get their child vaccinated,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"ADULT_RELATIONS — group A, the carer speaks and the child stays lexical, so {REL} is the adult and 'their child' is the patient. Matches '{REL} afite gahunda yo gukingiza umwana.'"
EX47,first,I want advice about eating well,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches 'Ndashaka inama ku mirire myiza.' THE EX47 DRIFT IS CLOSED: when the concept-drift survey ran, EX47's Kinyarwanda had been rewritten to 'kugirwa inama ku biryo byo kugaburira umwana' — infant feeding, which is PR08's concept. It has since been returned to general nutrition, so EX47 and PR08 are distinct again and the flag in review/ex-concept-drift.md is discharged."
EX47,third,{REL} wants advice about eating well,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,"matches '{REL} ashaka inama ku mirire myiza.'"
PR01,first,Someone at home has TB and I want to be checked,new_draft,ok,medium,utterance,"gloss 'household contact of a TB patient'. Matches 'Mu rugo hari umuntu urwaye igituntu kandi ndashaka kwisuzumisha.'"
PR01,third,Someone at home has TB and {REL} wants to be checked,new_draft,ok,medium,utterance,"matches 'Mu rugo hari umuntu urwaye igituntu kandi {REL} ashaka kwisuzumisha.' {REL} is mid-phrase, so lint warns positionally — the speaker's own shape. NOTE: this pair is why the closure doc's claim that 'the prefix rule can never catch a first/third pair' stopped being true — with {REL} mid-phrase the two persons share 42 leading characters in Kinyarwanda. In English they are joined anyway, as any concept's two persons are."
PR03,first,I would like to be tested for HIV,new_draft,ok,medium,utterance,"gloss 'HIV test request'. Matches 'Ndashaka ko bapima SIDA.'"
PR03,third,{REL} would like to be tested for HIV,new_draft,ok,medium,utterance,"HOUSEHOLD_RELATIONS by ruling. Matches '{REL} ashaka ko bapima SIDA.'"
PR04,first,I have come to collect a mosquito net,new_draft,ok,medium,utterance,"gloss 'collecting a mosquito net'. Matches 'Ndashaka guhabwa inzitiramubu.'"
PR04,third,{REL} has come to collect a mosquito net,new_draft,ok,medium,utterance,"HOUSEHOLD_RELATIONS by ruling. Matches '{REL} ashaka guhabwa inzitiramubu.'"
PR06,first,I want my blood pressure checked,new_draft,ok,medium,utterance,"gloss 'blood pressure screening'. Matches 'Ndashaka ko bapima umuvuduko w'amaraso.' Third person is applies=no — ruled NO_RELATIONS, adult self-service."
PR07,first,I want to be checked for cervical cancer,new_draft,ok,medium,utterance,"gloss 'cervical screening appointment'. Matches 'Ndashaka kwisuzumisha kanseri y'inkondo y'umura.' The speaker chose this SHORT form deliberately — the longer 'Ndashaka kujya kwa muganga kwisuzumisha X' frame shares 40 characters with CC09 and CC10 and would have grouped all three. The English inherits no such constraint but the short form is also the better register."
PR08,first,I want advice on what to feed my young child,new_draft,ok,medium,utterance,"gloss 'infant feeding advice'. Matches 'Ndashaka inama ku biryo byo kugaburira umwana wanjye.' Rule 12: the requester is the carer. Distinct from EX47 now that EX47 has returned to general nutrition."
PR08,third,{REL} wants advice on what to feed their young child,new_draft,ok,medium,utterance,"ADULT_RELATIONS — group A. Matches '{REL} ashaka inama ku biryo byo kugaburira umwana we.'"
PR09,first,I want deworming medicine for my child,new_draft,ok,medium,utterance,"gloss 'deworming for a child'. Matches 'Ndashaka imiti y'inzoka y'umwana wanjye.'"
PR09,third,{REL} wants deworming medicine for their child,new_draft,ok,medium,utterance,"ADULT_RELATIONS — group A. Matches '{REL} ashaka imiti y'inzoka y'umwana we.'"
PR10,first,I want advice on making our drinking water safe,new_draft,ok,medium,utterance,"gloss 'advice on safe drinking water'. Matches 'Ndashaka kugirwa inama ku mazi yo kunywa.' 'Our' rather than 'my' because the concept is a household one, which is also why the third is HOUSEHOLD_RELATIONS."
PR10,third,{REL} wants advice on making their drinking water safe,new_draft,ok,medium,utterance,"HOUSEHOLD_RELATIONS by ruling. Matches '{REL} ashaka kugirwa inama ku mazi yo kunywa.'"
