item_id,text,language,gold_label,scenario_id,split
kw-000201,Yabyutse ururimi rwarabyimbye nyuma yo gufata umuti mushya.,kinyarwanda,CRITICAL,s4a1c97ba6f0e,train
kw-000202,"Umwana yanyweye mu icupa ryari munsi ya robine, nyina ntazi icyoyari kirimo.",kinyarwanda,CRITICAL,s5373cdf817d3,train
kw-000203,Avuga ko uruhinja rufite kubyimba korohereye ku mutwe kandi ko rutari rufite icyo kibyimba ruvuka.,kinyarwanda,URGENT,sbb09311ee497,train
kw-000204,"Umuhinzi yateye umuti wica udukoko atambaye agapfukamunwa, ubu akaba azungera kandi acira amacandwe menshi.",kinyarwanda,CRITICAL,sd5d380e00ea6,train
kw-000205,Yaje kubaza impamvu imiti afata ituma inkari ze zihindura ibara ridasanzwe.,kinyarwanda,ROUTINE,s502444290e57,train
kw-000206,Umuhungu ntiyashoboye kurambura ukuboko kuva aguye mu cyumweru gishize.,kinyarwanda,URGENT,s4c81def1c46f,train
kw-000207,Avuga ko agira ububabare mu gihe cy'imibonano mpuzabitsina kandi akaba atarabibwira umuntu.,kinyarwanda,ROUTINE,scc3162a22727,train
kw-000209,"Yikase ubwo yabaga ihene, ubu afite impungenge ko igikomere cyandura.",kinyarwanda,URGENT,s79c8208b691c,train
kw-000210,Umwana amaze ibyumweru bibiri agenda arembera kandi nta gikomere bazirikana yagize.,kinyarwanda,URGENT,s6a81c91a1625,train
kw-000212,"Yumva umutima utera cyane ari kuruhuka, bikamara iminota mike bikareka.",kinyarwanda,URGENT,sbc78a219fe47,train
kw-000213,"Uruhinja rufite itwike ku munwa, nyina arashaka kumenya icyo bakora.",kinyarwanda,ROUTINE,s0f1f635754a5,train
kw-000217,Ashaka kumenya niba ashobora konsa ari gufata imiti y'igituntu.,kinyarwanda,ROUTINE,s5d5c88baca06,train
kw-000219,Umwarimu yazanye umwana utabasha kubona neza ku kibaho.,kinyarwanda,ROUTINE,s0a3e0a447c3d,train
kw-000220,Avuga ko amaze gukorora kuva atangiye gukorera mu bubiko bw'ibinyampeke.,kinyarwanda,ROUTINE,sd79689ddf251,train
kw-000221,"Umugore yaguye atwaye amazi, agwa ku kuboko kwe hafi y'ikiganza.",kinyarwanda,URGENT,s90940f608ff1,train
kw-000222,Umwana afite umuriro kandi ijosi rirakomeye kuva muri iki gitondo.,kinyarwanda,CRITICAL,s0cdc286228e0,train
kw-000224,Yumva umuhogo umufashe iyo afite ubwoba cyangwa ahangayitse.,kinyarwanda,ROUTINE,s58ca3005ac66,train
kw-000228,Avuga ko ububabare bwo mu menyo bumukangura nijoro.,kinyarwanda,ROUTINE,s293863f34ee4,train
kw-000230,Umugore avuga ko yumva umwana atakigenda cyane nk'uko bisanzwe.,kinyarwanda,URGENT,sd3c2649a28c2,train
kw-000231,Afite igisebe ku munwa kimaze ukwezi.,kinyarwanda,ROUTINE,s5033b836286b,train
kw-000233,Avuga ko kuva ejo umwana yanga gukandagiza ukuguru kumwe.,kinyarwanda,URGENT,s6a72cdeffa86,train
kw-000236,Avuga ko atwite kandi amaze icyumweru aruka ibyo arya cyangwa anywa byose.,kinyarwanda,URGENT,se208a532c9ec,train
kw-000237,Umugabo yikase igikumwe akoresheje umuhoro maze agipfuka umwenda.,kinyarwanda,URGENT,s9bb6ed885bb3,train
kw-000238,Umwana afite kubyimba inyuma y'ugutwi kubabaza.,kinyarwanda,URGENT,s1ccf884e41f2,train
kw-000241,Avuga ko akorora iyo anyweye amazi.,kinyarwanda,ROUTINE,s6c098bd4511c,train
kw-000242,Uruhinja rwabyarijwe n'umubyaza gakondo kandi rufite umuriro.,kinyarwanda,URGENT,s5d7ccaef12a3,train
kw-000244,Avuga ko ububabare bwatangiriye mu nda bukaza kwimukira hepfo iburyo.,kinyarwanda,URGENT,se3ab53e75460,train
kw-000247,Umwana ahora akurura ugutwi kandi afite umuriro.,kinyarwanda,URGENT,s30a597c4dbdc,train
kw-000248,Yaje kuko farumasi yanze kumuha imiti atazanye urupapuro rwa muganga.,kinyarwanda,ROUTINE,sec0be5655a94,train
kw-000249,Avuga ko kubyimba mu dusabo tw'intanga bimaze umwaka byiyongera.,kinyarwanda,ROUTINE,sa4f12e7e3d1d,train
kw-000250,Umugore avuga ko kuva yabyara amaraso atarahagarara.,kinyarwanda,CRITICAL,sc43cc42e7b36,train
kw-000251,Umwana yarumwe ukuboko n'injangwe.,kinyarwanda,URGENT,sec31330bcfb0,train
kw-000252,Avuga ko amaze igihe abona nk'urumuri rutunguranye mu jisho rimwe.,kinyarwanda,URGENT,s3a754601d9f9,train
kw-000253,Umugabo avuga ko amaze guhagarika inzoga umubiri udahagarika gutitira.,kinyarwanda,URGENT,s1c42e64dfbfe,train
kw-000254,Yaje gufata imiti yo kuvura inzoka z'umwana.,kinyarwanda,ROUTINE,sfc6e5cf100dd,train
kw-000255,Avuga ko ububabare bwo mu gituza bwatangiye atwaye umufuka kandi bukaba butarahagarara.,kinyarwanda,CRITICAL,sb02d0949a9c2,train
kw-000256,Nyina avuga ko uruhinja rwe rugonda umugongo kandi rugataka nyuma yo konka cyangwa kurya.,kinyarwanda,ROUTINE,s450678c11000,train
kw-000257,Yabwiwe ko afite amaraso make kandi abaza ibyo yakwiriye kurya.,kinyarwanda,ROUTINE,s0bddb019fcc0,train
kw-000259,Umwana afite utubara twera ku ruhu kandi tutamuryaryata.,kinyarwanda,ROUTINE,sbd8a07cb0be2,train
kw-000260,Umugore avuga ko imihango yatinze kandi afite ububabare ku ruhande rumwe rw'inda.,kinyarwanda,URGENT,se1612466e104,train
kw-000265,"Avuga ko ijisho rimwe ryijimye ntabona mu gihe cy'iminota mike, nyuma akongera kubona.",kinyarwanda,URGENT,s2f300a556cd0,train
kw-000266,Yaje kubaza niba umuryango wose ugomba kwisuzumisha nyuma y'uko umwe muri bo arwaye igituntu.,kinyarwanda,ROUTINE,s0e89d7a9baeb,train
kw-000267,"Umwana yaguye mu muriro wo gutekamo, atwika ukuboko n'igice cy'ukuboko kugera ku nkokora.",kinyarwanda,URGENT,s514ff6e54236,train
kw-000269,Umugabo avuga ko kuva ejo mu gitondo atigeze yihagarika.,kinyarwanda,URGENT,s85d831a63681,train
kw-000270,Avuga ko inkorora imufite kuva yavuka kandi nta muntu wigeze amusobanurira impamvu.,kinyarwanda,ROUTINE,s46185fa719e9,train
