concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX38,first,"Je suis enceinte, j'ai tres mal au ventre et je saigne.",new_draft,unverified: no gloss,medium,utterance,,"v1 French was 'de fortes douleurs au ventre pendant la grossesse avec saignement', which CONTAINED EX14's v1 candidate word for word — the grouping check reported it on the first run of this brief. Both rows have since been redrafted and the containment is gone. In Kinyarwanda EX14's third is an ordered subsequence of this row; French inherits neither direction."
EX38,third,"{REL} est enceinte, elle a tres mal au ventre et elle saigne.",new_draft,unverified: no gloss,medium,utterance,,"'elle' IS AVAILABLE HERE AND NOWHERE ELSE IN THE CORPUS. OBSTETRIC_RELATIONS is uniformly feminine once 'Ma voisine' resolves the neighbour, so a feminine pronoun is correct for all four expansions. This is the same affordance English described — the one place a language can express a restriction Kinyarwanda can only imply — and French gets it twice over, at the relation noun and at the pronoun."
EX39,first,J'ai accouche et maintenant je saigne beaucoup.,new_draft,unverified: no gloss,medium,utterance,,"v1 'un saignement important apres l'accouchement' as an utterance, following 'ndava amaraso menshi nyuma yo kubyara'. 'accouche' follows 'avoir' with the object after it, so it is invariable."
EX39,third,{REL} a accouche et maintenant elle saigne beaucoup.,new_draft,unverified: no gloss,medium,utterance,,"Checked against EX18, which is the other heavy-bleeding row: neither contains the other."
OB01,first,Je suis enceinte et j'ai fait une crise.,new_draft,ok,medium,utterance,,"Sheet draft D004 was 'des convulsions pendant la grossesse' — a noun phrase with no speaker. Follows 'Ndatwite kandi nagagaye.' 'fait' is invariable with the object after it, and 'enceinte' is correct rather than an FR-1 defect."
OB01,third,{REL} est enceinte et elle a fait une crise.,new_draft,ok,medium,utterance,,
OB02,first,"Je suis enceinte, j'ai tres mal a la tete et je ne vois pas bien.",new_draft,ok,medium,utterance,,"Sheet draft D008 was 'un mal de tete violent avec une vue trouble enceinte', where 'enceinte' dangles at the end with nothing to attach to. Rebuilt as an utterance following the speaker's clause order."
OB02,third,"{REL} est enceinte, elle a tres mal a la tete et elle ne voit pas bien.",new_draft,ok,medium,utterance,,
OB03,first,Je suis en train d'accoucher mais le cordon est sorti avant le bebe.,new_draft,ok,medium,utterance,,"needs_clinician INHERITED AND IT MEANS WHAT IT SAYS: the wording is settled by the speaker but no clinician has validated the concept, and the standing instruction is DO NOT GENERATE UNTIL VALIDATED. Drafted so the row is reviewable, not so it can be built."
OB03,third,{REL} est en train d'accoucher mais le cordon est sorti avant le bebe.,new_draft,ok,medium,utterance,,"Same clinician flag. The gloss says 'cord OR HAND presenting'; both the speaker's phrase and every draft in every language carry only the cord, so the hand limb is a gloss claim no language makes. Flagged, not fixed — narrowing a gloss is the reviewer's call and CR03 is the worked example of doing it in all the places at once."
OB04,first,Je suis en travail depuis toute la journee et le bebe n'est pas sorti.,new_draft,ok,medium,utterance,,"Carries its own duration and joins the ONSET collision list with CR06, EX12, GI06, EX29 and IF04. The duration is the concept here — labour over 24 hours — so it cannot be dropped. Sheet draft D016's 'depuis hier' is replaced by the speaker's 'umunsi wose', the whole day."
OB04,third,{REL} est en travail depuis toute la journee et le bebe n'est pas sorti.,new_draft,ok,medium,utterance,,
OB05,first,"Depuis mon accouchement, j'ai de la fievre et des pertes qui sentent mauvais.",new_draft,ok,medium,utterance,,needs_clinician inherited: the discharge description is settled wording that no clinician has validated. 'malodorantes' from sheet draft D020 is down-registered to 'qui sentent mauvais' (rule 1).
OB05,third,"Depuis son accouchement, {REL} a de la fievre et des pertes qui sentent mauvais.",new_draft,ok,medium,utterance,,"{REL} is not phrase-initial, so lint's rule-2 positional check will warn. It is still the grammatical subject; the speaker's own third has the identical shape ('Nyuma yo kubyara, {REL} afite...') and so does the English."
OB06,first,,,,,,yes,"HELD, AND THE RETAINED CANDIDATE IS NOW ON THE WRONG CONCEPT — which is the thing to notice here. OB06 was RE-RULED on 2026-09-05: it is FETAL DEMISE, the baby has died in the womb, because a Kinyarwanda speaker confirms 'ntagikina' means died and that no natural phrase says 'reduced movement'. Sheet draft D024 ('le bebe ne bouge plus dans mon ventre') and the English brief's 'the baby is no longer moving in my stomach' both describe REDUCED OR ABSENT MOVEMENT, which is now OB13's concept, not this one. So the French candidate and the entire English row are attached to a concept that no longer exists at this id. Nothing is drafted: the hold is for a clinician, on whether the urgency change to CRITICAL is right and whether fetal demise belongs in a triage taxonomy at all, since it is the one presentation here where no intervention follows."
OB06,third,,,,,,yes,Held with the first.
OB07,first,J'ai perdu les eaux et je ne suis pas encore a terme.,new_draft,ok,medium,utterance,,'perdu' is invariable with the object after it.
OB07,third,{REL} a perdu les eaux et elle n'est pas encore a terme.,new_draft,ok,medium,utterance,,"The speaker's third uses the possessive ('amazi ye yamenetse'); French puts {REL} in subject position per rule 2 and loses nothing, because 'elle' resolves inside the obstetric four."
OB08,first,J'ai des douleurs comme pour accoucher et je ne suis pas encore a terme.,new_draft,ok,medium,utterance,,"Follows 'Ndumva mbabara nk'ugiye kubyara' — pains AS IF about to give birth — rather than sheet draft D032's 'douleurs de travail', which is the clinical term."
OB08,third,{REL} a des douleurs comme pour accoucher et elle n'est pas encore a terme.,new_draft,ok,medium,utterance,,
