task,domain,proposed_urgency,concept_id,english_gloss,who_imci_reference,original_corpus_phrase,speaker_phrase,speaker_added_row,is_this_natural_yes_no,your_phrasing,second_phrasing_optional,notes
AUTHOR new,cardiac_respiratory,CRITICAL,CR01,crushing central chest pain spreading to jaw or arm,not IMCI (adult presentation),,,,,,,
AUTHOR new,cardiac_respiratory,CRITICAL,CR02,too breathless to complete a sentence,not IMCI (adult presentation),,,,,,,
AUTHOR new,cardiac_respiratory,CRITICAL,CR03,central cyanosis - blue lips or fingertips,"IMCI: central cyanosis, severe respiratory distress",,,,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,ububabare bukabije mu gituza kandi sinshobora guhumeka,mu gituza harandya cyane kandi sinshobora guhumeka neza,,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,ikibazo cyo guhumeka nabi cyane,guhumeka birangora cyane,,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,umutima utera cyane nk'aho uhagarara,umutima uratera cyane kandi nkumva umeze nk'aho uhagarara,,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,guhumeka nabi n'iminwa ihindura ibara,guhumeka birangora cyane kandi iminwa yanjye yahindutse ibara,,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,agahinda gakabije mu gituza kanyura mu kuboko,mu gituza harandya cyane kandi ububabare bukagera no ku kuboko,,,,,
AUTHOR new,cardiac_respiratory,URGENT,CR04,fast breathing with lower chest wall indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,,,,,,,
AUTHOR new,cardiac_respiratory,URGENT,CR05,wheeze with chest tightness,IMCI: wheeze (assess for asthma),,,,,,,
AUTHOR new,cardiac_respiratory,URGENT,CR06,cough over two weeks with weight loss,"not IMCI (TB screening, adult)",,,,,,,
