concept_id,relation,rendered,your_ruling
EX40,Umwana wanjye,Umwana wanjye ari guhinda umushyitsi kandi afite umuriro uri hejuru ya dogere 40,
EX40,Umuhungu wanjye,Umuhungu wanjye ari guhinda umushyitsi kandi afite umuriro uri hejuru ya dogere 40,
EX40,Umukobwa wanjye,Umukobwa wanjye ari guhinda umushyitsi kandi afite umuriro uri hejuru ya dogere 40,
EX40,Umwuzukuru wanjye,Umwuzukuru wanjye ari guhinda umushyitsi kandi afite umuriro uri hejuru ya dogere 40,
EX40,Umwana w'umuturanyi,Umwana w'umuturanyi ari guhinda umushyitsi kandi afite umuriro uri hejuru ya dogere 40,
EX41,Umwana wanjye,"Umwana wanjye afite ikibazo cyo kutabasha guhumeka neza, kandi uruhu rwe rwahindutse ubururu",
EX41,Umuhungu wanjye,"Umuhungu wanjye afite ikibazo cyo kutabasha guhumeka neza, kandi uruhu rwe rwahindutse ubururu",
EX41,Umukobwa wanjye,"Umukobwa wanjye afite ikibazo cyo kutabasha guhumeka neza, kandi uruhu rwe rwahindutse ubururu",
EX41,Umwuzukuru wanjye,"Umwuzukuru wanjye afite ikibazo cyo kutabasha guhumeka neza, kandi uruhu rwe rwahindutse ubururu",
EX41,Umwana w'umuturanyi,"Umwana w'umuturanyi afite ikibazo cyo kutabasha guhumeka neza, kandi uruhu rwe rwahindutse ubururu",
EX42,Umwana wanjye,Umwana wanjye afite umuriro n'uduheri ku mubiri,
EX42,Umuhungu wanjye,Umuhungu wanjye afite umuriro n'uduheri ku mubiri,
EX42,Umukobwa wanjye,Umukobwa wanjye afite umuriro n'uduheri ku mubiri,
EX42,Umwuzukuru wanjye,Umwuzukuru wanjye afite umuriro n'uduheri ku mubiri,
EX42,Umwana w'umuturanyi,Umwana w'umuturanyi afite umuriro n'uduheri ku mubiri,
EX43,Umwana wanjye,Umwana wanjye afite umuriro mwinshi kandi ntabwo arimo kubasha kurya,
EX43,Umuhungu wanjye,Umuhungu wanjye afite umuriro mwinshi kandi ntabwo arimo kubasha kurya,
EX43,Umukobwa wanjye,Umukobwa wanjye afite umuriro mwinshi kandi ntabwo arimo kubasha kurya,
EX43,Umwuzukuru wanjye,Umwuzukuru wanjye afite umuriro mwinshi kandi ntabwo arimo kubasha kurya,
EX43,Umwana w'umuturanyi,Umwana w'umuturanyi afite umuriro mwinshi kandi ntabwo arimo kubasha kurya,
PA09,Umugore wanjye,Umugore wanjye ashaka ko bapima ibiro by'umwana we.,
PA09,Umugabo wanjye,Umugabo wanjye ashaka ko bapima ibiro by'umwana we.,
PA09,Mama,Mama ashaka ko bapima ibiro by'umwana we.,
PA09,Papa,Papa ashaka ko bapima ibiro by'umwana we.,
PA09,Mushiki wanjye,Mushiki wanjye ashaka ko bapima ibiro by'umwana we.,
PA09,Umuturanyi wanjye,Umuturanyi wanjye ashaka ko bapima ibiro by'umwana we.,
PA09,Umukecuru,Umukecuru ashaka ko bapima ibiro by'umwana we.,
