concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
CC01,first,,,,,,yes,"HELD, and the hold does not lift for French — the Kinyarwanda reason is clinical, not lexical: whether a patient drowsy enough to be in diabetic ketoacidosis can report their own drowsiness is rule 11's question and it is the same question in any language. Sheet draft D126 is left in place as the record, and it is separately an FR-1 defect ('je suis tres somnolent', masculine for a patient of unknown gender)."
CC01,third,"{REL} a du diabete, vomit, respire profondement et somnole beaucoup.",new_draft,ok,medium,utterance,,"Drafted while the first is held: an observer reporting drowsiness has none of the first person's problem — the HT03, NE06 and CC02 split. FR-1: 'est tres somnolent' agrees, so the verb 'somnoler' carries it instead."
CC02,first,,,,,,yes,"HELD, same ground as CC01, and the spine names NE06's question explicitly: whether a confused patient can report confusion. Not a French question."
CC02,third,"{REL} tremble, transpire et n'a plus les idees claires, son sucre est bas.",new_draft,ok,medium,utterance,,"FR-1: third use of the 'ne plus avoir les idees claires' idiom in place of 'confus', after HT03 and NE06. 'son sucre' is FR-2."
CC03,first,Ma tension est tres elevee et j'ai tres mal a la tete.,new_draft,ok,medium,utterance,,"THE EX09 CONTAINMENT NEVER EXISTED IN FRENCH, and it no longer exists anywhere. English MIRRORED it deliberately — 'My blood pressure has gone very high' sits whole inside its CC03 — on the argument that wording around a source-side collision goes unmotivated the moment the source is fixed. The source was then fixed: the Kinyarwanda session reworded EX09 to 'Mfite umuvuduko...' and the collision dissolved. The French pair does not nest either way under the real splitter rule, so nothing here is a workaround. 'tension' rather than v1's 'tension arterielle', which is clinician register (rule 1)."
CC03,third,La tension de {REL} est tres elevee et la tete lui fait tres mal.,new_draft,ok,medium,utterance,,"Mirrors 'umutwe uramubabaza cyane' with the invariable 'lui', as at EX07 and EX28."
CC04,first,J'ai les jambes enflees et je ne peux pas bien respirer quand je m'allonge.,new_draft,ok,medium,utterance,,"HOLD LIFTED BECAUSE THE SPEAKER AUTHORED IT, not because French routed around anything. The English brief still holds this row; it is stale. The hold turned on ONE WORD, 'ngaramye' — lying flat — which is what makes the phrase orthopnoea rather than ordinary breathlessness, and the speaker's 'iyo ndagaramye' restores it. FR-1: sheet draft D132's 'je ne peux pas respirer ALLONGE' is masculine; 'quand je m'allonge' is a reflexive present and takes no agreement. 'enflees' agrees with 'jambes', a fixed feminine."
CC04,third,{REL} a les jambes enflees et ne peut pas bien respirer en position allongee.,new_draft,ok,medium,utterance,,"FR-1, FIFTH SUB-CASE, and the same family as IF06: the first person's 'quand je m'allonge' does not transform, because 'quand il s'allonge' forces a gender. 'en position allongee' agrees with 'position', a fixed feminine, and keeps the orthopnoea limb the concept turns on."
CC05,first,J'ai une plaie au pied qui ne guerit pas et je suis diabetique.,new_draft,ok,medium,utterance,,"'diabetique' is epicene, so 'je suis diabetique' is safe where 'je suis somnolent' at CC01 is not. Worth stating: FR-1 is about which words inflect, not about avoiding 'etre'."
CC05,third,{REL} a une plaie au pied qui ne guerit pas et est diabetique.,new_draft,ok,medium,utterance,,"ADULT_RELATIONS — the one concept ruling that had to be materialised as a set before it could be in force, and it is the seven relations including the grandmother."
CC06,first,Je n'ai plus de medicaments contre le VIH.,new_draft,ok,medium,utterance,,"Sheet draft D136 was 'j'ai fini mes medicaments contre le VIH IL Y A PLUSIEURS JOURS'. The speaker's 'Nta miti ya SIDA mfite.' carries no duration and the ONSET slot supplies one, so the duration is dropped — the same correction English made to the same row."
CC06,third,{REL} n'a plus de medicaments contre le VIH.,new_draft,ok,medium,utterance,,
CC07,first,Je n'ai plus de medicaments contre la tuberculose.,new_draft,ok,medium,utterance,,"Deliberately parallel to CC06 in structure. Checked: neither is a subsequence of the other, because the disease word is preceded by a different article and nothing else lines up."
CC07,third,{REL} n'a plus de medicaments contre la tuberculose.,new_draft,ok,medium,utterance,,
