concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX12,first,J'ai une diarrhee severe depuis trois jours.,new_draft,unverified: no gloss,medium,utterance,,"v1 text as an utterance. Carries its own duration, so it joins CR06 and GI06 on the ONSET collision list. The duration cannot be dropped here either: three days against GI06's two weeks is the axis between the two concepts."
EX12,third,{REL} a une diarrhee severe depuis trois jours.,new_draft,unverified: no gloss,medium,utterance,,
EX13,first,Je vomis sans arret et je ne peux pas manger.,new_draft,unverified: no gloss,medium,utterance,,"A PARITY GAP THAT CLOSED FROM THE KINYARWANDA SIDE, so the correction v1-cross-language-parity.md anticipated is NOT made. That document lists EX13 among seven positions where en/fr/sw claim more than the Kinyarwanda: v1 said 'kuruka kenshi kandi SINDYA' — I do not eat — against a French 'je ne peux pas manger'. The speaker's rewrite is 'ndakomeza kuruka kandi SINSHOBORA kurya', cannot eat. The Kinyarwanda moved to what the other three already said, so the French stands as it is. Verified against the first brief's original_corpus_phrase, not inferred."
EX13,third,{REL} vomit sans arret et ne peut pas manger.,new_draft,unverified: no gloss,medium,utterance,,
EX14,first,J'ai de fortes douleurs au ventre.,new_draft,unverified: no gloss,medium,utterance,,v1 text with the subject folded in.
EX14,third,{REL} a de fortes douleurs au ventre.,new_draft,unverified: no gloss,medium,utterance,,"Checked against GI07 third through the real splitter rule: no union either way. In Kinyarwanda EX14 sits WHOLE inside GI07 ('inda irandya cyane' inside 'Inda irandya cyane kandi ububabare ntibuhagarara.') and also inside EX38; French inherits neither, because 'de fortes douleurs' and 'une douleur tres forte' are different strings. GI07 needed no contortion in French, unlike English, which had to say 'the stomach' rather than 'their stomach'."
EX15,first,Je vomis beaucoup et je me sens tres faible.,new_draft,unverified: no gloss,medium,utterance,,"PARITY CORRECTION, owed and now paid. v1 French was 'des vomissements et des signes de DESHYDRATATION'; the speaker says weakness in both v1 and v2 ('kuruka no gucika intege bikabije' -> 'ndaruka cyane kandi numva mfite intege nke') and never says dehydration. v1-cross-language-parity.md rates this KY-not-equal-others at high confidence. 'faible' is epicene, so the fix is also FR-1 clean without effort."
EX15,third,{REL} vomit beaucoup et se sent tres faible.,new_draft,unverified: no gloss,medium,utterance,,
EX16,first,"Quand j'ai fini de manger, mon ventre ne va pas bien.",new_draft,unverified: no gloss,medium,utterance,,"v1 'une gene legere a l'estomac apres avoir mange', restructured to the speaker's 'iyo maze kurya' conditional and down-registered from 'gene a l'estomac'. SECOND PHRASING IS AVAILABLE HERE AND ONLY HERE: EX16 first is the one row in the spine whose second_phrasing_optional is filled, with EX17's surviving wording. The French equivalent would be 'Apres avoir mange, j'ai un petit mal de ventre.' — GI08's dropped text, which is the other concept that collapsed into EX16. PROPOSED IN THIS NOTE, NOT WRITTEN: second_phrasing_optional is the reviewer's column."
EX16,third,"Quand {REL} a fini de manger, son ventre ne va pas bien.",new_draft,unverified: no gloss,medium,utterance,,"'son ventre' is FR-2 — the possessive agrees with 'ventre', so one form covers all five CHILD_RELATIONS."
GI01,first,Je vomis tout ce que je mange et je ne peux meme pas boire.,new_draft,ok,medium,utterance,,"Sheet draft D078 as an utterance, following 'Ndaruka ibyo ndya byose kandi sinshobora no kunywa.'"
GI01,third,{REL} vomit toute la nourriture et ne peut meme pas boire.,new_draft,ok,medium,utterance,,"FR-1, THIRD SUB-CASE, AND THE ONE WITH NO FREE FIX. The faithful third person is 'vomit tout ce qu'il mange', and a relative clause whose subject is {REL} forces 'il' or 'elle' — a gender English answers with singular 'they' and French cannot answer at all. Rewritten to 'toute la nourriture', which drops the relative clause and keeps the claim. This is the first place French pays a real cost for the person split, and it is the same shape as the Kinyarwanda object-marker problem that holds CR01 and CR05: the third person is not obtainable from the first by substitution."
GI02,first,Je vomis du sang.,new_draft,ok,medium,utterance,,"Sheet draft D080, unchanged bar the stop. Among the shortest phrases in the inventory, so it is on the grouping check's watch list; measured against GI01, EX13 and EX15 in both persons, no union."
GI02,third,{REL} vomit du sang.,new_draft,ok,medium,utterance,,
GI03,first,Mes selles sont noires comme du goudron.,new_draft,ok,medium,utterance,,"'noires' agrees with 'selles', a fixed feminine plural, so FR-1 is satisfied by the natural wording. The speaker's 'Mfite umwanda usa umukara.' was the last of the four vocabulary blocks to close and took a speaker to settle — three attested candidates were ranked and all three rankings were wrong. French has no such gap and this row was never really blocked here."
GI03,third,Les selles de {REL} sont noires comme du goudron.,new_draft,ok,medium,utterance,,"HOLD LIFTED. Purely lexical in Kinyarwanda: the third was blocked because the first was, and the first was blocked on a word for stool. French has the word. Body part as subject, {REL} as possessor — the CR03 construction."
GI04,third,{REL} a une diarrhee severe et se deshydrate.,new_draft,ok,medium,utterance,,"REDRAFTED AWAY FROM SHEET DRAFT D084, which said 'une diarrhee liquide avec les yeux enfonces et la peau qui reste plissee'. Neither the gloss ('severe diarrhoea with dehydration') nor the speaker's '{REL} afite impiswi zikomeye kandi yagize umwuma' names sunken eyes or a skin pinch — those are IMCI assessment findings a clinician elicits, not what a carer walks in saying, and rule 11's observer limb is about what is directly perceived. FR-1: 'se deshydrate' is a present-tense reflexive and takes no agreement, where 'est deshydrate' would have. The first person is applies=no on the spine and is not drafted."
GI05,first,J'ai du sang dans les selles.,new_draft,ok,medium,utterance,,"FOLLOWS THE GLOSS, NOT THE KINYARWANDA, and the English arm's reason holds unchanged. The speaker's 'Mfite impiswi zirimo amaraso.' says blood in the DIARRHOEA rather than in the stool, because the stool noun was unavailable to them at the time — GI03 has since closed that block with 'umwanda'. A vocabulary constraint is not a finding about how patients speak and should not be propagated into a language that has the word."
GI05,third,{REL} a du sang dans les selles.,new_draft,ok,medium,utterance,,
GI06,first,J'ai la diarrhee depuis plus de deux semaines.,new_draft,ok,medium,utterance,,"Third of the three duration-carrying phrases, with CR06 and EX12. Two weeks against EX12's three days is the axis, so the duration stays and the ONSET collision stays with it."
GI06,third,{REL} a la diarrhee depuis plus de deux semaines.,new_draft,ok,medium,utterance,,
GI07,first,J'ai une douleur tres forte au ventre et elle ne passe pas.,new_draft,ok,medium,utterance,,Sheet draft D090 as an utterance.
GI07,third,{REL} a une douleur tres forte au ventre et elle ne passe pas.,new_draft,ok,medium,utterance,,"Keeps the possessive-free 'au ventre' that French uses naturally here, so no wording-apart was needed against EX14 — see the note there."
