concept_id,relation,rendered,your_ruling
PR01,Umwana wanjye,Mu rugo hari umuntu urwaye igituntu kandi umwana wanjye ashaka kwisuzumisha.,
PR01,Umugore wanjye,Mu rugo hari umuntu urwaye igituntu kandi umugore wanjye ashaka kwisuzumisha.,
PR01,Umugabo wanjye,Mu rugo hari umuntu urwaye igituntu kandi umugabo wanjye ashaka kwisuzumisha.,
PR01,Mama,Mu rugo hari umuntu urwaye igituntu kandi mama ashaka kwisuzumisha.,
PR01,Papa,Mu rugo hari umuntu urwaye igituntu kandi papa ashaka kwisuzumisha.,
PR01,Mushiki wanjye,Mu rugo hari umuntu urwaye igituntu kandi mushiki wanjye ashaka kwisuzumisha.,
PR01,Umuturanyi wanjye,Mu rugo hari umuntu urwaye igituntu kandi umuturanyi wanjye ashaka kwisuzumisha.,
PR01,Umukecuru,Mu rugo hari umuntu urwaye igituntu kandi umukecuru ashaka kwisuzumisha.,
EX46,Umwana wanjye,Umwana wanjye afite gahunda yo gukingiza umwana.,
EX46,Umuhungu wanjye,Umuhungu wanjye afite gahunda yo gukingiza umwana.,
EX46,Umukobwa wanjye,Umukobwa wanjye afite gahunda yo gukingiza umwana.,
EX46,Umwuzukuru wanjye,Umwuzukuru wanjye afite gahunda yo gukingiza umwana.,
EX46,Umwana w'umuturanyi,Umwana w'umuturanyi afite gahunda yo gukingiza umwana.,
EX47,Umwana wanjye,Umwana wanjye ashaka inama ku mirire myiza.,
EX47,Umugore wanjye,Umugore wanjye ashaka inama ku mirire myiza.,
EX47,Umugabo wanjye,Umugabo wanjye ashaka inama ku mirire myiza.,
EX47,Mama,Mama ashaka inama ku mirire myiza.,
EX47,Papa,Papa ashaka inama ku mirire myiza.,
EX47,Mushiki wanjye,Mushiki wanjye ashaka inama ku mirire myiza.,
EX47,Umuturanyi wanjye,Umuturanyi wanjye ashaka inama ku mirire myiza.,
EX47,Umukecuru,Umukecuru ashaka inama ku mirire myiza.,
PR03,Umugore wanjye,Umugore wanjye ashaka ko bapima SIDA.,
PR03,Umugabo wanjye,Umugabo wanjye ashaka ko bapima SIDA.,
PR03,Mama,Mama ashaka ko bapima SIDA.,
PR03,Papa,Papa ashaka ko bapima SIDA.,
PR03,Mushiki wanjye,Mushiki wanjye ashaka ko bapima SIDA.,
PR03,Umwana wanjye,Umwana wanjye ashaka ko bapima SIDA.,
PR04,Umugore wanjye,Umugore wanjye ashaka guhabwa inzitiramubu.,
PR04,Umugabo wanjye,Umugabo wanjye ashaka guhabwa inzitiramubu.,
PR04,Mama,Mama ashaka guhabwa inzitiramubu.,
PR04,Papa,Papa ashaka guhabwa inzitiramubu.,
PR04,Mushiki wanjye,Mushiki wanjye ashaka guhabwa inzitiramubu.,
PR04,Umwana wanjye,Umwana wanjye ashaka guhabwa inzitiramubu.,
PR05,Umugore wanjye,Umugore wanjye aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere.,
PR05,Umugabo wanjye,Umugabo wanjye aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere.,
PR05,Mama,Mama aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere.,
PR05,Papa,Papa aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere.,
PR05,Mushiki wanjye,Mushiki wanjye aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere.,
PR05,Umwana wanjye,Umwana wanjye aratwite kandi ashaka kwisuzumisha kwa muganga bwa mbere.,
PR10,Umugore wanjye,Umugore wanjye ashaka kugirwa inama ku mazi yo kunywa.,
PR10,Umugabo wanjye,Umugabo wanjye ashaka kugirwa inama ku mazi yo kunywa.,
PR10,Mama,Mama ashaka kugirwa inama ku mazi yo kunywa.,
PR10,Papa,Papa ashaka kugirwa inama ku mazi yo kunywa.,
PR10,Mushiki wanjye,Mushiki wanjye ashaka kugirwa inama ku mazi yo kunywa.,
PR10,Umwana wanjye,Umwana wanjye ashaka kugirwa inama ku mazi yo kunywa.,
