concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX12,first,I have had bad diarrhoea for three days,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'maze iminsi itatu ndwaye impiswi zikomeye'. FRAME COLLISION, inherent and not fixable by rewording: the phrase carries its own duration and the ONSET slot supplies another, so this renders as '...for three days for three days'. The Kinyarwanda has the identical problem with ' kuva hashize iminsi itatu'. The duration cannot be dropped — three days is the axis against GI06's two weeks. This is docs/urgency-frame-coupling.md territory: EX12, GI06 and CR06 all carry their own duration in both languages."
EX12,third,{REL} has had bad diarrhoea for three days,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} amaze iminsi itatu arwaye impiswi zikomeye.' Same onset collision as the first person."
EX13,first,I keep vomiting and I cannot eat,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'ndakomeza kuruka kandi sinshobora kurya'. The speaker's rewrite moved this from 'sindya' (I do not eat) to 'sinshobora kurya' (I cannot eat), closing the parity gap against English/French/Swahili in their direction — see review/v1-cross-language-parity.md. English keeps 'cannot'."
EX13,third,{REL} keeps vomiting and cannot eat,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} arakomeza kuruka kandi ntashobora kurya.'"
EX14,first,My stomach is hurting badly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'inda irandya cyane'. WORDED APART FROM GI07 ON PURPOSE — in Kinyarwanda EX14 sits whole inside GI07 ('Inda irandya cyane kandi ububabare ntibuhagarara.'), one of the five multi-concept groups. FLAG: that containment is also evidence they may be one concept. GI07's gloss records the axis (pain that will not settle) but EX14 has no gloss at all, so nothing records that EX14 is the unqualified one. Worth ruling before either generates."
EX14,third,{REL} has bad stomach pain,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} arababara cyane mu nda.' Kept clear of both GI07 third and EX38 third — the Kinyarwanda EX14 third is an ordered subsequence of EX38 third as well, so this concept collides in two directions at once in Kinyarwanda and in neither in English."
EX16,first,After I eat my stomach does not feel right,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'iyo maze kurya numva inda itameze neza'. SECOND PHRASING AVAILABLE, unlike EX22's: the speaker's Kinyarwanda second phrasing is filled here ('iyo maze kurya numva mu nda ntameze neza', EX17's wording kept through the collapse). The English equivalent would be 'After I eat I do not feel well in my stomach' — proposed, not written into second_phrasing_optional, which is the reviewer's column."
EX16,third,After {REL} eats their stomach does not feel right,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'Iyo {REL} amaze kurya, yumva inda itameze neza.' CHILD_RELATIONS by ruling. {REL} is not the first word, the same shape the speaker used."
GI01,first,I vomit everything I eat and I cannot even drink,new_draft,ok,medium,utterance,,"gloss 'vomiting everything, cannot keep fluids down', IMCI general danger sign. Matches 'Ndaruka ibyo ndya byose kandi sinshobora no kunywa.' The 'cannot even drink' clause is what makes this the danger sign rather than EX13's repeated vomiting, so it carries the weight of the concept."
GI01,third,{REL} vomits everything they eat and cannot even drink,new_draft,ok,medium,utterance,,"matches '{REL} araruka ibyo arya byose kandi ntashobora no kunywa.' Singular 'they' per the ruling."
