concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,needs_clinician,hold,suggestion_note
EX04,first,I am struggling to breathe and my lips have changed colour,new_draft,ok,medium,utterance,,,"PARITY CORRECTION, and it now runs the other way. When I first checked, the speaker's EX04 third said 'ubururu' (blue) while the first said 'ibara' (colour); the Kinyarwanda has since been made consistent and BOTH persons now say 'ibara'. So English/French/Swahili naming blue is a three-against-one against a Kinyarwanda that is now internally settled, and under the ruling the English follows the patient's report. Dropping 'blue' also separates EX04 cleanly from CR03, whose speaker text IS 'Iminwa yanjye yahindutse ubururu' — the two concepts were only distinguishable by that word."
EX04,third,{REL} is struggling to breathe and their lips have changed colour,new_draft,ok,medium,utterance,,,"person transform; singular 'their' per the ruling. Matches '{REL} ahumeka bimugora cyane kandi iminwa ye yahindutse ibara.'"
EX43,third,{REL} has a high fever and is not eating,new_draft,ok,medium,utterance,"YES — kept per the ruling. The concept sits deliberately below IMCI's danger sign (not able to DRINK or breastfeed) and the URGENT label depends on that reading being right.",,"PARITY RESTORED. The Kinyarwanda third has been reverted to 'ntarya' since this was drafted, so English and Kinyarwanda now agree and the gap I opened deliberately is closed. v1 English/French/Swahili still say 'refusing'; French and Swahili need the same correction."
EX40,third,{REL} is convulsing and has a fever above 40 degrees,new_draft,ok,medium,utterance,,,"v1 concept with authored Kinyarwanda — '{REL} ari guhinda umushyitsi kandi afite umuriro uri hejuru ya dogere 40'. Both signs kept. SEE THE CONVULSION CLUSTER in review/paediatric-survey.md: this may be one concept with IF02, and PA01 and EX33 sit in the same cluster."
EX41,third,{REL} is struggling to breathe and their skin has turned blue,new_draft,ok,medium,utterance,,,"v1 concept with authored Kinyarwanda — 'uruhu rwe rwahindutse ubururu', SKIN, not lips. That is what distinguishes it from CR03 (lips) and from EX04 (colour unspecified), so the word is doing real work and is kept. Singular 'their' per the ruling."
PA02,third,{REL} is too weak to breastfeed,new_draft,ok,medium,utterance,,,"gloss 'child too weak to breastfeed', IMCI general danger sign. Not entangled with any other concept in the survey: it is the only row about breastfeeding failure. Replaces sheet draft D-paediatric 'my baby is too weak to breastfeed' — same content, {REL} substituted so CHILD_RELATIONS applies. Note the relation set includes 'My neighbour's child', which is plausible for a carer reporting."
PA07,third,{REL} is very thin and is not putting on weight,new_draft,ok,medium,utterance,,,"gloss 'child very thin, not gaining weight', IMCI ACUTE MALNUTRITION. Not entangled. 'Putting on weight' over 'gaining weight' as the parent's register. The MUAC/oedema part of the anchor is deliberately absent — it is the measurement, not the report."
PA08,first,My child's ear is hurting and there is fluid coming out,new_draft,ok,medium,utterance,CLEAR,CLEAR,"HOLD LIFTED — the Kinyarwanda hold is a pure vocabulary blocker and does not transfer. Section 7 records it: no ear term is attested anywhere in the approved Kinyarwanda ('ugutwi' appears in none of the speaker's phrases, none of vocabulary.py, none of the review sheet), so the row cannot be written in Kinyarwanda without the speaker supplying a word. English has no such gap. This is exactly the case the brief's carry-over rule anticipated: inherit the hold, then lift it where the reason is Kinyarwanda wording rather than the concept. RULE 12 NOTE: first person here is the CARER, not the child — the parent reports the child's ear."
PA08,third,{REL} has ear pain and fluid coming out of the ear,new_draft,ok,medium,utterance,,,"person transform. CHILD_RELATIONS, so {REL} is the child and the speaker is the carer either way; the first person differs by naming the child as 'my child' rather than through the relation slot."
PA09,first,I want my child's weight checked,new_draft,ok,medium,utterance,,,"gloss 'child growth monitoring visit'. Matches the speaker's own 'Ndashaka ko bapima ibiro by'umwana wanjye.' Rule 12: the requester is the carer, so first person is the parent, not the child."
PA09,third,{REL} wants their child's weight checked,new_draft,ok,medium,utterance,,,"ADULT_RELATIONS, not CHILD_RELATIONS — group A: the carer speaks and the child stays lexical. So {REL} is the adult and 'their child' is the patient, matching the speaker's '{REL} ashaka ko bapima ibiro by'umwana we.' Singular 'their' per the ruling, and it does double duty here: it is both gender-neutral and the possessive the Kinyarwanda 'we' carries."
