concept_id,person,verdict_register,rw_english_check,notes
EX03,first,,'my heart is racing' is idiomatic. 'My heart is beating fast' is plainer and closer to umutima uratera cyane.,
EX03,third,,'my heart is racing' is idiomatic. 'My heart is beating fast' is plainer and closer to umutima uratera cyane.,
EX06,first,,'short of breath' is idiomatic. 'I cannot breathe well' may be more typical and is closer to the Kinyarwanda.,
EX06,third,,'short of breath' is idiomatic. 'I cannot breathe well' may be more typical and is closer to the Kinyarwanda.,
EX09,first,,'blood pressure has gone very high'. In much East African English 'pressure' alone carries it — 'my pressure is high'. Flagged across EX09 and CC03.,
EX09,third,,'blood pressure has gone very high'. In much East African English 'pressure' alone carries it — 'my pressure is high'. Flagged across EX09 and CC03.,
EX22,first,3,"'infected' is a diagnosis, not an observation. A patient sees red, swollen and pus and infers the rest.",
EX22,third,3,"'infected' is a diagnosis, not an observation. A patient sees red, swollen and pus and infers the rest.",
EX26,first,3,"'malaria symptoms' is the patient naming a diagnosis, and 'chills' is the clinical word for what the Kinyarwanda calls imbeho, feeling cold. Would a patient here say chills, or cold? | 'chills' — flagged with the register verdict above.",
EX26,third,3,"'malaria symptoms' is the patient naming a diagnosis, and 'chills' is the clinical word for what the Kinyarwanda calls imbeho, feeling cold. Would a patient here say chills, or cold? | 'chills' — flagged with the register verdict above.",
EX33,third,,'a fit' and 'still convulsing' — see OB01. This row mixes the lay word and the clinical one in one sentence.,
EX34,first,3,,
EX35,first,,"'my mouth has gone crooked' renders umunwa waragoramye literally. Whether crooked is the word used here, or twisted, or pulled to one side, is a usage question.",
EX35,third,,"'my mouth has gone crooked' renders umunwa waragoramye literally. Whether crooked is the word used here, or twisted, or pulled to one side, is a usage question.",
EX37,first,3,,
CC01,third,3,'breathing deeply' is an observer's clinical description; a carer is more likely to say breathing hard or fast.,
CC02,third,3,"three clauses joined by and, reading as a summary rather than a report. 'Their sugar is low' is good and common; the rest is listy.",
CC03,first,,'blood pressure' — see EX09.,
CC03,third,,'blood pressure' — see EX09.,
CC06,first,,"'I have no HIV medicine left' is faithful to Nta miti ya SIDA mfite. But East African English strongly favours 'my medicine is finished' or 'the medicine got finished', which the Kinyarwanda does not say. Faithfulness and idiom pull apart here.",
CC06,third,,"'I have no HIV medicine left' is faithful to Nta miti ya SIDA mfite. But East African English strongly favours 'my medicine is finished' or 'the medicine got finished', which the Kinyarwanda does not say. Faithfulness and idiom pull apart here.",
CC07,first,,'no TB medicine left' — see CC06.,
CC07,third,,'no TB medicine left' — see CC06.,
CR05,first,,'a whistling sound' is the standard lay description of wheeze in British and American English. Whether a Rwandan patient reaches for it is exactly what the Kinyarwanda hold on 'ijwi ridasanzwe' could not settle either.,
CR05,third,,'a whistling sound' is the standard lay description of wheeze in British and American English. Whether a Rwandan patient reaches for it is exactly what the Kinyarwanda hold on 'ijwi ridasanzwe' could not settle either.,
GI03,first,3,"'black like tar' is a simile a clinician uses to teach the sign. Would a patient reach for it, or just say black?",
GI03,third,3,"'black like tar' is a simile a clinician uses to teach the sign. Would a patient reach for it, or just say black?",
GI05,first,,'stool' as a patient word. The speaker's Kinyarwanda avoids the noun entirely — no stool word is attested for them — so there is no phrase to check the register against.,
GI05,third,,'stool' as a patient word. The speaker's Kinyarwanda avoids the noun entirely — no stool word is attested for them — so there is no phrase to check the register against.,
HT05,first,3,"'bent out of shape' is an idiom that may not carry. The Kinyarwanda for this concept is blocked for a different reason, so there is no phrase to check against.",
HT05,third,3,"'bent out of shape' is an idiom that may not carry. The Kinyarwanda for this concept is blocked for a different reason, so there is no phrase to check against.",
IF02,first,,'a fit' — see OB01.,
IF02,third,,'a fit' — see OB01.,
IF04,first,3,'chills' again — see EX26. | 'chills' — see EX26.,
IF04,third,3,'chills' again — see EX26. | 'chills' — see EX26.,
IF06,first,,'pass urine' is common in East African clinical English but may be the health worker's register rather than the patient's.,
IF06,third,,'pass urine' is common in East African clinical English but may be the health worker's register rather than the patient's.,
NE05,first,3,,
NE05,third,3,'cannot stand the light' is idiomatic English for photophobia. Also the row where the Kinyarwanda carries two of three signs.,
OB01,first,,"'a fit' is British. East African English more often says convulsions, or fits in the plural. Applies to IF02 and EX33 as well.",
OB01,third,,"'a fit' is British. East African English more often says convulsions, or fits in the plural. Applies to IF02 and EX33 as well.",
OB07,first,,"TWO doubts in one row. 'My waters have broken' is British and usually singular in East African English. And 'my nine months are not yet complete' is MY construction, mirroring igihe cyo kubyara ntikiragera — plausible, but I invented the English idiom and cannot check it.",
OB07,third,,"TWO doubts in one row. 'My waters have broken' is British and usually singular in East African English. And 'my nine months are not yet complete' is MY construction, mirroring igihe cyo kubyara ntikiragera — plausible, but I invented the English idiom and cannot check it.",
OB08,first,,"'nine months are complete' — my construction, see OB07.",
OB08,third,,"'nine months are complete' — my construction, see OB07.",
PA07,third,,'putting on weight' is British; 'gaining weight' is the more neutral form.,
PA08,first,,"'fluid coming out' of the ear. The Kinyarwanda is vocabulary-blocked here so there is nothing to check against; the ordinary phrase may be that the ear is discharging, or that water is coming out.",
