item_id,phrase,domain,proposed_urgency,register,note
R001,a fit that will not stop,neurological,CRITICAL,,
R002,so breathless I cannot finish a sentence,cardiac_respiratory,CRITICAL,,
R003,a very high blood pressure reading,chronic_care,URGENT,,
R004,I have run out of my TB tablets,chronic_care,URGENT,,
R005,labour pains before nine months,obstetric,URGENT,,
R006,severe diarrhoea for three days,gastrointestinal,URGENT,,
R007,vomiting everything I eat while pregnant,obstetric,URGENT,,
R008,hit my head and now I am vomiting and confused,haemorrhage_trauma,CRITICAL,,
R009,a bad cough and trouble breathing,cardiac_respiratory,URGENT,,
R010,a fever and a rash all over the body,infectious_fever,URGENT,,
R011,I would like an HIV test,preventive,ROUTINE,,
R012,repeated vomiting and cannot eat,gastrointestinal,URGENT,,
R013,severe pain after a fall,haemorrhage_trauma,URGENT,,
R014,a prescription refill request,chronic_care,ROUTINE,,
R015,high fever and foul-smelling discharge after delivery,obstetric,CRITICAL,,
R016,a fever and a rash spreading on the body,paediatric,URGENT,,
R017,deworming tablets for my child,preventive,ROUTINE,,
R018,fever with a bad cough,infectious_fever,URGENT,,
R019,"an infected wound, red and full of pus",haemorrhage_trauma,URGENT,,
R020,coughing for more than two weeks and losing weight,cardiac_respiratory,URGENT,,
R021,heavy bleeding that will not stop,haemorrhage_trauma,CRITICAL,,
R022,my child's ear hurts and is draining,paediatric,URGENT,,
R023,a nosebleed that will not stop,haemorrhage_trauma,CRITICAL,,
R024,a deep wound losing a lot of blood,haemorrhage_trauma,CRITICAL,,
R025,bleeding that will not stop even with pressure,haemorrhage_trauma,CRITICAL,,
R026,a small cut that has stopped bleeding,haemorrhage_trauma,ROUTINE,,
R027,fever with a severe headache,infectious_fever,URGENT,,
R028,slight stomach pain that is not severe,gastrointestinal,ROUTINE,,
R029,an appointment for cervical screening,preventive,ROUTINE,,
R030,my legs are swollen and I cannot breathe lying down,chronic_care,URGENT,,
R031,bringing my child for growth monitoring,paediatric,ROUTINE,,
R032,a high fever and refusing to eat,paediatric,URGENT,,
R033,my child is due for vaccination,paediatric,ROUTINE,,
R034,"diabetic, vomiting, breathing deeply and very drowsy",chronic_care,CRITICAL,,
R035,my arm is bent out of shape after a fall,haemorrhage_trauma,URGENT,,
R036,mild stomach discomfort after eating,gastrointestinal,ROUTINE,,
R037,a head injury after a bad fall,haemorrhage_trauma,CRITICAL,,
R038,fever while pregnant,obstetric,URGENT,,
R039,crushing chest pain spreading to the arm,cardiac_respiratory,CRITICAL,,
R040,a mild stomach upset after eating,gastrointestinal,ROUTINE,,
R041,severe headache and blurred vision in pregnancy,obstetric,CRITICAL,,
R042,a mild runny nose,infectious_fever,ROUTINE,,
R043,a request for a blood test,preventive,ROUTINE,,
R044,a child vaccination appointment,preventive,ROUTINE,,
R045,sudden weakness down one side of the body,neurological,CRITICAL,,
R046,slurred speech and a drooping face,neurological,CRITICAL,,
R047,a high fever of 39 degrees,infectious_fever,URGENT,,
R048,chest pain when breathing deeply,cardiac_respiratory,URGENT,,
R049,my routine diabetes check-up,chronic_care,ROUTINE,,
R050,a racing heart that feels like it will stop,cardiac_respiratory,CRITICAL,,
R051,a child struggling to breathe and turning blue,paediatric,CRITICAL,,
R052,fever with shivering and sweating for three days,infectious_fever,URGENT,,
R053,breathing trouble and lips turning blue,cardiac_respiratory,CRITICAL,,
R054,advice about breastfeeding my baby,obstetric,ROUTINE,,
R055,mild tiredness during the day,neurological,ROUTINE,,
R056,severe stomach pain that will not settle,gastrointestinal,URGENT,,
