concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX32,third,{REL} a perdu connaissance et ne repond plus.,new_draft,unverified: no gloss,medium,utterance,,"The first person is applies=no under rule 11 — an unconscious patient cannot report — so only this row is drafted. 'perdu' follows 'avoir' with no preceding direct object, so it is invariable and FR-1 is satisfied. Note the v1 French candidate on the applies=no row, 'perdu connaissance et ne repond plus', is one of the six phrases the FR-1 check flags in the inherited material: as a bare opening participle it agreed with nothing. It is on a dead row and is left as the record."
EX33,third,{REL} a fait une crise et tremble encore.,new_draft,unverified: no gloss,medium,utterance,,"Follows '{REL} yagagaye kandi arimo guhinda umushyitsi.' PA01 collapsed into this concept on 2026-09-05, over the English arm's proposal of EX40 — which was wrong, because EX40 conditions the danger sign on a temperature above 40 and a child convulsing without fever is still a danger sign. The French inherits the corrected target."
EX34,first,Je ne peux plus bouger un cote de mon corps.,new_draft,unverified: no gloss,medium,utterance,,"Kinyarwanda first is not authored; drafted from the third and the v1 French 'un cote du corps qui ne bouge plus', with {REL}'s counterpart as the grammatical subject per rule 2."
EX34,third,{REL} ne peut plus bouger un cote de son corps.,new_draft,unverified: no gloss,medium,utterance,,"FRENCH ESCAPES A KINYARWANDA STRUCTURAL PROBLEM HERE, and so did English. The speaker's third is 'Uruhande rumwe rw'umubiri we ntirukora.' — the SIDE is the subject and the patient is a possessor inside 'umubiri we', so there is no {REL} slot and the row generates a single instance instead of eight. French can put {REL} in subject position naturally and 'son corps' is FR-2, so it expands over all eight. Same content, different row counts; an argument for the Kinyarwanda rewrite, not for anything French."
EX35,first,Je n'arrive pas a bien parler et ma bouche est de travers.,new_draft,unverified: no gloss,medium,utterance,,"PARITY CORRECTION, owed and now paid. v1 French was 'des difficultes a parler et LE VISAGE deforme'; the speaker says the MOUTH ('umunwa we waragoramye') and v1-cross-language-parity.md rates this KY-not-equal-others at high confidence, with en/fr/sw agreeing on a drooping or deformed face. English has already been corrected to the mouth. 'de travers' is invariable, so the corrected wording is also the FR-1 safe one."
EX35,third,{REL} n'arrive pas a bien parler et sa bouche est de travers.,new_draft,unverified: no gloss,medium,utterance,,
EX36,first,J'ai mal a la tete mais pas beaucoup.,new_draft,unverified: no gloss,medium,utterance,,"v1 'un mal de tete leger sans gravite', down-registered to the speaker's 'umutwe urandya ariko ntabwo cyane'."
EX36,third,"{REL} dit avoir mal a la tete, mais pas beaucoup.",new_draft,unverified: no gloss,medium,utterance,,"CARRIES THE REPORTING VERB, which is a drafting rule the English arm derived in this domain and it holds here: a mild headache is not observable, so a carer on CHILD_RELATIONS can only be relaying what the child told them. Contrast EX32 and EX35, where the sign is visible and no reporting verb is needed. French uses 'dit avoir' rather than a subordinate clause, because 'dit qu'il a mal' would force a gender — the IF06 problem again."
EX37,first,"Je ressens de la fatigue, mais pas trop.",new_draft,unverified: no gloss,medium,utterance,,"TWO FIXES IN ONE ROW. PARITY: v1 French was 'une legere fatigue PENDANT LA JOURNEE', and v1-cross-language-parity.md lists EX37 among the seven positions where en/fr/sw claim more than the Kinyarwanda — the speaker's 'ndumva naniwe ariko si cyane' carries no time of day. Dropped. FR-1: the natural rewrite 'je me sens fatigue' is masculine, so the noun 'de la fatigue' is used instead."
EX37,third,"{REL} dit ressentir de la fatigue, mais pas trop.",new_draft,unverified: no gloss,medium,utterance,,"Reporting verb, same ground as EX36."
NE05,first,"J'ai un violent mal de tete, je vomis et la lumiere me fait mal aux yeux.",new_draft,ok,medium,utterance,,"DRAFTED TO THE GLOSS AND FLAGGED HARD, which is what English did — but the flag has since got worse and this note is the current statement of it. English named NE05 a CONTENT gap rather than a wording gap: the Kinyarwanda was short a sign because 'urumuri' for light was unattested, so English filling it made the two languages describe different presentations under one id. The speaker has since AUTHORED the row — 'Mfite ikibazo ku mutwe kandi kirimo guterwa n'urumuri.' — and it is short in two ways, not one: it frames the light as the CAUSE of the headache rather than as something that hurts the eyes, and it does not mention vomiting at all. Session-state records both and asks whether the gloss should move to the phrase. Until that is ruled, French follows the gloss and the anchor, as English does, and this row moves if the gloss moves."
NE05,third,"{REL} a un violent mal de tete, vomit et ne supporte pas la lumiere.",new_draft,ok,medium,utterance,,The Kinyarwanda third is not authored. Same divergence flag as the first.
NE06,first,,,,,,yes,"HELD, CARRYING A RULING THE ENGLISH ARM MADE RATHER THAN ONE THE SPINE CARRIES. The spine has this row applies=yes, unheld and unauthored; the hold is the English pass's, on the clinical question of whether a patient who can accurately report new confusion is meaningfully confused. That question is about the concept, not about a language, so it transfers to French unchanged and the hold is applied here too. Sheet draft D120 ('confus depuis ce matin, des propos incoherents') is left in place as the record — and it is separately an FR-1 defect, opening on a masculine participle."
NE06,third,{REL} n'a plus les idees claires depuis ce matin et tient des propos incoherents.,new_draft,ok,medium,utterance,,"Drafted while the first is held: an observer reporting confusion has none of the first person's problem, the HT03 and CC01/CC02 split. FR-1: 'confus' inflects and cannot sit in a {REL} phrase, so the idiom carries it, as at HT03 and CC02. Carries its own time expression ('depuis ce matin'), which the ONSET slot also supplies — section 9 territory, and the English row has it too."
NE07,first,J'ai eu plusieurs evanouissements.,new_draft,ok,medium,utterance,,"FR-1: 'je me suis evanoui plusieurs fois' is masculine, so the noun 'evanouissements' carries it. Sheet draft D122 was already noun-based and only needed the verb. Among the shortest phrases in the inventory and on the grouping watch list; measured clean."
NE07,third,{REL} a eu plusieurs evanouissements.,new_draft,ok,medium,utterance,,
