epoch,train_loss,validation_loss,validation_accuracy,seconds,memory_available_mb
1,1.991644,1.952704,0.461538,154.7,1953
2,1.908446,1.862927,0.367521,129.4,2016
3,1.858137,1.834091,0.371795,278.9,2190
4,1.836968,1.814977,0.405983,228.6,2284
5,1.809848,1.763672,0.495726,293.7,1801
6,1.729121,1.721016,0.598291,224.5,2286
7,1.631128,1.600502,0.645299,302.9,2810
8,1.527586,1.545315,0.649573,236.7,2775
9,1.437276,1.504373,0.632479,283.7,3128
10,1.37013,1.461415,0.649573,230.7,3361
11,1.296326,1.513587,0.675214,161.5,3117
12,1.234932,1.405774,0.653846,128.1,2653
13,1.206435,1.437968,0.666667,185.6,2765
14,1.165333,1.444528,0.67094,93.7,2743
15,1.138686,1.357372,0.666667,91.4,2775
16,1.094215,1.361732,0.662393,203.0,2629
17,1.068832,1.39801,0.662393,264.5,2397
18,1.069877,1.391412,0.662393,100.9,2492
