concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX24,first,J'ai une fievre de 39 degres.,new_draft,unverified: no gloss,medium,utterance,,"v1 text, subject folded in."
EX24,third,{REL} a une fievre de 39 degres.,new_draft,unverified: no gloss,medium,utterance,,
EX25,first,J'ai une forte fievre et je tousse beaucoup.,new_draft,unverified: no gloss,medium,utterance,,"PARITY, one of the five 'mixed' positions rather than one of the seven three-against-one. v1-cross-language-parity.md records that the Kinyarwanda puts the severity on BOTH the fever and the cough while en/fr/sw put it on the cough only; the speaker's v2 keeps both ('umuriro mwinshi kandi ndakorora cyane'). v1 French was 'de la fievre avec une mauvaise toux'. Aligned to the speaker. Cheap to fix and there was no reason not to."
EX25,third,{REL} a une forte fievre et tousse beaucoup.,new_draft,unverified: no gloss,medium,utterance,,
EX26,first,"J'ai des symptomes de paludisme, de la fievre et des frissons.",new_draft,unverified: no gloss,medium,utterance,,"v1 text with a VERB ADDED, mirroring what the speaker did to this exact row on 2026-09-05. EX26's Kinyarwanda was a bare noun phrase declared form=utterance, so it rendered as a fragment with no main clause — the EX44-EX47 shape, in the one row of the 47 the speaker left byte-identical and so never revisited. The French v1 string has the same shape and needs the same 'J'ai'."
EX26,third,"{REL} a des symptomes de paludisme, de la fievre et des frissons.",new_draft,unverified: no gloss,medium,utterance,,
EX27,first,"J'ai de la fievre et des frissons, et je pense que c'est le paludisme.",new_draft,unverified: no gloss,medium,utterance,,"REDRAFTED OFF THE SPEAKER'S v2 PHRASE, and the v1 candidate was stale in the same way the English one still is. v1 French was 'de la fievre et des courbatures partout' — aching all over; the speaker's rewrite is 'mfite umuriro kandi numva mfite imbeho, nkeka ko ari malariya', fever, chills and a suspicion of malaria. RECORD CONFLICT, FLAGGED NOT RESOLVED: english-review-pass.md reports EX27 going applies=no as part of the EX26 collapse, and the spine has it applies=yes in both persons with an authored first. The spine is the record, so both concepts are drafted here and worded apart; the conflict is real and belongs to whoever rules the collapse."
EX27,third,"{REL} a de la fievre et des frissons, et pense que c'est le paludisme.",new_draft,unverified: clinician,medium,utterance,,"HOLD LIFTED, and the reason it was held does not exist in French. The Kinyarwanda third is blocked on whether 'nkeka' -> 'akeka' is right: the transform follows the regular 1sg/3sg pattern but the speaker has not written it. French needs no transform — 'pense' is the same form for every subject. The remaining half of the question is whether attributing a SUSPICION of malaria to another person is a sensible thing for the corpus to contain at all; that is not a French question and the row carries verdict_fidelity 'unverified: clinician' rather than a lifted flag."
EX28,first,J'ai de la fievre et j'ai tres mal a la tete.,new_draft,unverified: no gloss,medium,utterance,,"v1 'de la fievre avec un mal de tete severe', down-registered to the speaker's plain 'umutwe urandya cyane'."
EX28,third,{REL} a de la fievre et la tete lui fait tres mal.,new_draft,unverified: no gloss,medium,utterance,,"Mirrors the speaker's 'umutwe uramubabaza cyane', where the head is the subject and the person is the object. The invariable 'lui' carries it, as at EX07."
EX29,first,"J'ai une petite fievre depuis un jour, mais je n'ai rien d'autre.",new_draft,unverified: no gloss,medium,utterance,,"CORRECTED, and the stale candidate was the same one the English arm found. v1 French at this position is 'une toux legere sans fievre' — a mild cough, which after the EX30 collapse is CR07's concept and not this one. The speaker's rewrite moved EX29 from cough to a mild one-day fever, and IF07 was then removed as a duplicate of the result. Carries its own duration, so it joins the ONSET collision list. NO SECOND PHRASING: IF07's dropped French is reserved by its collapse ruling and the Kinyarwanda slot is empty."
EX29,third,"{REL} a une petite fievre depuis un jour, mais n'a rien d'autre.",new_draft,unverified: no gloss,medium,utterance,,
EX31,first,Mon nez coule un peu.,new_draft,unverified: no gloss,medium,utterance,,"RECOVERED RATHER THAN INVENTED, and the brief's own note is what makes it possible. EX31 is the row the speaker ADDED, so it has no v1 counterpart and the builder says French must be drafted from scratch. But ex-concept-drift.md records that the rewrites rotated three concepts across three ids and that v1 EX30's concept — the runny nose — is where EX31 now sits. v1's French for EX30 is 'un nez qui coule legerement', so the v1 text for this CONCEPT exists at a different position. Used as the source, folded into an utterance to match 'amazuru arantemba gake'. PROVENANCE IS STILL A DRAFT, not v1: the string is v1's, the row it is attached to is not the row v1 attached it to."
EX31,third,Le nez de {REL} coule un peu.,new_draft,unverified: no gloss,medium,utterance,,"Mirrors '{REL} amazuru ye aratemba gake.' The speaker chose the possessive here specifically to avoid a '-mu-' object marker, and the possessive is independently the FR-1 construction. Third convergence between what Kinyarwanda grammar forced and what French gender forces."
IF01,first,J'ai de la fievre et la nuque raide.,new_draft,ok,medium,utterance,,"HOLD LIFTED. The Kinyarwanda block is a WORD — 'ijosi ryarakomeye' for a stiff neck is unvalidated and rule 7 forbids substituting a guess. The concept is a settled IMCI danger sign with ordinary French wording and no such gap. 'raide' is epicene, so FR-1 costs nothing here."
IF01,third,{REL} a de la fievre et la nuque raide.,new_draft,ok,medium,utterance,,Held only because its first was; that reason goes with the first.
