matrix_language,term,source_language,where_it_appears,is_it_switched_or_borrowed,noun_class,agreement_example,kinyarwanda_form,alternate_form,native_equivalent,your_notes,provenance
kinyarwanda,malaria,en,,borrowed,9 (i-),i- / iya-,Malariya,Malarriya,,highly integrated,speaker
kinyarwanda,pressure,en,,switched/borrowed,9 (i-),i- / iya-,Preshiyo,Pressure,,,speaker
kinyarwanda,sugar,en,,switched/borrowed,9 (i-),i- / iya-,Sucre (FR),Sugar (EN),,,speaker
kinyarwanda,fever,en,,switched,9 (i-),i- / iya-,Fever,Fièvre,Umuriro,native preferred,speaker
kinyarwanda,chest pain,en,,switched,9 (i-),i- / iya-,Chest pain,,,"PHRASAL, not one morpheme",speaker
kinyarwanda,scan,en,,borrowed,9 (i-),i- / iya-,Isikani,Iscan,,,speaker
kinyarwanda,test,en,,switched/borrowed,9 (i-) OR 7 (igi-),i- / iya-,Test,,Ibizami,two candidate classes,speaker
kinyarwanda,injection,fr,,borrowed,9 (i-),i- / iya-,Injyegisiyo,Injections,,via French,speaker
kinyarwanda,tablets,en,,switched/borrowed,8 (ibi-) OR 9 (i-),,Komprime (FR),,Ibinini,forms differ IN CLASS,speaker
kinyarwanda,clinic,en,,borrowed,9 (i-),i- / iya-,Kiliniki,Clinique,,,speaker
kinyarwanda,doctor,en,,switched,1 (umu-),a- / wa-,Doctor,Dokiteri,Muganga,native dominant,speaker
kinyarwanda,nurse,en,,switched,1 (umu-),a- / wa-,Nurse,,Umuforomo,native dominant,speaker
kinyarwanda,hospital,fr,,borrowed,8 (ibi-),bi- / bya-,Ibitaro,,,from Hôpital,speaker
kinyarwanda,ambulance,en,,borrowed,9 (i-),i- / iya-,Ambulance,Amburanse,,,speaker
kinyarwanda,X-ray,en,,switched/borrowed,9 (i-),i- / iya-,Radio (FR),X-ray,,,speaker
