concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX18,first,Je saigne beaucoup et ca ne s'arrete pas.,new_draft,unverified: no gloss,medium,utterance,,"v1 'un saignement abondant qui ne s'arrete pas', folded into an utterance. NO SECOND PHRASING: HT01's French ('un saignement qui ne s'arrete pas malgre la pression') is the wording its collapse ruling reserved for the speaker, and the Kinyarwanda second_phrasing slot here is empty. EX16 first is the only row in the spine that carries one. Proposing French text into a slot the speaker has not filled would invent it — the same reason English left EX22's alone."
EX18,third,{REL} saigne beaucoup et ca ne s'arrete pas.,new_draft,unverified: no gloss,medium,utterance,,
EX19,first,J'ai une plaie profonde qui saigne beaucoup.,new_draft,unverified: no gloss,medium,utterance,,"v1 text with the subject folded in. 'profonde' and 'infectee' agree with 'plaie', a fixed feminine, so this whole domain's wound vocabulary is FR-1 safe by construction."
EX19,third,{REL} a une plaie profonde qui saigne beaucoup.,new_draft,unverified: no gloss,medium,utterance,,
EX20,first,Mon nez saigne et ca ne s'arrete pas.,new_draft,unverified: no gloss,medium,utterance,,"LEADS WITH THE NOSE, deliberately, and for the reason English did: in Kinyarwanda EX18 is every word of EX20 in order, so the two are one phrase group there. Measured here rather than assumed — the v1 French pair does not nest either way, so leading with the nose is belt and braces rather than the fix. It also mirrors the speaker's own 'Amazuru yanjye ...', which puts the nose in subject position, and the body-part subject is the FR-1 construction anyway. Note the Kinyarwanda noun changed on 2026-09-05 from 'amaraso' to 'imyuna' on a speaker's ruling; French has one word for a nosebleed and no equivalent choice to get wrong."
EX20,third,Le nez de {REL} saigne et ca ne s'arrete pas.,new_draft,unverified: no gloss,medium,utterance,,"Body part as subject, {REL} as possessor — matches '{REL} arimo kuva imyuna mu mazuru' and is FR-1 safe."
EX21,first,J'ai une blessure a la tete apres une chute.,new_draft,unverified: no gloss,medium,utterance,,"v1 text, subject folded in, otherwise unchanged. v1-cross-language-parity.md records EX21 as the one position where ENGLISH is the outlier — it alone adds a 'bad' fall, while ki/fr/sw say only 'a fall'. So the French here is already the correct side of that split and is deliberately not aligned to the English."
EX21,third,{REL} a une blessure a la tete apres une chute.,new_draft,unverified: no gloss,medium,utterance,,
EX22,first,"J'ai une plaie infectee, elle est rouge et il y a du pus.",new_draft,unverified: no gloss,medium,utterance,,"v1 text as an utterance. NO SECOND PHRASING, same as EX18: HT06's French ('une plaie rouge, enflee et qui coule du pus') is reserved by its collapse ruling and the Kinyarwanda slot is empty."
EX22,third,"{REL} a une plaie infectee, elle est rouge et il y a du pus.",new_draft,unverified: no gloss,medium,utterance,,
EX23,first,J'ai fait une chute et maintenant j'ai tres mal.,new_draft,unverified: no gloss,medium,utterance,,"FR-1: 'je suis tombe' would be masculine for a patient of unknown gender, so the fall is expressed with 'faire une chute', which takes no agreement. This construction is used again at HT05 and is the domain's main FR-1 workhorse."
EX23,third,{REL} a fait une chute et a maintenant tres mal.,new_draft,unverified: no gloss,medium,utterance,,
HT02,first,J'ai une plaie profonde et on voit l'os.,new_draft,ok,medium,utterance,,"FLAG CARRIED FORWARD from the English pass, unchanged and still unruled: HT02 and HT05 share the anchor 'BEC Module 2: approach to trauma' and disagree on urgency, CRITICAL against URGENT. It looks like a coarse module-level anchor over two real presentations, the CR02/CC04 shape. Not ruled here."
HT02,third,{REL} a une plaie profonde et on voit l'os.,new_draft,ok,medium,utterance,,
