item,kind,detail,your_answer
Q1,open question,"Does fetal demise belong in a triage taxonomy at all? `OB06` describes a presentation where no intervention follows, unlike every other CRITICAL.",
Q2,open question,Is `OB13` (reduced fetal movement) a concept worth having when the speaker reports no natural Kinyarwanda phrase expresses it?,
Q3,open question,Is high fever with refusal to eat URGENT or CRITICAL? Inability to drink is an IMCI general danger sign; refusal to eat in a febrile child sits beside it. `EX43`.,
Q4,open question,Can a patient who accurately reports their own new confusion be meaningfully confused? `NE06`. Two language arms hold this row.,
Q5,open question,"Which description of lower chest indrawing is correct — the chest sinking, or the area under the ribs pulling in? `CR04`.",
WHO IMCI 2014 (All rights reserved),taxonomy: anchored concepts,24 concepts carry this anchor.,
clinician-defined (no WHO anchor),taxonomy: anchored concepts,20 concepts carry this anchor.,
WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO),taxonomy: anchored concepts,15 concepts carry this anchor.,
WHO MCPC 2017 (CC BY-NC-SA 3.0 IGO),taxonomy: anchored concepts,11 concepts carry this anchor.,
EX01,taxonomy: NO anchor,cardiac_respiratory / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX02,taxonomy: NO anchor,cardiac_respiratory / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX03,taxonomy: NO anchor,cardiac_respiratory / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX04,taxonomy: NO anchor,cardiac_respiratory / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX05,taxonomy: NO anchor,cardiac_respiratory / CRITICAL / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
EX06,taxonomy: NO anchor,cardiac_respiratory / URGENT / existing concept — your first-pass phrasing is on one of these two rows -- inherited from the v1 corpus with no published anchor. Is the concept real and is the urgency right?,
