concept_id,person,suggested_french,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX40,third,{REL} convulse et a une fievre au-dessus de 40 degres.,new_draft,unverified: no gloss,medium,utterance,,"HOLD LIFTED ON THE SPINE, not here — the English brief still holds this row. It was held while PA01's collapse target was open, and the ruling went against EX40: collapsing a plain-convulsion concept into a row that conditions it on a temperature above 40 would have made an IMCI general danger sign depend on a thermometer. PA01 went to EX33 instead and this row stands as the fever-plus-convulsion presentation it always was."
EX41,third,{REL} a du mal a respirer et sa peau est devenue bleue.,new_draft,unverified: no gloss,medium,utterance,,"THE SKIN, not the lips and not an unspecified colour, and the word is doing real work. Three concepts in this corpus describe a colour change and the speaker separates them lexically: CR03 is the LIPS turning blue, EX04 is the lips CHANGING COLOUR, and this row is 'uruhu rwe rwahindutse ubururu' — the SKIN turning blue. All three French rows were checked against each other through the splitter rule and none joins another. That separation is the whole point of the EX04 parity correction and it survives into French. 'devenue' agrees with 'peau' and 'sa peau' is FR-2."
EX43,third,{REL} a une forte fievre et ne mange pas.,new_draft,unverified: no gloss,medium,utterance,,"PARITY CORRECTION, owed and now paid. v1 French was 'une forte fievre et REFUSE de manger'; the speaker says 'ntarya', does not eat, and v1-cross-language-parity.md records that 'kwanga' (to refuse) appears nowhere in the speaker's phrases, the approved v1 vocabulary or the review sheet — the word exists in Rwandan usage and was not the one used. Refusing is a claim about intent that not eating does not make. The row keeps its needs_clinician flag."
PA02,third,{REL} est trop faible pour teter.,new_draft,ok,medium,utterance,,"{REL} substituted for the sheet draft's hardcoded 'mon bebe'. 'faible' is epicene, so this survives CHILD_RELATIONS including 'Ma fille' unchanged."
PA03,third,{REL} est sans force et ne se reveille pas.,new_draft,ok,medium,utterance,,"FR-1, AND THE CHECK FOUND IT RATHER THAN THE EAR. Sheet draft D150 was 'mon enfant est MOU', and 'mou' has the irregular feminine 'molle' — wrong for 'Ma fille', who is in CHILD_RELATIONS. It is exactly the kind of word that slips through, because it does not look like it inflects. 'sans force' is invariable and is a closer rendering of the IMCI sign than a tone word anyway. The word was added to the FR-1 list with the other irregular feminines and the check now flags the retained sheet draft."
PA04,third,{REL} respire vite et le bas de sa poitrine rentre.,new_draft,ok,medium,utterance,,"FLAG, AND IT POINTS AT A HELD ROW. This is chest indrawing, and CR04 — the adult concept for the same sign — is HELD in both persons precisely because the speaker has two rival descriptions of it and the ruling is not to choose between them. PA04 is a separate concept with its own IMCI anchor and is not held, so it is drafted; but the French wording chosen here is a choice about how to describe indrawing, and when CR04 is ruled the two rows should be made to agree. Recorded so that is not missed. 'thorax' from sheet draft D152 is dropped as clinician register (rule 1)."
PA05,third,{REL} a la diarrhee et les yeux enfonces.,new_draft,ok,medium,utterance,,"'enfonces' agrees with 'yeux', a fixed masculine plural."
PA07,third,{REL} est tres maigre et ne prend pas de poids.,new_draft,ok,medium,utterance,,'maigre' is epicene.
PA08,first,J'ai mal a l'oreille et elle coule.,new_draft,ok,medium,utterance,,"TWO THINGS, AND THE SECOND IS A DEFECT IN THE ENGLISH BRIEF. (1) The person. This row's person_note says 'usually third (the parent speaks); write first only if an older child would say it', so the first person is the CHILD speaking about their own ear. The English brief has 'My child's ear is hurting and there is fluid coming out' here — a carer's report, which is the THIRD person's speaker in a first-person slot. Session-state records the Kinyarwanda nearly making the same error on this exact row and says to read the person_note before writing a paediatric row; the English arm did not. The French first person is the child. (2) The divergence. The speaker's phrase is now 'Mfite umuhaha.', which NAMES A CONDITION and states neither the pain nor the discharge the gloss names — the NE05 and OB06 pattern. French follows the gloss, as English does, and the row keeps its needs_clinician flag: whether 'umuhaha' is acute otitis media specifically or any ear complaint is a clinical question, and if the gloss moves to the phrase this row moves with it."
PA08,third,{REL} a mal a l'oreille et elle coule.,new_draft,ok,medium,utterance,,"Same divergence flag. Note that the Kinyarwanda block here dissolved rather than being answered: once 'umuhaha' turned out to be a condition name, the words for ear and for discharge stopped being needed at all."
PA09,first,Je voudrais faire peser mon enfant.,new_draft,ok,medium,utterance,,"Rule 12: a service concept whose beneficiary and requester differ, so the first person is the carer and rule 9's duplication test does not apply. Follows 'Ndashaka ko bapima ibiro by'umwana wanjye.' rather than sheet draft D162's 'j'amene mon enfant pour le suivi de la croissance', which describes the visit rather than the request."
PA09,third,{REL} voudrait faire peser son enfant.,new_draft,ok,medium,utterance,,"ADULT_RELATIONS, group A: {REL} is the carer and the child stays lexical, so no relation is a child and nothing goes circular."
