concept_id,domain,proposed_urgency,english_gloss,anchor,person,applies,person_note,form,relation_set,suggested_french,candidate_origin,confidence,verdict_fidelity,suggestion_note,verdict_register,rw_french_check,agreement_check,your_phrasing,second_phrasing_optional,notes,source,needs_clinician,hold
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,BEC Module 3: approach to difficulty in breathing (chest pain differential),first,yes,,utterance,,J'ai la poitrine tres lourde et la douleur monte vers la machoire ou descend dans le bras.,new_draft,medium,ok,"Kinyarwanda first is BLOCKED on the object marker and empty; drafted from the speaker's THIRD ('arumva igituza kimuremereye cyane kandi ububabare bukagera no ku rwasaya cyangwa ku kuboko') and from the gloss, as English did. Two changes from sheet draft D050. The ARM limb is restored — D050 had only the jaw, so it was short of both the gloss and the speaker's phrase. And 'ecrasante' becomes 'lourde', which is the speaker's own separation of this concept from EX05 ('kimuremereye', heavy, against 'harandya cyane', hurts badly); it also keeps the two out of one phrase group, but see EX05 — that is a secondary check here, not the reason.",4,,,,,"draft D050 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,BEC Module 3: approach to difficulty in breathing (chest pain differential),third,yes,,utterance,ALL_RELATIONS,{REL} a la poitrine tres lourde et la douleur monte vers la machoire ou descend dans le bras.,new_draft,medium,ok,"'avoir' + noun, so nothing agrees with {REL}. FR-1.",4,,,,,,machine_reviewed,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,BEC Module 3: approach to difficulty in breathing,first,yes,,utterance,,Je n'arrive pas a finir une phrase sans m'arreter pour respirer.,new_draft,medium,ok,"FR-1 REDRAFT. Sheet draft D052 was 'essouffle au point de ne pas finir une phrase' — a masculine participle for a patient of unknown gender, the same defect v1's CONTEXTS slot ships on 41,872 rows. Rebuilt on a verb, which does not agree. Deliberately does NOT inherit the Kinyarwanda EX02-inside-CR02 containment; the French of the two does not nest.",4,"'Je n'arrive pas a finir une phrase sans m'arreter pour respirer.' The natural French is 'je suis essouffle', which is masculine and cannot be used for a patient of unknown gender. Confirm the verb-based rewrite reads as ordinary speech and not as a paraphrase.",,,,"draft D052 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,BEC Module 3: approach to difficulty in breathing,third,yes,,utterance,ALL_RELATIONS,{REL} n'arrive pas a finir une phrase sans s'arreter pour respirer.,new_draft,medium,ok,"'s'arreter' is an infinitive and takes no agreement, so one sentence covers all eight relations. FR-1.",4,Same rewrite in the third person.,,,,,machine_reviewed,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips or fingertips,"IMCI: central cyanosis, severe respiratory distress",first,yes,,utterance,,Mes levres sont devenues bleues.,new_draft,medium,ok,"THE ROW concepts.py IS OUT OF STEP ON. The reviewer narrowed CR03 to LIPS ONLY on 2026-09-05 and narrowed concept_anchors.csv and concepts.py's gloss with it — but concepts.py's FRENCH phrase still reads 'mes levres et le bout des doigts sont devenus bleus', asserting fingertips under a lips-only gloss, and sheet draft D054 carries the same text. The English copy of this defect was dead because the English brief superseded it; the French one was LIVE, because until this brief concepts.py was the only place a French phrasing existed. Narrowed here, and it now matches 'Iminwa yanjye yahindutse ubururu.' FLAG: the SPINE's gloss still says 'blue lips or fingertips', so three records now disagree three ways — spine, anchors, concepts.py.",4,,,,,"draft D054 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips or fingertips,"IMCI: central cyanosis, severe respiratory distress",third,yes,,utterance,ALL_RELATIONS,Les levres de {REL} sont devenues bleues.,new_draft,medium,ok,"Matches '{REL} iminwa ye yahindutse ubururu.' The body part is the grammatical subject and {REL} is a possessor — the speaker's own CR03/EX03 construction, and independently the FR-1 fix, because 'devenues' agrees with 'levres', a fixed feminine, not with {REL}. French and Kinyarwanda reach the same shape for different reasons. This is the concept that owns 'blue'; EX04 was corrected to 'changed colour' so the two stay distinguishable.",4,,,,,,machine_reviewed,,
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,first,yes,,utterance,,une respiration rapide avec le bas du thorax qui se creuse,sheet_draft,unreviewed,,"HELD, and the hold does NOT lift for French. Unlike GI03, PA08 and CR05's wheeze word, CR04's block is not lexical: the speaker has two rival descriptions of indrawing ('igituza kiramanuka' and 'munsi y'igituza harinjira') and the standing ruling is DO NOT CHOOSE BETWEEN THEM, pending a Rwandan clinician. French cannot choose either. Sheet draft D056 is left in place as the record of what is not accepted, as English left its own.",,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D056 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in French terms during the domain pass,yes
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,third,yes,,utterance,ALL_RELATIONS,,,,,"HELD with the first, same reason.",,,,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,,INHERITED — restate in French terms during the domain pass,yes
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,IMCI: wheeze (assess for asthma),first,yes,,utterance,,"Quand je respire, j'ai la poitrine serree et j'entends un sifflement.",new_draft,medium,ok,"Follows 'Iyo mpumeka, numva igituza gifashe kandi mpumeka nkumva hari ijwi ridasanzwe.' — both the tightness and the sound, in that order. 'serree' agrees with 'poitrine', not with the speaker, so FR-1 is satisfied by the construction the concept wanted anyway.",4,"'sifflement' for a wheeze. SAME QUESTION IN ALL THREE LANGUAGES: the Kinyarwanda is blocked on whether 'ijwi ridasanzwe' is a definitive clinical term and the English on 'a whistling sound'. Is 'sifflement' what a francophone patient says, or is the clinical 'sibilants' expected, or something else? Should go to one person with the other two.",,,,"draft D058 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,IMCI: wheeze (assess for asthma),third,yes,,utterance,ALL_RELATIONS,"Quand {REL} respire, sa poitrine est serree et on entend un sifflement.",new_draft,medium,ok,"Hold lifted. The reason is recorded on the row itself and in french-review-pass.md; this batch exists because a hold has to be lifted explicitly, not by an empty cell.",4,Same wheeze question.,,,,HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept,machine_reviewed,INHERITED — restate in French terms during the domain pass,
CR06,cardiac_respiratory,URGENT,cough over two weeks with weight loss,clinician-defined (no WHO emergency-care anchor),first,yes,,utterance,,Je tousse depuis plus de deux semaines et je perds du poids.,new_draft,medium,ok,"Carries its own duration, so it joins EX12 and GI06 on the ONSET collision list — the slot appends a second 'depuis ...'. The duration cannot be dropped: it is the axis against an ordinary cough. Identical collision in Kinyarwanda and English; now measured in a third language.",4,,,,,"draft D060 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR06,cardiac_respiratory,URGENT,cough over two weeks with weight loss,clinician-defined (no WHO emergency-care anchor),third,yes,,utterance,ALL_RELATIONS,{REL} tousse depuis plus de deux semaines et perd du poids.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever","IMCI: cough, no pneumonia (green)",first,yes,,utterance,,Je tousse un peu mais je n'ai pas de fievre.,new_draft,medium,ok,"Sheet draft D062 carried 'depuis quelques jours', which the ONSET slot also supplies and which 'Nkorora gake ariko nta muriro mfite.' does not claim. Dropped. NOT given EX30's French as a second phrasing: EX30's v1 text is the RUNNY NOSE, and under the documented concept rotation that text belongs to EX31, where it is used.",4,,,,,"EX30 collapsed into this concept. Its French text was 'un nez qui coule legerement' — consider it for second_phrasing_optional rather than letting it drop, where the Kinyarwanda kept both wordings. | draft D062 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever","IMCI: cough, no pneumonia (green)",third,yes,,utterance,CHILD_RELATIONS,{REL} tousse un peu mais n'a pas de fievre.,new_draft,medium,ok,,4,,,,,,machine_reviewed,,
EX01,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,J'ai tres mal a la poitrine et je ne peux pas bien respirer.,new_draft,medium,unverified: no gloss,v1 French was 'une douleur thoracique severe et je ne peux pas respirer'. 'Douleur thoracique' is clinician register in a corpus of patient speech (rule 1) and the speaker's 'mu gituza harandya cyane' is plain. Reworded as an utterance and down-registered; the claim is unchanged.,4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX01,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} a tres mal a la poitrine et ne peut pas bien respirer.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX02,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,J'ai beaucoup de mal a respirer.,new_draft,medium,unverified: no gloss,"v1 'de grandes difficultes a respirer', folded into an utterance and down-registered.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX02,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} a beaucoup de mal a respirer.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX03,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,"Mon coeur bat tres vite, comme s'il allait s'arreter.",new_draft,medium,unverified: no gloss,"v1 text with the subject folded in. The body part is the subject, matching 'umutima uratera cyane'.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX03,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,"Le coeur de {REL} bat tres vite, comme s'il allait s'arreter.",new_draft,medium,unverified: no gloss,"Mirrors '{REL} umutima we utera cyane' — the speaker's possessor construction, and FR-1 safe for the same reason CR03 third is.",4,,,,,,machine_reviewed,,
EX04,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,J'ai du mal a respirer et mes levres ont change de couleur.,new_draft,medium,unverified: no gloss,"PARITY CORRECTION, owed and now paid. v1 French was 'du mal a respirer et les levres BLEUES'. v1-cross-language-parity.md lists EX04 among seven positions where en/fr/sw claim more than the Kinyarwanda, records that the Kinyarwanda is now settled on 'ibara' (colour) in BOTH persons, and says in as many words that 'French and Swahili need the same'. Done here. It also does the separating work: CR03 is the concept that owns 'blue', and before this the French of EX04 and CR03 both said it.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX04,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} a du mal a respirer et ses levres ont change de couleur.,new_draft,medium,unverified: no gloss,"'ses levres' — FR-2: the possessive agrees with the possessed noun, so no gender ruling is needed here at all. This is the row where English had to invent singular 'their' and French simply does not.",4,,,,,,machine_reviewed,,
EX05,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,J'ai une douleur ecrasante dans la poitrine et elle descend dans le bras.,new_draft,medium,unverified: no gloss,"KEPT 'ecrasante', AND THE MEASUREMENT IS NARROWER THAN THE FIRST DRAFT OF THIS NOTE CLAIMED. CR01/EX05 are the only pair in the corpus with a recorded distinguishing axis — jaw-or-arm against arm alone — so they must not land in one phrase group. Run through the real splitter rule, the union is one wording away rather than already present: v1-faithful EX05 ('...qui va vers le bras') joins a CR01 phrased in parallel ('...qui va vers la machoire ou vers le bras'), and does NOT join sheet draft D050's 'qui monte vers'. Two independent things keep the drafted pair apart — this row says 'et elle descend' rather than 'qui va', and CR01 opens on 'lourde' rather than on 'une douleur ecrasante'. Either alone suffices; both are kept because of what this pair is. The 'lourde' choice stands on its own ground anyway: it is the speaker's own lexical separation, 'igituza kimuremereye' against 'harandya cyane'.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX05,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} a une douleur ecrasante dans la poitrine et elle descend dans le bras.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX06,cardiac_respiratory,URGENT,,,first,yes,,utterance,,Je tousse beaucoup et j'ai du mal a respirer.,new_draft,medium,unverified: no gloss,"v1 'une mauvaise toux et du mal a respirer', folded into an utterance.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX06,cardiac_respiratory,URGENT,,,third,yes,,utterance,ALL_RELATIONS,{REL} tousse beaucoup et a du mal a respirer.,new_draft,medium,unverified: no gloss,,4,,,,,,machine_reviewed,,
EX07,cardiac_respiratory,URGENT,,,first,yes,,utterance,,"Quand je respire a fond, j'ai mal a la poitrine.",new_draft,medium,unverified: no gloss,"v1 'une douleur a la poitrine en respirant fort', restructured to the speaker's 'iyo mpumetse cyane' conditional.",4,,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX07,cardiac_respiratory,URGENT,,,third,yes,,utterance,ALL_RELATIONS,"Quand {REL} respire a fond, sa poitrine lui fait mal.",new_draft,medium,unverified: no gloss,"'lui' is INVARIABLE in French — the indirect-object pronoun carries no gender — so the construction English had to solve with singular 'their' costs French nothing. Second place in this domain where French is freer than English, and the first where it is freer than Kinyarwanda, whose third here needs 'hamubabaza'.",4,,,,,,machine_reviewed,,
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",BEC Module 5: altered mental status (diabetic emergency),first,yes,,utterance,,"diabetique, je vomis, je respire profondement et je suis tres somnolent",sheet_draft,unreviewed,,"HELD, and the hold does not lift for French — the Kinyarwanda reason is clinical, not lexical: whether a patient drowsy enough to be in diabetic ketoacidosis can report their own drowsiness is rule 11's question and it is the same question in any language. Sheet draft D126 is left in place as the record, and it is separately an FR-1 defect ('je suis tres somnolent', masculine for a patient of unknown gender).",,,'suis tres somnolent' — agrees with the subject,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D126 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in French terms during the domain pass,yes
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",BEC Module 5: altered mental status (diabetic emergency),third,yes,,utterance,ALL_RELATIONS,"{REL} a du diabete, vomit, respire profondement et somnole beaucoup.",new_draft,medium,ok,"Drafted while the first is held: an observer reporting drowsiness has none of the first person's problem — the HT03, NE06 and CC02 split. FR-1: 'est tres somnolent' agrees, so the verb 'somnoler' carries it instead.",4,,,,,,machine_reviewed,,
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,BEC Module 5: altered mental status (hypoglycaemia),first,yes,,utterance,,"tremblements, sueurs et confusion, mon sucre est bas",sheet_draft,unreviewed,,"HELD, same ground as CC01, and the spine names NE06's question explicitly: whether a confused patient can report confusion. Not a French question.",,,,,,"HOLD INHERITED from Kinyarwanda — lift it here if the reason is Kinyarwanda wording rather than the concept | draft D128 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",,INHERITED — restate in French terms during the domain pass,yes
