word,Davlan/afro-xlmr-mini,Davlan/afro-xlmr-base,Davlan/afro-xlmr-large,castorini/afriberta_large,FacebookAI/xlm-roberta-base,FacebookAI/xlm-roberta-large,sentence-transformers/LaBSE,coherent_per_native_linguist
kandi,▁kan | di,▁kan | di,▁kan | di,▁kandi,▁kan | di,▁kan | di,kandi,
cyane,▁cy | ane,▁cy | ane,▁cy | ane,▁cyane,▁cy | ane,▁cy | ane,cyane,
afite,▁af | ite,▁af | ite,▁af | ite,▁afite,▁af | ite,▁af | ite,afite,
mfite,▁m | fi | te,▁m | fi | te,▁m | fi | te,▁m | fite,▁m | fi | te,▁m | fi | te,mfite,
ku,▁ku,▁ku,▁ku,▁ku,▁ku,▁ku,ku,
umuriro,▁umur | iro,▁umur | iro,▁umur | iro,▁umuriro,▁umur | iro,▁umur | iro,umuriro,
ndashaka,▁ | ndas | haka,▁ | ndas | haka,▁ | ndas | haka,▁n | dashaka,▁ | ndas | haka,▁ | ndas | haka,ndashaka,
mu,▁mu,▁mu,▁mu,▁mu,▁mu,▁mu,mu,
amaraso,▁amar | as | o,▁amar | as | o,▁amar | as | o,▁amaraso,▁amar | as | o,▁amar | as | o,amaraso,
neza,▁neza,▁neza,▁neza,▁neza,▁neza,▁neza,neza,
yo,▁yo,▁yo,▁yo,▁yo,▁yo,▁yo,yo,
ariko,▁a | riko,▁a | riko,▁a | riko,▁ariko,▁a | riko,▁a | riko,ariko,
kwisuzumisha,▁kwi | suz | um | isha,▁kwi | suz | um | isha,▁kwi | suz | um | isha,▁kwi | su | zu | misha,▁kwi | suz | um | isha,▁kwi | suz | um | isha,kwi | ##suz | ##umis | ##ha,
kubyara,▁ku | by | ara,▁ku | by | ara,▁ku | by | ara,▁ku | byara,▁ku | by | ara,▁ku | by | ara,kubyara,
guhumeka,▁gu | hum | eka,▁gu | hum | eka,▁gu | hum | eka,▁guhu | me | ka,▁gu | hum | eka,▁gu | hum | eka,guh | ##umeka,
ashaka,▁as | haka,▁as | haka,▁as | haka,▁ashaka,▁as | haka,▁as | haka,ashaka,
igikomere,▁i | gi | kom | ere,▁i | gi | kom | ere,▁i | gi | kom | ere,▁igi | komere,▁i | gi | kom | ere,▁i | gi | kom | ere,igi | ##kome | ##re,
no,▁no,▁no,▁no,▁no,▁no,▁no,no,
iyo,▁iyo,▁iyo,▁iyo,▁iyo,▁iyo,▁iyo,iyo,
ko,▁ko,▁ko,▁ko,▁ko,▁ko,▁ko,ko,
nta,▁ | nta,▁ | nta,▁ | nta,▁nta,▁ | nta,▁ | nta,nta,
ndatwite,▁ | nda | tw | ite,▁ | nda | tw | ite,▁ | nda | tw | ite,▁nda | twi | te,▁ | nda | tw | ite,▁ | nda | tw | ite,nda | ##tw | ##ite,
