group,concept_id,gloss,your_ruling
A clearly yes,EX46,gukingiza umwana — vaccinating a child,
A clearly yes,EX47,kugirwa inama ku biryo byo kugaburira umwana — child feeding advice,
A clearly yes,PA09,child growth monitoring — a parent brings the child,
A clearly yes,PA10,child vaccination — a parent brings the child,
A clearly yes,PR08,"infant feeding advice — the carer asks, the child is the subject",
A clearly yes,PR09,deworming for a child — a parent collects,
B clearly no,CC08,blood pressure medicine refill,
B clearly no,CC09,routine diabetes review,
B clearly no,CC10,routine HIV clinic follow-up,
B clearly no,EX10,ndashaka kongererwa imiti mfata,
B clearly no,EX11,ndashaka gukomeza kujya kwa muganga kwisuzumisha,
B clearly no,EX44,gahunda yo kwisuzumisha buri mwaka,
B clearly no,EX45,gusaba ko bapima amaraso,
B clearly no,OB11,routine antenatal check,
B clearly no,PR02,family planning advice,
B clearly no,PR03,HIV test request,
B clearly no,PR05,first antenatal booking,
B clearly no,PR06,blood pressure screening,
B clearly no,PR07,cervical screening,
C uncertain: mild symptom,CR07,short mild cough,
C uncertain: mild symptom,EX16,iyo maze kurya numva inda itameze neza,
C uncertain: mild symptom,EX17,iyo maze kurya numva mu nda ntameze neza,
C uncertain: mild symptom,EX29,mfite umuriro woroheje umaze umunsi umwe,
C uncertain: mild symptom,EX30,nkorora gake ariko nta muriro mfite,
C uncertain: mild symptom,EX31,amazuru arantemba gake,
C uncertain: mild symptom,EX36,umutwe urandya ariko ntabwo cyane,
C uncertain: mild symptom,EX37,ndumva naniwe ariko si cyane,
C uncertain: mild symptom,GI08,mild indigestion,
C uncertain: mild symptom,HT08,"small cut, stopped bleeding",
C uncertain: mild symptom,IF07,low fever one day,
C uncertain: mild symptom,NE08,intermittent mild headache,
D uncertain: household,PR04,collecting a mosquito net,
D uncertain: household,PR10,advice on safe drinking water,
E held,OB12,breastfeeding advice after delivery — already held as unresolved,
