concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX34,first,One side of my body is not working,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"v1 'one side of the body not working' as an utterance. The Kinyarwanda first person is unauthored; their third is 'Uruhande rumwe rw'umubiri we ntirukora.'"
EX34,third,{REL} cannot move one side of their body,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"STRUCTURAL DIVERGENCE WORTH KNOWING. EX34 is the one authored Kinyarwanda third still outside the relation architecture: its subject is 'uruhande' (the side) and the patient is a possessor, so it needs 'rw'umubiri wa {REL}' — a rewrite for the speaker's ear, and until then it generates a single instance instead of expanding. English has no such problem: {REL} is the natural subject of 'cannot move one side of their body', so the English row expands over all eight relations while the Kinyarwanda row expands over none. Content is the same; the row counts are not. An argument for the Kinyarwanda rewrite, not against this draft."
EX36,first,My head hurts but not badly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'umutwe urandya ariko ntabwo cyane'. The not-badly contrast is what makes the row ROUTINE and is kept for that reason. v1 English was 'a mild headache that is not severe', which says mild twice."
EX36,third,{REL} says their head hurts but not badly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"CHILD_RELATIONS by ruling, so this is a carer reporting a child. 'Says' is doing real work here and is not padding: a mild headache is not observable, so a carer can only be reporting what the child told them. Contrast EX32 and EX35, where the sign is visible and no reporting verb is needed. The Kinyarwanda third is unauthored, so this is drafted from the first person."
EX37,third,{REL} says they feel tired but not too tired,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"CHILD_RELATIONS by ruling. Same reasoning as EX36 third for 'says' — tiredness is reported, not observed. Kinyarwanda third unauthored."
NE05,first,"I have a severe headache, I am vomiting and the light hurts my eyes",new_draft,ok,medium,utterance,,"gloss 'severe headache with vomiting and photophobia'. ENGLISH CARRIES ALL THREE SIGNS AND THE KINYARWANDA CANNOT — section 7 records photophobia as vocabulary-blocked: no word for light is attested anywhere ('urumuri' nowhere, 'izuba' once and meaning sunbathing), so the Kinyarwanda draft carries two of three. THIS IS A DIFFERENT KIND OF GAP FROM PA08, CR05 and GI03. Those were blocked on a word for a thing the phrase names — ear, wheeze, stool — and the concept survived intact once English supplied it. Here the missing word costs a SIGN the concept is defined by, so the two languages would describe different presentations rather than the same one in different words. Flagged rather than held, because the English is right to its gloss; but if the Kinyarwanda stays at two signs this is a content divergence, not a wording one."
NE05,third,"{REL} has a severe headache, is vomiting and cannot stand the light",new_draft,ok,medium,utterance,,"person transform. Same three-sign flag as the first person."
NE06,first,,,,,,yes,"NOT DRAFTED, and held. The Kinyarwanda records the reason and it is clinical, not linguistic: 'whether a patient who can accurately report new confusion is meaningfully confused is a clinical question. applies=yes stands; the first-person row is not written until a clinician settles it.' That transfers to English unchanged, so English does not write it either. Secondary: the stale sheet draft sitting in this row, 'confused since this morning, not making sense', also carries its own time expression and would collide with the ONSET slot — see section 9 of docs/urgency-frame-coupling.md."
NE06,third,{REL} has been confused since this morning and is not making sense,new_draft,ok,low,utterance,,"gloss 'new confusion today'. THIRD PERSON ONLY, for the same reason HT03's is: the clinical doubt is about whether a confused patient can report their own confusion, and an observer has none. Kinyarwanda is unauthored for both persons. CARRIES A TIME EXPRESSION deliberately — 'today' is in the gloss and newness is the concept — so this row belongs on section 9's list of phrases that need the empty onset."
NE07,first,I have fainted several times,new_draft,ok,medium,utterance,,"gloss 'repeated fainting'. Kinyarwanda unauthored, so drafted from the gloss. 'Several times' rather than a duration, so it does not collide with the ONSET slot the way NE06 does."
NE07,third,{REL} has fainted several times,new_draft,ok,medium,utterance,,"person transform."
