concept_id,domain
CR01,cardiac_respiratory
CR02,cardiac_respiratory
EX04,cardiac_respiratory
CC04,chronic_care
CC05,chronic_care
EX09,chronic_care
EX14,gastrointestinal
EX15,gastrointestinal
GI06,gastrointestinal
EX19,haemorrhage_trauma
HT05,haemorrhage_trauma
HT06,haemorrhage_trauma
IF01,infectious_fever
EX25,infectious_fever
IF07,infectious_fever
EX32,neurological
NE01,neurological
NE04,neurological
EX38,obstetric
EX39,obstetric
OB02,obstetric
EX43,paediatric
PA05,paediatric
PA06,paediatric
EX44,preventive
EX47,preventive
PR05,preventive
