task,domain,proposed_urgency,concept_id,english_gloss,who_imci_reference,current_swahili_phrase,is_this_natural_yes_no,your_phrasing,second_phrasing_optional,notes
AUTHOR new,cardiac_respiratory,CRITICAL,CR01,crushing central chest pain spreading to jaw or arm,not IMCI (adult presentation),,,,,
AUTHOR new,cardiac_respiratory,CRITICAL,CR02,too breathless to complete a sentence,not IMCI (adult presentation),,,,,
AUTHOR new,cardiac_respiratory,CRITICAL,CR03,central cyanosis - blue lips or fingertips,"IMCI: central cyanosis, severe respiratory distress",,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,maumivu makali ya kifua na siwezi kupumua,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,shida kubwa ya kupumua,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,moyo unaopiga haraka kama utasimama,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,shida ya kupumua na midomo inabadilika bluu,,,,
VALIDATE existing,cardiac_respiratory,CRITICAL,,(existing phrase - no concept recorded),,maumivu makali ya kifua yanayoenea mkononi,,,,
AUTHOR new,cardiac_respiratory,URGENT,CR04,fast breathing with lower chest wall indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,,,,,
AUTHOR new,cardiac_respiratory,URGENT,CR05,wheeze with chest tightness,IMCI: wheeze (assess for asthma),,,,,
AUTHOR new,cardiac_respiratory,URGENT,CR06,cough over two weeks with weight loss,"not IMCI (TB screening, adult)",,,,,
VALIDATE existing,cardiac_respiratory,URGENT,,(existing phrase - no concept recorded),,kikohozi kikali na shida ya kupumua,,,,
VALIDATE existing,cardiac_respiratory,URGENT,,(existing phrase - no concept recorded),,maumivu ya kifua ninapopumua sana,,,,
AUTHOR new,cardiac_respiratory,ROUTINE,CR07,"short mild cough, no fever","IMCI: cough, no pneumonia (green)",,,,,
