slot,status,english_gloss,shape,kinyarwanda,swahili,notes,suggested_kinyarwanda,confidence,suggestion_note,source,decision
opener,existing,,"ends with ', ' — a comma and a space",,,,,,,speaker,
opener,existing,,"ends with ', ' — a comma and a space","Muganga, ",,,,,,speaker,
opener,existing,,"ends with ', ' — a comma and a space","Muraho, ",,,,,,speaker,
opener,existing,,"ends with ', ' — a comma and a space","Mfasha, ",,,,,,speaker,
opener,existing,,"ends with ', ' — a comma and a space","Ndakeneye ubufasha, ",,,,,,speaker,
opener,existing,,"ends with ', ' — a comma and a space","Nyabuneka, ",,,,,,speaker,
opener,TO WRITE,greeting to a nurse rather than a doctor,"ends with ', ' — a comma and a space",Ndashaka kukubwira ikibazo mfite. ,,,"Muforomo, ",low,nurse = umuforomo; check the vocative,speaker,rewrite
opener,TO WRITE,apologetic — sorry to bother you,"ends with ', ' — a comma and a space","Mumbabarire, ndashaka kubabwira ikibazo mfite. ",,,"Mbabarira ko ngutwaye umwanya, ",low,lit. 'sorry I take your time'; may be too formal,speaker,rewrite
opener,TO WRITE,urgent appeal — please help quickly,"ends with ', ' — a comma and a space","Mfasha vuba, ",,,"Mfasha vuba, ",medium,"extends your existing 'Mfasha, '",machine_approved,accept
opener,TO WRITE,arriving with someone — I have brought my child / my mother,"ends with ', ' — a comma and a space","Nzanye umwana wanjye, ",,,"Nzanye umwana wanjye, ",low,child variant only; a mother version is a separate fragment,machine_approved,accept
opener,TO WRITE,"hesitant — I don't know if this is serious, but","ends with ', ' — a comma and a space","Simbizi niba bikomeye ariko, ",,,"Simbizi niba bikomeye ariko, ",low,check 'simbizi niba',machine_approved,accept
opener,TO WRITE,returning patient — I was here before,"ends with ', ' — a comma and a space","Naje hano mbere, ",,,"Naje hano mbere, ",low,check tense,machine_approved,accept
closer,existing,,starts with '. ' — a full stop then the sentence,,,,,,,speaker,
closer,existing,,starts with '. ' — a full stop then the sentence,. Nkora iki?,,,,,,speaker,
closer,existing,,starts with '. ' — a full stop then the sentence,. Ndakeneye ubufasha vuba.,,,,,,speaker,
closer,existing,,starts with '. ' — a full stop then the sentence,. Mfasha muganga.,,,,,,speaker,
closer,existing,,starts with '. ' — a full stop then the sentence,. Murakoze.,,,,,,speaker,
closer,TO WRITE,asking whether it is serious — is this dangerous?,starts with '. ' — a full stop then the sentence,. Ese ibi birakomeye?,,,. Ese ibi birakomeye?,medium,follows your '. Nkora iki?' shape,machine_approved,accept
closer,TO WRITE,asking whether to wait or be seen now,starts with '. ' — a full stop then the sentence,. Ntegereze cyangwa nsuzumwe ubu?,,,. Ntegereze cyangwa nsuzumwe ubu?,low,two-option question; may be clumsy,machine_approved,accept
closer,TO WRITE,asking what medicine to take,starts with '. ' — a full stop then the sentence,. Ni imiti ki nafata?,,,. Ni imiti ki nafata?,medium,uses your 'imiti',machine_approved,accept
closer,TO WRITE,saying they cannot afford to come back,starts with '. ' — a full stop then the sentence,. Ntabasha kubona amafaranga yo kongera kuza kwa muganga.,,,. Sinshobora kugaruka ukundi.,low,'afford' became 'cannot return'; money sense may be lost,speaker,rewrite
closer,TO WRITE,saying they travelled a long way,starts with '. ' — a full stop then the sentence,. Naje mvuye kure.,,,. Naje mvuye kure.,low,check 'mvuye kure',machine_approved,accept
closer,TO WRITE,"informal thanks, less formal than murakoze",starts with '. ' — a full stop then the sentence,. Urakoze.,,,. Urakoze.,medium,singular of your 'Murakoze',machine_approved,accept
context,existing,,starts with ' ' — continues the sentence,,,,,,,speaker,
context,existing,,starts with ' ' — continues the sentence, kandi birushaho kuba bibi,,,,,,speaker,
context,existing,,starts with ' ' — continues the sentence, kandi sinshobora gusinzira,,,,,,speaker,
context,existing,,starts with ' ' — continues the sentence, kandi ndahangayitse,,,,,,speaker,
context,existing,,starts with ' ' — continues the sentence, kandi nta miti mfite,,,,,,speaker,
context,TO WRITE,it started suddenly (no 'kandi'),starts with ' ' and must NOT begin with 'kandi',. Byatangiye gitunguranye.,,, byatangiye giturumbuka,low,check 'giturumbuka' register,speaker,rewrite
context,TO WRITE,it comes and goes (no 'kandi'),starts with ' ' and must NOT begin with 'kandi', biragenda bikagaruka,,, biragenda bikagaruka,low,,machine_approved,accept
context,TO WRITE,nothing I take helps (no 'kandi'),starts with ' ' and must NOT begin with 'kandi', nta miti imfasha,,, nta miti imfasha,medium,reuses your 'nta miti mfite',machine_approved,accept
context,TO WRITE,worse at night (no 'kandi'),starts with ' ' and must NOT begin with 'kandi', bikarushaho nijoro,,, bikarushaho nijoro,medium,reuses 'birushaho',machine_approved,accept
context,TO WRITE,the children have it too (no 'kandi'),starts with ' ' and must NOT begin with 'kandi',. Abandi bana na bo bafite iki kibazo.,,, n'abana bafite ibimwe,low,,speaker,rewrite
