concept_id,relation,rendered,your_ruling
CC03,Umwana wanjye,Umwana wanjye umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC03,Umugore wanjye,Umugore wanjye umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC03,Umugabo wanjye,Umugabo wanjye umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC03,Mama,Mama umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC03,Papa,Papa umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC03,Mushiki wanjye,Mushiki wanjye umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC03,Umuturanyi wanjye,Umuturanyi wanjye umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC03,Umukecuru,Umukecuru umuvuduko w'amaraso we wazamutse cyane kandi umutwe uramubabaza cyane.,
CC05,Umwana wanjye,Umwana wanjye afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC05,Umugore wanjye,Umugore wanjye afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC05,Umugabo wanjye,Umugabo wanjye afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC05,Mama,Mama afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC05,Papa,Papa afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC05,Mushiki wanjye,Mushiki wanjye afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC05,Umuturanyi wanjye,Umuturanyi wanjye afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC05,Umukecuru,Umukecuru afite igisebe ku kirenge kidakira kandi afite diyabete.,
CC06,Umwana wanjye,Umwana wanjye nta miti ya SIDA afite.,
CC06,Umugore wanjye,Umugore wanjye nta miti ya SIDA afite.,
CC06,Umugabo wanjye,Umugabo wanjye nta miti ya SIDA afite.,
CC06,Mama,Mama nta miti ya SIDA afite.,
CC06,Papa,Papa nta miti ya SIDA afite.,
CC06,Mushiki wanjye,Mushiki wanjye nta miti ya SIDA afite.,
CC06,Umuturanyi wanjye,Umuturanyi wanjye nta miti ya SIDA afite.,
CC06,Umukecuru,Umukecuru nta miti ya SIDA afite.,
CC07,Umwana wanjye,Umwana wanjye nta miti y'igituntu afite.,
CC07,Umugore wanjye,Umugore wanjye nta miti y'igituntu afite.,
CC07,Umugabo wanjye,Umugabo wanjye nta miti y'igituntu afite.,
CC07,Mama,Mama nta miti y'igituntu afite.,
CC07,Papa,Papa nta miti y'igituntu afite.,
CC07,Mushiki wanjye,Mushiki wanjye nta miti y'igituntu afite.,
CC07,Umuturanyi wanjye,Umuturanyi wanjye nta miti y'igituntu afite.,
CC07,Umukecuru,Umukecuru nta miti y'igituntu afite.,
EX08,Umwana wanjye,Umwana wanjye isukari yo mu maraso ye yazamutse cyane.,
EX08,Umugore wanjye,Umugore wanjye isukari yo mu maraso ye yazamutse cyane.,
EX08,Umugabo wanjye,Umugabo wanjye isukari yo mu maraso ye yazamutse cyane.,
EX08,Mama,Mama isukari yo mu maraso ye yazamutse cyane.,
EX08,Papa,Papa isukari yo mu maraso ye yazamutse cyane.,
EX08,Mushiki wanjye,Mushiki wanjye isukari yo mu maraso ye yazamutse cyane.,
EX08,Umuturanyi wanjye,Umuturanyi wanjye isukari yo mu maraso ye yazamutse cyane.,
EX08,Umukecuru,Umukecuru isukari yo mu maraso ye yazamutse cyane.,
EX09,Umwana wanjye,Umwana wanjye umuvuduko w'amaraso we wazamutse cyane.,
EX09,Umugore wanjye,Umugore wanjye umuvuduko w'amaraso we wazamutse cyane.,
EX09,Umugabo wanjye,Umugabo wanjye umuvuduko w'amaraso we wazamutse cyane.,
EX09,Mama,Mama umuvuduko w'amaraso we wazamutse cyane.,
EX09,Papa,Papa umuvuduko w'amaraso we wazamutse cyane.,
EX09,Mushiki wanjye,Mushiki wanjye umuvuduko w'amaraso we wazamutse cyane.,
EX09,Umuturanyi wanjye,Umuturanyi wanjye umuvuduko w'amaraso we wazamutse cyane.,
EX09,Umukecuru,Umukecuru umuvuduko w'amaraso we wazamutse cyane.,
