item_id,text,language,gold_label,scenario_id,split
kw-000211,Avuga ko umuti umufasha ariko ko atabasha kuwugura buri kwezi.,kinyarwanda,ROUTINE,s0454c6e8d02d,calibration
kw-000214,Umugabo avuga ko atarasinzira kuva murumuna we cyangwa mukuru we apfuye hashize ibyumweru bitatu.,kinyarwanda,ROUTINE,se7e494cee92e,calibration
kw-000216,Avuga ko umwanda w'umwana wera cyane kandi inkari zikaba zijimye.,kinyarwanda,URGENT,s5b7aefe26528,calibration
kw-000225,Nyina avuga ko umwana yagabanutse ibiro kuva atangiye ishuri.,kinyarwanda,ROUTINE,sfe445a4011e6,calibration
kw-000226,Umugabo avuga ko ibuye ryinjiye mu jisho ubwo yamenaga amabuye.,kinyarwanda,URGENT,sd26b388d2d70,calibration
kw-000229,Umwana yari ari gukina maze mu buryo butunguranye ananirwa gukoresha ukuboko kumwe.,kinyarwanda,URGENT,sf2c5a593a97b,calibration
kw-000246,Avuga ko kuva yabyara atagishobora kwifata inkari.,kinyarwanda,ROUTINE,s25b0e8a87508,calibration
kw-000262,Yazanywe n'umutwara moto nyuma y'impanuka yo mu muhanda.,kinyarwanda,URGENT,s155adae9ed60,calibration
kw-000272,Avuga ko imiti imutera gusinzira maze arayihagarika.,kinyarwanda,ROUTINE,s7478ac5cf4ff,calibration
kw-000278,Umugabo avuga ko yaguye ku ngazi agwa ku bitendegeri.,kinyarwanda,URGENT,sb180197552ca,calibration
kw-000289,Umugabo yazanywe nyuma yo kunywa icupa ry'inzoga y'iwacu akagwa igihumure.,kinyarwanda,CRITICAL,s986e1085e539,calibration
kw-000308,Amaze kuruka kuva atangiye imiti ya malariya.,kinyarwanda,URGENT,s38783b83aa10,calibration
kw-000323,Yaje kuko ishuri risaba urupapuro rwa muganga.,kinyarwanda,ROUTINE,sde5cbce9d905,calibration
kw-000324,Avuga ko ububabare bwavuye ku rutugu bugera ku rwasaya.,kinyarwanda,CRITICAL,s2a534f3b3efe,calibration
kw-000332,Yaje kubaza niba ikimenyetso umwana yavukanye ku ruhu ari akaga.,kinyarwanda,ROUTINE,sac05e45bc72c,calibration
kw-000349,Avuga ko yabwiwe ko adashobora gusama kandi ashaka inama.,kinyarwanda,ROUTINE,s9378e6b13aea,calibration
kw-000368,Avuga ko yahagaritse imiti ya virusi itera SIDA amaze kumva ameze neza.,kinyarwanda,ROUTINE,s22d05d665515,calibration
kw-000373,Umugore avuga ko ari kuva amaraso kandi atwite amezi atatu.,kinyarwanda,URGENT,s3804e75cfb30,calibration
kw-000380,Avuga ko igikomere cyadodwe mu rugo hakoreshejwe urushinge n'urudodo.,kinyarwanda,URGENT,s60f62b01dbcd,calibration
kw-000383,Yaje kubaza niba umwana ashobora gusubira ku ishuri.,kinyarwanda,ROUTINE,s0c264f5a8905,calibration
kw-000388,Avuga ko amaze kuzungera kuva yakubita umutwe mu mukino.,kinyarwanda,URGENT,s3e920973bed8,calibration
kw-000403,Umwana afite kubyimba munsi y'akanwa kumaze iminsi kwiyongera.,kinyarwanda,URGENT,sd140ad6cd18d,calibration
kw-000412,Umugabo avuga ko kuva yagira impanuka yo mu muhanda atabasha kwihagarika.,kinyarwanda,URGENT,s4915507752d9,calibration
kw-000415,Avuga ko ikirenge cye cyanyujijweho igare kandi kikaba cyarabyimbye.,kinyarwanda,URGENT,sbb2c07445ddb,calibration
kw-000421,Avuga ko yakubiswe kandi akaba ava amaraso mu mazuru.,kinyarwanda,URGENT,sa04c93a688c2,calibration
kw-000428,Umwana yazanywe nyuma yo kurya igihingwa cyo mu ishyamba.,kinyarwanda,URGENT,s0689486041ea,calibration
kw-000431,Avuga ko ukuguru kwabyimbye nyuma y'urugendo rurerure muri bisi.,kinyarwanda,URGENT,s48b2a9d6cfb2,calibration
kw-000434,Yabwiwe ko afite ikibazo cy'umutima kandi ashaka ko undi muganga amwisuzuma.,kinyarwanda,ROUTINE,sa9594b15f383,calibration
kw-000436,Umugore avuga ko ari kubabara kandi umwana akaba ari hafi kuvuka ubu.,kinyarwanda,CRITICAL,s34599c4c199d,calibration
kw-000448,Afite kubyimba mu ijosi kugenda iyo amira.,kinyarwanda,ROUTINE,se36f261a8cfb,calibration
kw-000451,Avuga ko yikase ku kirahure cyamenetse ubwo yasukuraga.,kinyarwanda,URGENT,s02064502b42e,calibration
kw-000478,Umugore avuga ko atazi neza niba atwite kandi akaba yumva arwaye.,kinyarwanda,ROUTINE,s522b46721869,calibration
kw-000496,Umugore avuga ko yagize impanuka yo mu muhanda kandi atwite amezi atandatu.,kinyarwanda,CRITICAL,s37ea8cadd5e2,calibration
kw-000530,Yabwiwe kugarura umwana kugira ngo bongere bamupime ibiro.,kinyarwanda,ROUTINE,se2076236faf6,calibration
kw-000538,Umwana yashyize akabuto k'ibigori mu gutwi.,kinyarwanda,ROUTINE,s992eee62ba66,calibration
kw-000582,Umugore avuga ko ukuboko kwe kwabyimbye kuva yabagwa ku ibere.,kinyarwanda,ROUTINE,sdbbf4e7399e0,calibration
kw-000589,Avuga ko umwana arira iyo bakoze ku kuguru kandi yanga guhagarara.,kinyarwanda,URGENT,sa56ac00afc74,calibration
kw-000601,Avuga ko ku ibere hari ahantu hameze nk'ahagwa imbere mu ruhu yabonye ukwezi gushize.,kinyarwanda,ROUTINE,s0da981810ccb,calibration
kw-000607,Avuga ko ububabare bwo mu nda budahagarara kandi adashobora kuryama arambuye.,kinyarwanda,URGENT,sd3b473350119,calibration
kw-000613,Avuga ko uruhinja rufite ikibyimba mu ijosi kuva ruvuka.,kinyarwanda,ROUTINE,s8d30687e4134,calibration
kw-000617,Avuga ko ububabare bwo ku ruhande bujyana n'umuriro no gutitira.,kinyarwanda,URGENT,s93be7b301af6,calibration
kw-000626,Umwana afite ijisho ryakomeretse kandi nyina avuga ko yaguye ku buriri.,kinyarwanda,URGENT,s257f60c485ca,calibration
kw-000636,Umugore avuga ko arwaye umutwe kandi imiti itakimufasha.,kinyarwanda,ROUTINE,s6e99fa3c4ee4,calibration
kw-000647,Avuga ko gushya mu birenge byiyongereye kuva imiti yahinduka.,kinyarwanda,ROUTINE,s6edd155d3411,calibration
kw-000661,Avuga ko umwana amaze kwishimagura kandi uruhu rwarabyimbye rukaba rwarakomeye.,kinyarwanda,ROUTINE,seb31a7bfc81d,calibration
kw-000680,Amaze amezi atatu afite ububabare mu gituza n'inkorora.,kinyarwanda,ROUTINE,saf30f9f0a17f,calibration
kw-000686,Amaze ukwezi akorora kandi ijwi ryarabuze.,kinyarwanda,ROUTINE,s1f1b88ec342a,calibration
kw-000692,Umwana afite kubyimba ku mutwe korohereye kandi gukomeza kwiyongera.,kinyarwanda,URGENT,s2f8307811bff,calibration
kw-000700,Yaje gusa kubaza ikibazo kandi ntashaka ko bamusuzuma.,kinyarwanda,ROUTINE,s2917f446b693,calibration
kw-000703,"Iyo ngiye kuzamuka umusozi ndababara mu gituza, nkabanza guhagarara bikagenda bigabanuka.",kinyarwanda,URGENT,s0416a9ac2078,calibration
kw-000711,"Naje kwisuzumisha inda nk'uko bisanzwe, nta kibazo mfite.",kinyarwanda,ROUTINE,s890da56877f0,calibration
kw-000727,Narumwe n'inzoka ku kuguru ndi mu murima.,kinyarwanda,URGENT,s309478f8f8cc,calibration
kw-000733,"Nateye umuti wica udukoko ntambaye agapfukamunwa, none ndazungera kandi amacandwe arava cyane.",kinyarwanda,CRITICAL,sb2d55bc306ad,calibration
kw-000736,"Iyo nkoze imibonano mpuzabitsina ndababara, ariko nta muntu nari nabibwiye.",kinyarwanda,ROUTINE,s13e50836e3f3,calibration
kw-000737,Nyogokuru ntakimenya abo mu muryango.,kinyarwanda,URGENT,s29f811ce650e,calibration
kw-000752,Naje gukuramo insinga zo ku gikomere mwanshiriye hano.,kinyarwanda,ROUTINE,sca1e92d35800,calibration
kw-000764,Ndatwite kandi maze icyumweru ndaruka ibyo nariye byose.,kinyarwanda,URGENT,s513a43595ec2,calibration
kw-000765,"Niyaciye igikumwe n'umupanga, ngipfuka n'umwenda.",kinyarwanda,URGENT,s3a447640cbd3,calibration
kw-000779,Umwana yarumwe n'injangwe ku kuboko.,kinyarwanda,URGENT,se8a9ef6332dc,calibration
kw-000783,Natangiye kubabara mu gituza nkiri gutwara umufuka kandi ububabare ntiburashira.,kinyarwanda,URGENT,sf8985874f2d1,calibration
kw-000795,"Umwana yaguye mu muriro wo gutekamo, atwika ikiganza n'ukuboko.",kinyarwanda,URGENT,s7c7448235cf8,calibration
kw-000799,"Yaguye mu isoko, abaturanyi ni bo bamuzanye hano.",kinyarwanda,CRITICAL,s1e1a71d23550,calibration
kw-000804,Umwana kuva avuka aratuje cyane kandi yonka buhoro.,kinyarwanda,URGENT,se74e1bee035b,calibration
kw-000814,"Mfite igisebe munsi y'ikirenge, nakimenye kubera ko natangiye kukumva kinuka.",kinyarwanda,URGENT,sd110dbe1417b,calibration
kw-000819,Bambwiye ko mfite umuvuduko w'amaraso uri hejuru ariko nta kimenyetso numva.,kinyarwanda,ROUTINE,s513bccfb5641,calibration
kw-000820,Mfite urupapuro rwohereza ku bitaro by'akarere.,kinyarwanda,ROUTINE,sa072f65927d0,calibration
kw-000830,Ndava amaraso menshi nyuma yo gukorerwa igikorwa kwa muganga ahandi.,kinyarwanda,CRITICAL,sdceb20288158,calibration
