id,status,language,domain,proposed_urgency,phrase,english_gloss,drafted_by,confidence,speaker_verdict,speaker_corrected_phrase,speaker_notes,clinician_urgency,clinician_verdict,clinician_notes
E001,existing,kinyarwanda,cardiac_respiratory,CRITICAL,agahinda gakabije mu gituza kanyura mu kuboko,,original corpus,,,,,,,
E002,existing,kinyarwanda,cardiac_respiratory,CRITICAL,guhumeka nabi n'iminwa ihindura ibara,,original corpus,,,,,,,
E003,existing,kinyarwanda,cardiac_respiratory,CRITICAL,ikibazo cyo guhumeka nabi cyane,,original corpus,,,,,,,
E004,existing,kinyarwanda,cardiac_respiratory,CRITICAL,ububabare bukabije mu gituza kandi sinshobora guhumeka,,original corpus,,,,,,,
E005,existing,kinyarwanda,cardiac_respiratory,CRITICAL,umutima utera cyane nk'aho uhagarara,,original corpus,,,,,,,
E006,existing,kinyarwanda,cardiac_respiratory,URGENT,inkorora ikaze n'ibibazo byo guhumeka,,original corpus,,,,,,,
E007,existing,kinyarwanda,cardiac_respiratory,URGENT,ububabare mu gituza iyo mpumeka cyane,,original corpus,,,,,,,
E008,existing,english,cardiac_respiratory,CRITICAL,a racing heart that feels like it will stop,,original corpus,,,,,,,
E009,existing,english,cardiac_respiratory,CRITICAL,breathing trouble and lips turning blue,,original corpus,,,,,,,
E010,existing,english,cardiac_respiratory,CRITICAL,crushing chest pain spreading to the arm,,original corpus,,,,,,,
E011,existing,english,cardiac_respiratory,CRITICAL,serious difficulty breathing,,original corpus,,,,,,,
E012,existing,english,cardiac_respiratory,CRITICAL,severe chest pain and cannot breathe,,original corpus,,,,,,,
E013,existing,english,cardiac_respiratory,URGENT,a bad cough and trouble breathing,,original corpus,,,,,,,
E014,existing,english,cardiac_respiratory,URGENT,chest pain when breathing deeply,,original corpus,,,,,,,
E015,existing,french,cardiac_respiratory,CRITICAL,de grandes difficultes a respirer,,original corpus,,,,,,,
E016,existing,french,cardiac_respiratory,CRITICAL,du mal a respirer et les levres bleues,,original corpus,,,,,,,
E017,existing,french,cardiac_respiratory,CRITICAL,un coeur qui bat tres vite comme s'il allait s'arreter,,original corpus,,,,,,,
E018,existing,french,cardiac_respiratory,CRITICAL,une douleur ecrasante dans la poitrine qui va vers le bras,,original corpus,,,,,,,
E019,existing,french,cardiac_respiratory,CRITICAL,une douleur thoracique severe et je ne peux pas respirer,,original corpus,,,,,,,
E020,existing,french,cardiac_respiratory,URGENT,une douleur a la poitrine en respirant fort,,original corpus,,,,,,,
E021,existing,french,cardiac_respiratory,URGENT,une mauvaise toux et du mal a respirer,,original corpus,,,,,,,
E022,existing,swahili,cardiac_respiratory,CRITICAL,maumivu makali ya kifua na siwezi kupumua,,original corpus,,,,,,,
E023,existing,swahili,cardiac_respiratory,CRITICAL,maumivu makali ya kifua yanayoenea mkononi,,original corpus,,,,,,,
E024,existing,swahili,cardiac_respiratory,CRITICAL,moyo unaopiga haraka kama utasimama,,original corpus,,,,,,,
E025,existing,swahili,cardiac_respiratory,CRITICAL,shida kubwa ya kupumua,,original corpus,,,,,,,
E026,existing,swahili,cardiac_respiratory,CRITICAL,shida ya kupumua na midomo inabadilika bluu,,original corpus,,,,,,,
E027,existing,swahili,cardiac_respiratory,URGENT,kikohozi kikali na shida ya kupumua,,original corpus,,,,,,,
E028,existing,swahili,cardiac_respiratory,URGENT,maumivu ya kifua ninapopumua sana,,original corpus,,,,,,,
E029,existing,kinyarwanda,chronic_care,URGENT,isukari nyinshi mu maraso birenze urugero,,original corpus,,,,,,,
E030,existing,kinyarwanda,chronic_care,URGENT,umuvuduko w'amaraso uri hejuru cyane,,original corpus,,,,,,,
E031,existing,kinyarwanda,chronic_care,ROUTINE,gahunda yo gukurikirana ubuvuzi bwahise,,original corpus,,,,,,,
E032,existing,kinyarwanda,chronic_care,ROUTINE,icyifuzo cyo kongererwa imiti yanjye,,original corpus,,,,,,,
E033,existing,english,chronic_care,URGENT,a very high blood pressure reading,,original corpus,,,,,,,
E034,existing,english,chronic_care,URGENT,very high blood sugar readings,,original corpus,,,,,,,
E035,existing,english,chronic_care,ROUTINE,a follow up after previous treatment,,original corpus,,,,,,,
E036,existing,english,chronic_care,ROUTINE,a prescription refill request,,original corpus,,,,,,,
E037,existing,french,chronic_care,URGENT,un taux de sucre tres eleve dans le sang,,original corpus,,,,,,,
E038,existing,french,chronic_care,URGENT,une tension arterielle tres elevee,,original corpus,,,,,,,
E039,existing,french,chronic_care,ROUTINE,un suivi apres un traitement precedent,,original corpus,,,,,,,
E040,existing,french,chronic_care,ROUTINE,une demande de renouvellement d'ordonnance,,original corpus,,,,,,,
E041,existing,swahili,chronic_care,URGENT,shinikizo la damu liko juu sana,,original corpus,,,,,,,
E042,existing,swahili,chronic_care,URGENT,sukari nyingi sana katika damu,,original corpus,,,,,,,
E043,existing,swahili,chronic_care,ROUTINE,ombi la kuongezewa dawa zangu,,original corpus,,,,,,,
E044,existing,swahili,chronic_care,ROUTINE,ufuatiliaji baada ya matibabu ya awali,,original corpus,,,,,,,
E045,existing,kinyarwanda,gastrointestinal,URGENT,impiswi zikaze kuva hashize iminsi itatu,,original corpus,,,,,,,
E046,existing,kinyarwanda,gastrointestinal,URGENT,kuruka kenshi kandi sindya,,original corpus,,,,,,,
E047,existing,kinyarwanda,gastrointestinal,URGENT,kuruka no gucika intege bikabije,,original corpus,,,,,,,
E048,existing,kinyarwanda,gastrointestinal,URGENT,ububabare bukabije mu nda,,original corpus,,,,,,,
E049,existing,kinyarwanda,gastrointestinal,ROUTINE,kutamererwa neza mu nda nyuma yo kurya,,original corpus,,,,,,,
E050,existing,kinyarwanda,gastrointestinal,ROUTINE,ububabare buke mu nda budakabije,,original corpus,,,,,,,
E051,existing,english,gastrointestinal,URGENT,repeated vomiting and cannot eat,,original corpus,,,,,,,
E052,existing,english,gastrointestinal,URGENT,severe abdominal pain,,original corpus,,,,,,,
E053,existing,english,gastrointestinal,URGENT,severe diarrhoea for three days,,original corpus,,,,,,,
E054,existing,english,gastrointestinal,URGENT,vomiting and signs of dehydration,,original corpus,,,,,,,
E055,existing,english,gastrointestinal,ROUTINE,mild stomach discomfort after eating,,original corpus,,,,,,,
E056,existing,english,gastrointestinal,ROUTINE,slight stomach pain that is not severe,,original corpus,,,,,,,
E057,existing,french,gastrointestinal,URGENT,de fortes douleurs au ventre,,original corpus,,,,,,,
E058,existing,french,gastrointestinal,URGENT,des vomissements et des signes de deshydratation,,original corpus,,,,,,,
E059,existing,french,gastrointestinal,URGENT,des vomissements repetes et je ne peux pas manger,,original corpus,,,,,,,
E060,existing,french,gastrointestinal,URGENT,une diarrhee severe depuis trois jours,,original corpus,,,,,,,
E061,existing,french,gastrointestinal,ROUTINE,une gene legere a l'estomac apres avoir mange,,original corpus,,,,,,,
E062,existing,french,gastrointestinal,ROUTINE,une legere douleur au ventre sans gravite,,original corpus,,,,,,,
E063,existing,swahili,gastrointestinal,URGENT,kuhara sana kwa siku tatu,,original corpus,,,,,,,
E064,existing,swahili,gastrointestinal,URGENT,kutapika mara kwa mara na siwezi kula,,original corpus,,,,,,,
E065,existing,swahili,gastrointestinal,URGENT,kutapika na dalili za upungufu wa maji,,original corpus,,,,,,,
E066,existing,swahili,gastrointestinal,URGENT,maumivu makali ya tumbo,,original corpus,,,,,,,
E067,existing,swahili,gastrointestinal,ROUTINE,maumivu kidogo ya tumbo yasiyo makali,,original corpus,,,,,,,
E068,existing,swahili,gastrointestinal,ROUTINE,usumbufu kidogo wa tumbo baada ya kula,,original corpus,,,,,,,
E069,existing,kinyarwanda,haemorrhage_trauma,CRITICAL,amaraso menshi adahagarara,,original corpus,,,,,,,
E070,existing,kinyarwanda,haemorrhage_trauma,CRITICAL,igikomere gikomeye cyavuye amaraso menshi,,original corpus,,,,,,,
E071,existing,kinyarwanda,haemorrhage_trauma,CRITICAL,igikomere mu mutwe nyuma yo kugwa,,original corpus,,,,,,,
E072,existing,kinyarwanda,haemorrhage_trauma,CRITICAL,kuva amaraso mu mazuru bidahagarara,,original corpus,,,,,,,
E073,existing,kinyarwanda,haemorrhage_trauma,URGENT,igikomere cyanduye kitukura kandi kirimo amashyira,,original corpus,,,,,,,
E074,existing,kinyarwanda,haemorrhage_trauma,URGENT,ububabare bukabije nyuma yo kugwa,,original corpus,,,,,,,
E075,existing,english,haemorrhage_trauma,CRITICAL,a deep wound losing a lot of blood,,original corpus,,,,,,,
E076,existing,english,haemorrhage_trauma,CRITICAL,a head injury after a bad fall,,original corpus,,,,,,,
