concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX01,first,My chest hurts badly and I cannot breathe properly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"v1 'severe chest pain and cannot breathe' as an utterance. Matches 'mu gituza harandya cyane kandi sinshobora guhumeka neza'."
EX01,third,{REL} has bad chest pain and cannot breathe properly,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} arababara cyane mu gituza kandi ntashobora guhumeka neza.'"
EX02,first,I am having a lot of trouble breathing,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'guhumeka birangora cyane'. Worded to stay clear of CR02 — see the note there."
EX02,third,{REL} is having a lot of trouble breathing,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} ahumeka bimugora cyane.'"
EX03,first,My heart is racing and it feels as if it will stop,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'umutima uratera cyane kandi nkumva umeze nk'aho uhagarara'."
EX03,third,{REL}'s heart is racing and they feel as if it will stop,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} umutima we utera cyane kandi yumva umeze nk'aho uhagarara.' — {REL} heads the subject as possessor, the OB07 shape. Singular 'their/they' per the ruling."
EX05,first,My chest hurts badly and the pain goes down my arm,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'mu gituza harandya cyane kandi ububabare bukagera no ku kuboko'. THE ARM ONLY — the jaw belongs to CR01, and CR01/EX05 is the one concept pair in the corpus carrying a RECORDED axis. Worded so neither phrase is a subsequence of the other."
EX05,third,{REL} has bad chest pain and the pain goes down their arm,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} arababara cyane mu gituza kandi ububabare bukagera no ku kuboko.' Arm only; see the first person."
EX06,first,I am coughing badly and I am short of breath,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'ndakorora cyane kandi guhumeka birangora'."
EX06,third,{REL} is coughing badly and is short of breath,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} arakorora cyane kandi ahumeka bimugora.'"
EX07,first,When I take a deep breath my chest hurts,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'iyo mpumetse cyane mu gituza harandya'."
EX07,third,"When {REL} takes a deep breath, their chest hurts",new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'Iyo {REL} ahumetse cyane, arumva mu gituza hamubabaza.' {REL} is the subject of the subordinate clause and not the first word, so lint warns positionally — the same shape the speaker used, and the renderer lowercases a non-initial relation correctly."
CR01,first,My chest feels heavy and the pain goes up to my jaw or down my arm,new_draft,ok,medium,utterance,,"gloss 'crushing central chest pain spreading to jaw or arm'. THE JAW IS THE AXIS against EX05, and it is the only recorded axis in the corpus — it must survive in English or the two concepts become indistinguishable. 'Feels heavy' for crushing, matching the speaker's third 'igituza kimuremereye cyane'. Kinyarwanda first person is unauthored, so this row has only their third to check against. Replaces sheet draft 'a crushing pain in my chest that spreads to my jaw', which dropped the arm limb."
CR01,third,{REL}'s chest feels heavy and the pain goes to their jaw or their arm,new_draft,ok,medium,utterance,,"matches '{REL} arumva igituza kimuremereye cyane kandi ububabare bukagera no ku rwasaya cyangwa ku kuboko.' Both limbs kept."
CR02,first,I cannot finish a sentence without stopping for breath,new_draft,ok,medium,utterance,,"gloss 'too breathless to complete a sentence'. DELIBERATELY NOT BUILT ON EX02'S WORDING. The speaker's Kinyarwanda here is 'Guhumeka birangora cyane ku buryo ntabasha no kuvuga neza' — which literally CONTAINS EX02's whole phrase 'guhumeka birangora cyane', so the two concepts are one phrase group in Kinyarwanda by containment. English need not inherit that, and should not: they are different concepts. See the flag in review/english-review-pass.md."
CR02,third,{REL} cannot finish a sentence without stopping for breath,new_draft,ok,medium,utterance,,"matches '{REL} ahumeka bimugora cyane ku buryo adashobora no kuvuga neza.' Same avoidance of EX02's wording as the first person."
CR03,first,My lips have turned blue,new_draft,ok,medium,utterance,,"gloss says 'blue lips OR FINGERTIPS'; the speaker's phrase is 'Iminwa yanjye yahindutse ubururu.' — lips only. Following the Kinyarwanda under the parity ruling, so the fingertips limb is dropped. FLAG: if the concept is meant to carry both, it is the gloss and both languages that need it, not English alone. Replaces sheet draft 'my lips and fingertips have turned blue'."
CR03,third,{REL}'s lips have turned blue,new_draft,ok,medium,utterance,,"matches '{REL} iminwa ye yahindutse ubururu.' This is the concept that owns 'blue' — EX04 was corrected to 'changed colour' precisely so the two are distinguishable."
CR05,first,When I breathe my chest feels tight and there is a whistling sound,new_draft,ok,medium,utterance,,"gloss 'wheeze with chest tightness'. Matches 'Iyo mpumeka, numva igituza gifashe kandi mpumeka nkumva hari ijwi ridasanzwe.' 'A whistling sound' is the ordinary English description of a wheeze and keeps both signs the concept needs."
CR05,third,When {REL} breathes their chest feels tight and there is a whistling sound,new_draft,ok,medium,utterance,CLEAR,"HOLD LIFTED — the Kinyarwanda hold does not transfer. It reads: ''ijwi ridasanzwe' is not a definitive clinical term for wheeze; clinician must confirm the mapping'. That is a question about whether those Kinyarwanda words pin the sign, and English 'a whistling sound when breathing' pins it without ambiguity. Same shape as PA08's ear term. The Kinyarwanda third is unauthored, so this row is drafted from the concept and the speaker's own first person."
CR06,first,I have been coughing for more than two weeks and I am losing weight,new_draft,ok,medium,utterance,,"gloss 'cough over two weeks with weight loss'. Matches 'Maze ibyumweru birenga bibiri nkorora kandi natangiye no kunanuka.' The TB screening context in the anchor is deliberately absent — it is the reason for the concept, not what a patient says."
CR06,third,{REL} has been coughing for more than two weeks and is losing weight,new_draft,ok,medium,utterance,,"matches '{REL} amaze ibyumweru birenga bibiri akorora kandi yatangiye no kunanuka.'"
CR07,first,I have a slight cough but no fever,new_draft,ok,medium,utterance,,"gloss 'short mild cough, no fever'. Matches the speaker's 'Nkorora gake ariko nta muriro mfite.' — this row carries EX30's wording after that collapse. FLAG: EX29's English candidate is still the stale v1 'a mild cough with no fever', which now describes THIS concept rather than its own; EX29's Kinyarwanda was rewritten to a mild one-day fever. That correction belongs to the infectious_fever batch."
CR07,third,{REL} has a slight cough but no fever,new_draft,ok,medium,utterance,,"matches '{REL} akorora gake ariko nta muriro afite.' CHILD_RELATIONS by ruling, so this expands over the five child relations only."
