concept_id,person,suggested_english,candidate_origin,verdict_fidelity,confidence,form,hold,suggestion_note
EX18,first,I am bleeding heavily and it will not stop,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'ndi kuva amaraso menshi kandi ntahagarara'. WORDED APART FROM EX20 ON PURPOSE — the Kinyarwanda pair is an ordered-subsequence union (EX18 is every word of EX20, in order), one of the five multi-concept groups in review/kinyarwanda-phrase-group-collisions.md. English does not inherit it: EX20 leads with the nose rather than with the bleeding, so neither phrase is a subsequence of the other."
EX18,third,{REL} is bleeding heavily and it will not stop,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} ari kuva amaraso menshi kandi ntahagarara.'"
EX19,first,I have a deep wound that is bleeding a lot,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'mfite igikomere gikomeye kirimo kuva amaraso menshi'. Kept clear of HT02, which is the other deep-wound concept."
EX19,third,{REL} has a deep wound that is bleeding a lot,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite igikomere gikomeye kirimo kuva amaraso menshi.'"
EX20,first,My nose is bleeding and it will not stop,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'ndi kuva amaraso menshi mu mazuru kandi ntahagarara'. Leads with the nose so EX18 is not a subsequence of it — see EX18's note. The Kinyarwanda equivalent restates the whole of EX18 and then adds 'mu mazuru', which is what joins them."
EX20,third,{REL}'s nose is bleeding and it will not stop,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} ari kuva amaraso menshi mu mazuru kandi ntahagarara.' Same separation from EX18 as the first person."
EX21,first,I have a wound on my head after a fall,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'mfite igikomere ku mutwe nyuma yo kugwa'. Distinct from HT03, which adds vomiting and confusion."
EX21,third,{REL} has a wound on their head after a fall,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite igikomere ku mutwe nyuma yo kugwa.' Singular 'their' per the ruling."
EX22,first,"I have an infected wound, it is red and there is pus",new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'mfite igikomere cyanduye, kiratukura kandi kirimo amashyira'. FLAG: HT06 collapsed into this concept with the ruling that the swollen wording be kept as a second phrasing, and that slot is still empty in Kinyarwanda pending the speaker. The English second phrasing cannot be written before theirs, or it would be inventing the wording the ruling reserved for them."
EX22,third,"{REL} has an infected wound, it is red and there is pus",new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} afite igikomere cyanduye, kiratukura kandi kirimo amashyira.'"
EX23,first,I fell and now I am in a lot of pain,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches 'naraguye none ndababara cyane'."
EX23,third,{REL} fell and is now in a lot of pain,new_draft,"unverified: no gloss, checked against the Kinyarwanda",medium,utterance,,"matches '{REL} yaraguye none arababara cyane.'"
HT02,first,I have a deep wound and the bone is showing,new_draft,ok,medium,utterance,,"gloss 'deep wound with bone visible'. Matches 'Mfite igikomere gikomeye ku buryo igufa rigaragara.' FLAG: HT02 and HT05 cite a byte-identical anchor ('BEC Module 2: approach to trauma') while carrying different urgency labels — CRITICAL against URGENT. Probably a coarse module-level anchor covering two real presentations rather than a duplicate, but it is unruled. Replaces sheet draft 'a deep wound and I can see the bone'."
HT02,third,{REL} has a deep wound and the bone is showing,new_draft,ok,medium,utterance,,"matches '{REL} afite igikomere gikomeye ku buryo igufa rigaragara.'"
HT03,third,{REL} hit their head and is now vomiting and confused,new_draft,ok,medium,utterance,,"gloss 'head injury with vomiting and confusion'. THIRD PERSON ONLY — the Kinyarwanda hold is on the FIRST person and turns on whether a confused patient can report their own confusion, which is rule 11's question and clinical. An observer reporting it has no such problem, so the third is not held in either language. Kinyarwanda is unauthored for both persons here, so this is drafted from the gloss."
HT04,first,I have a large burn on my body,new_draft,ok,medium,utterance,,"gloss 'large burn'. Matches 'Mfite ubushye bunini ku mubiri.' The extent of the burn is what makes it CRITICAL and 'large' is as far as a patient's report goes — percentage body surface is the clinician's measure, not the report."
HT04,third,{REL} has a large burn on their body,new_draft,ok,medium,utterance,,"matches '{REL} afite ubushye bunini ku mubiri.'"
HT05,first,I fell and my arm is bent out of shape,new_draft,ok,low,utterance,yes,"HOLD KEPT, REASON NARROWED. The Kinyarwanda hold is vocabulary-blocked — no attested word for a deformed limb exists in any source, and only the FRACTURE vocabulary is attested, which is why the Kinyarwanda draft says BROKEN while the gloss says DEFORMED. English has no lexical gap, so the wording is available. But the block has a CONCEPT consequence the lift cannot ignore: section 7 says the alternative is ruling that the concept becomes 'broken limb after a fall', in which case the gloss and the anchor change with it. Drafted to the gloss as it stands; if the concept is re-ruled to a fracture, this English must move with it or it becomes the EX43 shape — two languages describing different presentations under one id."
HT05,third,{REL} fell and their arm is bent out of shape,new_draft,ok,low,utterance,yes,"person transform; held for the same concept question as the first."
HT07,first,I have been bitten by a snake,new_draft,ok,medium,utterance,,"gloss 'snake bite'. Matches 'Narumwe n'inzoka.' Short because the concept is exactly that one fact, as the speaker's own phrase is."
HT07,third,{REL} has been bitten by a snake,new_draft,ok,medium,utterance,,"matches '{REL} yarumwe n'inzoka.'"
HT08,first,I have a small cut and the bleeding has stopped,new_draft,ok,medium,utterance,,"gloss 'small cut, bleeding stopped'. Matches 'Mfite igikomere gito kandi amaraso yarahagaze.' This is the phrase docs/urgency-frame-coupling.md uses as its worked example of a ROUTINE row contradicted by its frame — '...and the bleeding has stopped and I cannot sleep. I need help quickly.' The phrase is right; the frame slots are what that document is about."
HT08,third,{REL} has a small cut and the bleeding has stopped,new_draft,ok,medium,utterance,,"matches '{REL} afite igikomere gito kandi amaraso yarahagaze.' CHILD_RELATIONS by ruling."
