concept_id,domain,gloss,beneficiary,requester,verdict,note,your_ruling
EX46,preventive,gukingiza umwana — vaccinating a child,the child,an adult who brings them,CAUGHT — first person is the requester,"already speaker-authored in first person, which is the evidence the rule is built on. Confirms rather than changes it.",confirmed — the phrase the rule is built from.
EX47,preventive,kugirwa inama ku biryo byo kugaburira umwana — child feeding advice,the child (via the carer),the carer,CAUGHT — first person is the requester,"the advice is received by the carer, so this was already correct; the rule now says why.",confirmed correct as first person.
PA09,paediatric,child growth monitoring visit,the child,an adult who brings them,"CAUGHT — applies=yes, first person is the carer","resolves the question left open when paediatric first person was ruled. Not a child speaking, so rule 9's duplication test does not apply either.","RULED applies=yes, same shape."
PA10,paediatric,child due for vaccination,the child,an adult who brings them,"CAUGHT — applies=yes, first person is the carer",same as PA09; EX46 is the same service already authored this way.,"RULED applies=yes, same shape."
PR09,preventive,deworming for a child,the child,an adult who brings them,CAUGHT — first person is the requester,"the applies=no ruling was given on the ground that the child receives it. SERVICE_SPEAKER says the requester speaks, which is the adult. Not recorded either way.","RULED applies=yes. The earlier applies=no reasoned from the patient; SERVICE_SPEAKER reasons from the requester, and PR09 is EX46's shape exactly. The rule wins over the earlier ruling."
PR08,preventive,infant feeding advice,the infant (via the carer),the carer,"CAUGHT — applies=yes, first person is the carer","same shape as EX47 and OB12, both already first person.","RULED applies=yes, same shape."
PR04,preventive,collecting a mosquito net,the household,an adult member,not caught — requester is also a beneficiary,"no split between the two roles, so the rule changes nothing. HOUSEHOLD_RELATIONS already ruled.",
PR10,preventive,advice on safe drinking water,the household,an adult member,not caught — requester is also a beneficiary,as PR04.,
OB12,obstetric,breastfeeding advice after delivery,the mother and baby,the mother,not caught — requester is the patient,speaker-authored first person 'Ndashaka kugirwa inama uko nakonsa umwana' is correct as it stands.,
CC08,chronic_care,blood pressure medicine refill,the patient,the patient,not caught — adult self-service,"one of ten NO_RELATIONS concepts: first person only, no third.",
CC09,chronic_care,routine diabetes review,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,
CC10,chronic_care,routine HIV clinic follow-up,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,
EX10,chronic_care,ndashaka kongererwa imiti mfata — medicine refill,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,
EX11,chronic_care,ndashaka gukomeza kujya kwa muganga — continuing follow-up,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,
EX44,preventive,gahunda yo kwisuzumisha buri mwaka — annual check-up,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,
EX45,preventive,gusaba ko bapima amaraso — requesting a blood test,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,
PR03,preventive,HIV test request,the patient,the patient,not caught — adult self-service,,
PR05,preventive,first antenatal booking visit,the pregnant woman,the pregnant woman,not caught — requester is the patient,,
PR06,preventive,blood pressure screening,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,"RULED NO_RELATIONS 2026-09-04. Confirms this audit's verdict over an earlier handover line that said 'adult relations'; that line predated rule 12 and paired PR06 with CC05, a symptom concept."
PR07,preventive,cervical screening appointment,the patient,the patient,not caught — adult self-service,NO_RELATIONS.,
OB11,obstetric,routine antenatal check,the pregnant woman,the pregnant woman,not caught — requester is the patient,NO_RELATIONS.,
PR02,preventive,family planning advice,—,—,excluded — out of generation,unresolved pending the service-design question.,
