concept_id,domain,proposed_urgency,english_gloss,anchor,person,applies,person_note,form,relation_set,suggested_english,candidate_origin,confidence,verdict_fidelity,suggestion_note,verdict_register,rw_english_check,your_phrasing,second_phrasing_optional,notes,source,needs_clinician,hold
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,BEC Module 3: approach to difficulty in breathing (chest pain differential),first,yes,,utterance,,My chest feels heavy and the pain goes up to my jaw or down my arm.,new_draft,medium,ok,"gloss 'crushing central chest pain spreading to jaw or arm'. THE JAW IS THE AXIS against EX05, and it is the only recorded axis in the corpus — it must survive in English or the two concepts become indistinguishable. 'Feels heavy' for crushing, matching the speaker's third 'igituza kimuremereye cyane'. Kinyarwanda first person is unauthored, so this row has only their third to check against. Replaces sheet draft 'a crushing pain in my chest that spreads to my jaw', which dropped the arm limb.",4,,,,"draft D049 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,BEC Module 3: approach to difficulty in breathing (chest pain differential),third,yes,,utterance,ALL_RELATIONS,{REL}'s chest feels heavy and the pain goes to their jaw or their arm.,new_draft,medium,ok,matches '{REL} arumva igituza kimuremereye cyane kandi ububabare bukagera no ku rwasaya cyangwa ku kuboko.' Both limbs kept.,4,,,,,machine_reviewed,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,BEC Module 3: approach to difficulty in breathing,first,yes,,utterance,,I cannot finish a sentence without stopping for breath.,new_draft,medium,ok,"gloss 'too breathless to complete a sentence'. DELIBERATELY NOT BUILT ON EX02'S WORDING. The speaker's Kinyarwanda here is 'Guhumeka birangora cyane ku buryo ntabasha no kuvuga neza' — which literally CONTAINS EX02's whole phrase 'guhumeka birangora cyane', so the two concepts are one phrase group in Kinyarwanda by containment. English need not inherit that, and should not: they are different concepts. See the flag in review/english-review-pass.md.",4,,,,"draft D051 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,BEC Module 3: approach to difficulty in breathing,third,yes,,utterance,ALL_RELATIONS,{REL} cannot finish a sentence without stopping for breath.,new_draft,medium,ok,matches '{REL} ahumeka bimugora cyane ku buryo adashobora no kuvuga neza.' Same avoidance of EX02's wording as the first person.,4,,,,,machine_reviewed,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips or fingertips,"IMCI: central cyanosis, severe respiratory distress",first,yes,,utterance,,My lips have turned blue.,new_draft,medium,ok,"gloss says 'blue lips OR FINGERTIPS'; the speaker's phrase is 'Iminwa yanjye yahindutse ubururu.' — lips only. Following the Kinyarwanda under the parity ruling, so the fingertips limb is dropped. FLAG: if the concept is meant to carry both, it is the gloss and both languages that need it, not English alone. Replaces sheet draft 'my lips and fingertips have turned blue'.",4,,,,"draft D053 from phrase_review_sheet.csv, Claude 2026-08-31, never reviewed",machine_reviewed,,
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips or fingertips,"IMCI: central cyanosis, severe respiratory distress",third,yes,,utterance,ALL_RELATIONS,{REL}'s lips have turned blue.,new_draft,medium,ok,matches '{REL} iminwa ye yahindutse ubururu.' This is the concept that owns 'blue' — EX04 was corrected to 'changed colour' precisely so the two are distinguishable.,4,,,,,machine_reviewed,,
EX01,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,My chest hurts badly and I cannot breathe properly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",v1 'severe chest pain and cannot breathe' as an utterance. Matches 'mu gituza harandya cyane kandi sinshobora guhumeka neza'.,4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX01,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} has bad chest pain and cannot breathe properly.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} arababara cyane mu gituza kandi ntashobora guhumeka neza.',4,,,,,machine_reviewed,,
EX02,cardiac_respiratory,CRITICAL,,,first,yes,,utterance,,I am having a lot of trouble breathing.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches 'guhumeka birangora cyane'. Worded to stay clear of CR02 — see the note there.,4,,,,"v1 corpus string at this position, carried as a CANDIDATE. It is currently a noun_phrase rendered after a subject; as an utterance it needs the subject folded in.",machine_reviewed,,
EX02,cardiac_respiratory,CRITICAL,,,third,yes,,utterance,ALL_RELATIONS,{REL} is having a lot of trouble breathing.,new_draft,medium,"unverified: no gloss, checked against the Kinyarwanda",matches '{REL} ahumeka bimugora cyane.',4,,,,,machine_reviewed,,
