concept_id,relation,rendered,your_ruling
IF02,Umwana wanjye,Umwana wanjye afite umuriro mwinshi kandi yaragagaye.,
IF02,Umugore wanjye,Umugore wanjye afite umuriro mwinshi kandi yaragagaye.,
IF02,Umugabo wanjye,Umugabo wanjye afite umuriro mwinshi kandi yaragagaye.,
IF02,Mama,Mama afite umuriro mwinshi kandi yaragagaye.,
IF02,Papa,Papa afite umuriro mwinshi kandi yaragagaye.,
IF02,Mushiki wanjye,Mushiki wanjye afite umuriro mwinshi kandi yaragagaye.,
IF02,Umuturanyi wanjye,Umuturanyi wanjye afite umuriro mwinshi kandi yaragagaye.,
IF02,Umukecuru,Umukecuru afite umuriro mwinshi kandi yaragagaye.,
IF05,Umwana wanjye,Umwana wanjye afite umuriro kandi afite uduheri ku mubiri wose.,
IF05,Umugore wanjye,Umugore wanjye afite umuriro kandi afite uduheri ku mubiri wose.,
IF05,Umugabo wanjye,Umugabo wanjye afite umuriro kandi afite uduheri ku mubiri wose.,
IF05,Mama,Mama afite umuriro kandi afite uduheri ku mubiri wose.,
IF05,Papa,Papa afite umuriro kandi afite uduheri ku mubiri wose.,
IF05,Mushiki wanjye,Mushiki wanjye afite umuriro kandi afite uduheri ku mubiri wose.,
IF05,Umuturanyi wanjye,Umuturanyi wanjye afite umuriro kandi afite uduheri ku mubiri wose.,
IF05,Umukecuru,Umukecuru afite umuriro kandi afite uduheri ku mubiri wose.,
EX24,Umwana wanjye,Umwana wanjye afite umuriro wa dogere 39.,
EX24,Umugore wanjye,Umugore wanjye afite umuriro wa dogere 39.,
EX24,Umugabo wanjye,Umugabo wanjye afite umuriro wa dogere 39.,
EX24,Mama,Mama afite umuriro wa dogere 39.,
EX24,Papa,Papa afite umuriro wa dogere 39.,
EX24,Mushiki wanjye,Mushiki wanjye afite umuriro wa dogere 39.,
EX24,Umuturanyi wanjye,Umuturanyi wanjye afite umuriro wa dogere 39.,
EX24,Umukecuru,Umukecuru afite umuriro wa dogere 39.,
EX25,Umwana wanjye,Umwana wanjye afite umuriro mwinshi kandi arakorora cyane.,
EX25,Umugore wanjye,Umugore wanjye afite umuriro mwinshi kandi arakorora cyane.,
EX25,Umugabo wanjye,Umugabo wanjye afite umuriro mwinshi kandi arakorora cyane.,
EX25,Mama,Mama afite umuriro mwinshi kandi arakorora cyane.,
EX25,Papa,Papa afite umuriro mwinshi kandi arakorora cyane.,
EX25,Mushiki wanjye,Mushiki wanjye afite umuriro mwinshi kandi arakorora cyane.,
EX25,Umuturanyi wanjye,Umuturanyi wanjye afite umuriro mwinshi kandi arakorora cyane.,
EX25,Umukecuru,Umukecuru afite umuriro mwinshi kandi arakorora cyane.,
EX26,Umwana wanjye,"Umwana wanjye afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX26,Umugore wanjye,"Umugore wanjye afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX26,Umugabo wanjye,"Umugabo wanjye afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX26,Mama,"Mama afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX26,Papa,"Papa afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX26,Mushiki wanjye,"Mushiki wanjye afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX26,Umuturanyi wanjye,"Umuturanyi wanjye afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX26,Umukecuru,"Umukecuru afite ibimenyetso bya malariya, umuriro n'imbeho.",
EX27,Umwana wanjye,"Umwana wanjye afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
EX27,Umugore wanjye,"Umugore wanjye afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
EX27,Umugabo wanjye,"Umugabo wanjye afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
EX27,Mama,"Mama afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
EX27,Papa,"Papa afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
EX27,Mushiki wanjye,"Mushiki wanjye afite umuriro kandi yumva afite imbeho, akeka ko ari malariya.",
