id,cue,reporter,age_group,text_kw,author,label,annotator,validated_by,register
201,Woke with a swollen tongue after taking a new tablet,Self,Umuntu mukuru,Yabyutse ururimi rwarabyimbye nyuma yo gufata umuti mushya.,,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
202,"Child drank from a bottle under the sink, mother unsure what it was",Carer,Umwana,"Umwana yanyweye mu icupa ryari munsi ya robine, nyina ntazi icyoyari kirimo.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
203,Says the baby has a soft swelling on the head that was not there at birth,Carer,Impinja,Avuga ko uruhinja rufite kubyimba korohereye ku mutwe kandi ko rutari rufite icyo kibyimba ruvuka.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
204,"Farmer sprayed pesticide without a mask, now dizzy and salivating",Self,Umuntu mukuru,"Umuhinzi yateye umuti wica udukoko atambaye agapfukamunwa, ubu akaba azungera kandi acira amacandwe menshi.",,CRITICAL,"single, non-clinician, the paper's author",NONE,patient_voice
205,Came to ask why the tablets turn her urine a strange colour,Self,Umuntu mukuru,Yaje kubaza impamvu imiti afata ituma inkari ze zihindura ibara ridasanzwe.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
206,Boy has not been able to straighten his arm since a fall last week,Carer,Umwana,Umuhungu ntiyashoboye kurambura ukuboko kuva aguye mu cyumweru gishize.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
207,Says she has pain during intercourse and has told no one,Self,Umuntu mukuru,Avuga ko agira ububabare mu gihe cy'imibonano mpuzabitsina kandi akaba atarabibwira umuntu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
208,Old woman brought because the family says she no longer recognises them,Carer,Umusaza/Umukecuru,Umukecuru yazanywe n'umuryango uvuga ko atakibamenya.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
209,"Cut while slaughtering a goat, worried about infection",Self,Umuntu mukuru,"Yikase ubwo yabaga ihene, ubu afite impungenge ko igikomere cyandura.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
210,Child has been limping for two weeks with no injury remembered,Carer,Umwana,Umwana amaze ibyumweru bibiri agenda arembera kandi nta gikomere bazirikana yagize.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
211,Says the medicine works but she cannot afford it every month,Self,Umuntu mukuru,Avuga ko umuti umufasha ariko ko atabasha kuwugura buri kwezi.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
212,"Feels the heart racing at rest, lasts a few minutes then stops",Self,Umuntu mukuru,"Yumva umutima utera cyane ari kuruhuka, bikamara iminota mike bikareka.",,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
213,"Baby has a cleft in the lip, mother asking what can be done",Carer,Impinja,"Uruhinja rufite itwike ku munwa, nyina arashaka kumenya icyo bakora.",,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
214,Man says he has not slept since his brother died three weeks ago,Self,Umuntu mukuru,Umugabo avuga ko atarasinzira kuva murumuna we cyangwa mukuru we apfuye hashize ibyumweru bitatu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,record_voice
215,Burned the hand on a motorbike exhaust,Self,Ingimbi/Umwangavu,Yatwitse ukuboko ku muyoboro usohora imyotsi wa moto.,,URGENT,"single, non-clinician, the paper's author",NONE,patient_voice
216,Says the child's stool is pale and the urine dark,Carer,Umwana,Avuga ko umwanda w'umwana wera cyane kandi inkari zikaba zijimye.,,URGENT,"single, non-clinician, the paper's author",NONE,record_voice
217,Wants to know if she can breastfeed while taking TB tablets,Self,Umuntu mukuru,Ashaka kumenya niba ashobora konsa ari gufata imiti y'igituntu.,,ROUTINE,"single, non-clinician, the paper's author",NONE,patient_voice
