concept_id,person,verdict_register,rw_french_check
CR02,first,,"'Je n'arrive pas a finir une phrase sans m'arreter pour respirer.' The natural French is 'je suis essouffle', which is masculine and cannot be used for a patient of unknown gender. Confirm the verb-based rewrite reads as ordinary speech and not as a paraphrase."
CR02,third,,Same rewrite in the third person.
CR05,first,,"'sifflement' for a wheeze. SAME QUESTION IN ALL THREE LANGUAGES: the Kinyarwanda is blocked on whether 'ijwi ridasanzwe' is a definitive clinical term and the English on 'a whistling sound'. Is 'sifflement' what a francophone patient says, or is the clinical 'sibilants' expected, or something else? Should go to one person with the other two."
CR05,third,,Same wheeze question.
CR04,first,,"HELD, and flagged for the same person as PA04: which French describes lower chest wall indrawing. The Kinyarwanda has two rival descriptions and the ruling is not to choose; the French candidates in play are sheet draft D056's 'le bas du thorax qui se creuse' and PA04's 'le bas de sa poitrine rentre'."
PA04,third,,"Indrawing wording, paired with CR04. 'thorax' was dropped as clinician register; confirm 'le bas de sa poitrine rentre' is what a carer says."
GI03,first,,"'les selles' for stool. SAME QUESTION IN ALL THREE LANGUAGES — the Kinyarwanda took a speaker to settle after three attested candidates were ranked wrongly, and the English flags it too. Is 'les selles' the patient word in Rwandan French, or is it clinical, and is there a plainer alternative?"
GI03,third,,Same stool question.
GI05,first,,"Same stool question, and this row follows the GLOSS rather than the speaker's phrase, which says blood in the DIARRHOEA. Confirm the French says what a patient reports."
GI05,third,,Same.
PA08,first,,"Ear discharge, and SAME QUESTION IN ALL THREE LANGUAGES. Also: this row is the CHILD speaking about their own ear, per the person_note. Confirm 'J'ai mal a l'oreille et elle coule' is how a child would say it and that 'elle coule' is not too blunt."
PA08,third,,Same ear question in the carer's voice.
GI01,third,3,"FR-1 CASUALTY, and the clearest one. The faithful third is 'vomit tout ce qu'il mange', which forces a gender across a mixed relation set, so the relative clause was dropped for 'toute la nourriture'. Confirm that reads naturally; if a francophone reviewer has a better neutral form, this row wants it. Compare OB10 third, where the same clause SURVIVES because the obstetric relations are uniformly feminine."
IF06,third,,"FR-1: 'quand il urine' forces a gender, so 'se plaint de brulures en urinant' replaces the subordinate clause. Confirm the reporting verb is right for a symptom only the patient can feel."
CC04,third,3,"FR-1: 'quand il s'allonge' forces a gender, so 'en position allongee' carries the orthopnoea limb. That limb is the whole concept — one Kinyarwanda word, 'ngaramye', is what makes this orthopnoea rather than ordinary breathlessness — so a stiffer phrase was preferred to losing it. Confirm, and propose a plainer neutral form if there is one."
HT07,first,,"FR-1: 'un serpent m'a mordu' agrees with the preceding object and 'j'ai ete mordu' with the subject, so both are masculine for an unknown patient. 'Je me suis fait mordre par un serpent' leaves the participle invariable. Confirm it is ordinary patient speech and not a grammarian's dodge."
HT07,third,,Same construction.
NE07,first,,"FR-1: 'je me suis evanoui' is masculine, so the noun carries it. Confirm 'J'ai eu plusieurs evanouissements' is patient register rather than clinical."
