concept_id,person,urgency,english_gloss,the_question,your_ruling,your_notes
CC01,first,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness","diabetic with vomiting, deep breathing and drowsiness. A patient can feel drowsy and notice deep breathing, so the ground is capacity rather than imperceptibility — a clinical judgement. Held, not deleted.",,
CC02,first,CRITICAL,hypoglycaemia with sweating and confusion,"hypoglycaemia with sweating and confusion. Sweating is self-perceived; only the confusion is not, which makes this NE06's question. Held, not deleted.",,
CR04,first,URGENT,fast breathing with lower chest wall indrawing,chest indrawing: 'igituza kiramanuka' and 'munsi y'igituza harinjira' are different descriptions. Not choosing between them. Held until a Rwandan clinician confirms.,,
CR04,third,URGENT,fast breathing with lower chest wall indrawing,chest indrawing: 'igituza kiramanuka' and 'munsi y'igituza harinjira' are different descriptions. Not choosing between them. Held until a Rwandan clinician confirms.,,
CR05,third,URGENT,wheeze with chest tightness,'ijwi ridasanzwe' is not a definitive clinical term for wheeze; clinician must confirm the mapping,,
EX27,third,URGENT,existing concept — your first-pass phrasing is on one of these two rows,"speaker ruling: needs_clinician. Draft held as-is, nothing authored. The specific uncertainty flagged with the draft was 'nkeka' -> 'akeka', which follows the regular 1sg/3sg pattern but the speaker has not written it; attributing a suspicion of malaria to another person is the part that needs review.",,
EX43,third,URGENT,existing concept — your first-pass phrasing is on one of these two rows,"high fever and not eating. FLAGGED 2026-09-04 with the wording revert. The question is whether URGENT is the right label for a child with high fever who is not eating, given that NOT BEING ABLE TO DRINK is an IMCI general danger sign (CRITICAL in this taxonomy, and the ground IF03 and PA02 stand on). The speaker has ruled the WORDING back to not-eating so the phrase matches the URGENT label rather than straddling it. What a clinician still has to say: is 'high fever and not eating' URGENT, or is refusal to eat in a febrile child close enough to the drinking danger sign to warrant CRITICAL? PA02 (child too weak to breastfeed) is the neighbouring concept. Nothing generates differently until this is answered - the row is authored and the label is unchanged.",,
HT03,first,CRITICAL,head injury with vomiting and confusion,"head injury with vomiting and confusion. Turns on severity and capacity, which are clinical questions. Held, not deleted.",,
HT05,first,URGENT,limb deformed after a fall,"limb deformed after a fall. HELD 2026-09-03, vocabulary-blocked. The draft 'Naraguye none ukuguru kwanjye kwavunitse.' says BROKEN; the gloss and the English seed ('my arm is bent out of shape after a fall') say DEFORMED. Those are different claims: deformity is what a patient perceives, a fracture is the diagnosis, and rule 11 turns on exactly that difference. No attested Kinyarwanda for 'bent out of shape' exists — kugoramye and similar appear in none of the speaker's phrases, none of dataset/vocabulary.py, none of phrase_review_sheet.csv and none of the 524 CC BY 4.0 CHW questions. Only the FRACTURE vocabulary is attested (kuvunika, igufa ryavunitse, ibimenyetso byokuvunika ukuguru), which is what pulled the draft off the concept. Same shape as GI03's stool noun and PA08's ear term, in a third domain. Needs either the speaker's word for a deformed limb, or a ruling that the concept becomes 'broken limb after a fall' — in which case concepts.py and the anchor gloss must change with it rather than be left disagreeing. Secondary flag: 'kwavunitse' is a concord inference, unattested with ukuguru.",,
IF01,first,CRITICAL,fever with stiff neck,"fever with stiff neck is a specific danger sign; 'ijosi ryarakomeye' is an unvalidated draft, not speaker wording. Held for clinician/speaker confirmation. Do not substitute a guess.",,
IF01,third,CRITICAL,fever with stiff neck,"RECLASSIFIED 2026-09-11 — `hold` alone was the wrong bucket. The criterion is checkable: this is a third-person row held for no reason of its own, solely because IF01 FIRST is flagged `needs_clinician`. Its first person carries the flag and it did not, so every clinician pack built from this column has shown one person of a two-person concept and silently dropped the other. Whether the underlying block is clinical or lexical is argued both ways in the record (docs/blocked.md 1a reads the IF family as WORD blocks; this row's first person says 'clinician/speaker'), and that argument does not change the filing: a row whose release depends entirely on a ruling about another row must be visible wherever that ruling is sought. `hold` stays yes — nothing generates here until IF01 first is ruled, and a ruling releases both persons together.",,
IF03,first,CRITICAL,fever and unable to drink,IMCI general danger sign (unable to drink); precision matters. Draft held as-is pending clinician confirmation; no alternative invented.,,
