concept_id,domain,urgency,english_gloss,anchor,source
CR01,cardiac_respiratory,CRITICAL,crushing central chest pain spreading to jaw or arm,BEC Module 3: approach to difficulty in breathing (chest pain differential),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
CR02,cardiac_respiratory,CRITICAL,too breathless to complete a sentence,BEC Module 3: approach to difficulty in breathing,WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
CR03,cardiac_respiratory,CRITICAL,central cyanosis - blue lips,"IMCI: central cyanosis, severe respiratory distress",WHO IMCI 2014 (All rights reserved)
CR04,cardiac_respiratory,URGENT,fast breathing with lower chest wall indrawing,IMCI: chest indrawing -> SEVERE PNEUMONIA,WHO IMCI 2014 (All rights reserved)
CR05,cardiac_respiratory,URGENT,wheeze with chest tightness,IMCI: wheeze (assess for asthma),WHO IMCI 2014 (All rights reserved)
CR06,cardiac_respiratory,URGENT,cough over two weeks with weight loss,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
CR07,cardiac_respiratory,ROUTINE,"short mild cough, no fever","IMCI: cough, no pneumonia (green)",WHO IMCI 2014 (All rights reserved)
CC01,chronic_care,CRITICAL,"diabetic with vomiting, deep breathing and drowsiness",BEC Module 5: altered mental status (diabetic emergency),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
CC02,chronic_care,CRITICAL,hypoglycaemia with sweating and confusion,BEC Module 5: altered mental status (hypoglycaemia),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
CC03,chronic_care,URGENT,very high blood pressure with headache,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
CC04,chronic_care,URGENT,swollen legs and breathless lying flat,BEC Module 3: approach to difficulty in breathing,WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
CC05,chronic_care,URGENT,diabetic foot ulcer not healing,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
CC06,chronic_care,URGENT,ran out of antiretroviral medicine,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
CC07,chronic_care,URGENT,ran out of TB medicine,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
CC08,chronic_care,ROUTINE,blood pressure medicine refill,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
CC09,chronic_care,ROUTINE,routine diabetes review,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
CC10,chronic_care,ROUTINE,routine HIV clinic follow-up,clinician-defined (no WHO emergency-care anchor),clinician-defined (no WHO anchor)
GI01,gastrointestinal,CRITICAL,"vomiting everything, cannot keep fluids down",IMCI general danger sign: vomits everything,WHO IMCI 2014 (All rights reserved)
GI02,gastrointestinal,CRITICAL,vomiting blood,BEC Module 4: approach to shock (haemorrhage),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
GI03,gastrointestinal,CRITICAL,black tarry stool,BEC Module 4: approach to shock (occult GI bleeding),WHO-ICRC BEC 2018 (CC BY-NC-SA 3.0 IGO)
GI04,gastrointestinal,CRITICAL,severe diarrhoea with dehydration,IMCI: SEVERE DEHYDRATION,WHO IMCI 2014 (All rights reserved)
GI05,gastrointestinal,URGENT,blood in the stool,IMCI: blood in stool -> DYSENTERY,WHO IMCI 2014 (All rights reserved)
GI06,gastrointestinal,URGENT,diarrhoea lasting more than fourteen days,IMCI: PERSISTENT DIARRHOEA,WHO IMCI 2014 (All rights reserved)
